Date,Tenkan,Kijun,Senkou_A,Senkou_B,Close
2020-06-30,,,,84700.0,85100.0
2020-07-31,,,,84700.0,82800.0
2020-08-31,,,,79350.0,75100.0
2020-09-30,,,,79350.0,84000.0
2020-10-31,,,,81100.0,79900.0
2020-11-30,,,,86650.0,97500.0
2020-12-31,,,,96150.0,118500.0
2021-01-31,,,,105650.0,122500.0
2021-02-28,110400.0,,,110400.0,141500.0
2021-03-31,110900.0,,,110900.0,132500.0
2021-04-30,110900.0,,,110900.0,128000.0
2021-05-31,112700.0,,,110900.0,127000.0
2021-06-30,114850.0,,,110900.0,127500.0
2021-07-31,114850.0,,,110900.0,112500.0
2021-08-31,124150.0,,,110900.0,106500.0
2021-09-30,124700.0,,,110900.0,103000.0
2021-10-31,120500.0,,,110900.0,103000.0
2021-11-30,120500.0,,,110900.0,114000.0
2021-12-31,118750.0,,,110900.0,131000.0
2022-01-31,112000.0,,,110900.0,120500.0
2022-02-28,112250.0,,,110900.0,123000.0
2022-03-31,112250.0,,,110900.0,118000.0
2022-04-30,112250.0,,,110900.0,112500.0
2022-05-31,112250.0,,,110900.0,108000.0
2022-06-30,111850.0,,,110900.0,91000.0
2022-07-31,110150.0,110900.0,110525.0,110900.0,97900.0
2022-08-31,110150.0,110900.0,110525.0,110900.0,95200.0
2022-09-30,107200.0,110900.0,109050.0,110900.0,83100.0
2022-10-31,107200.0,112700.0,109950.0,110900.0,82700.0
2022-11-30,104950.0,114850.0,109900.0,110900.0,85000.0
2022-12-31,96350.0,112600.0,104475.0,110900.0,75000.0
2023-01-31,94050.0,111800.0,102925.0,110900.0,88500.0
2023-02-28,90800.0,111800.0,101300.0,110900.0,89400.0
2023-03-31,88800.0,111800.0,100300.0,110900.0,88600.0
2023-04-30,85900.0,111800.0,98850.0,110900.0,89500.0
2023-05-31,93250.0,110050.0,101650.0,110900.0,108600.0
2023-06-30,97100.0,103550.0,100325.0,110900.0,115200.0
2023-07-31,101050.0,103550.0,102300.0,110900.0,123400.0
2023-08-31,101050.0,103550.0,102300.0,110900.0,121800.0
2023-09-30,101050.0,103550.0,102300.0,110900.0,114700.0
2023-10-31,103750.0,103550.0,103650.0,110900.0,116300.0
2023-11-30,105550.0,103750.0,104650.0,110900.0,133900.0
2023-12-31,113200.0,108400.0,110800.0,110900.0,141500.0
2024-01-31,115200.0,109250.0,112225.0,110900.0,134700.0
2024-02-29,136450.0,120000.0,128225.0,119100.0,156200.0
2024-03-31,146800.0,128500.0,137650.0,127600.0,183000.0
2024-04-30,151600.0,132250.0,141925.0,131350.0,174200.0
2024-05-31,161150.0,141550.0,151350.0,140650.0,189200.0
2024-06-30,178000.0,158050.0,168025.0,157150.0,236500.0
2024-07-31,182750.0,160800.0,171775.0,159900.0,194600.0
2024-08-31,186500.0,160800.0,173650.0,159900.0,173700.0
2024-09-30,188750.0,160800.0,174775.0,159900.0,174600.0
2024-10-31,190100.0,160800.0,175450.0,159900.0,186300.0
2024-11-30,196600.0,160800.0,178700.0,159900.0,159900.0
2024-12-31,196600.0,160800.0,178700.0,160800.0,173900.0
2025-01-31,196600.0,160800.0,178700.0,160800.0,199200.0
2025-02-28,196600.0,160800.0,178700.0,160800.0,190200.0
2025-03-31,196600.0,162600.0,179600.0,160800.0,190700.0
2025-04-30,185850.0,162600.0,174225.0,160800.0,177500.0
2025-05-31,185850.0,165600.0,175725.0,160800.0,204500.0
2025-06-30,228050.0,191750.0,209900.0,185800.0,292000.0
2025-07-31,232050.0,206250.0,219150.0,189800.0,294500.0
