Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-15,2022775,,
2020-06-16,1389765,,
2020-06-17,1326645,,
2020-06-18,1155455,,
2020-06-19,903928,1359713.6,66.48
2020-06-22,921187,1139396.0,80.85
2020-06-23,1095698,1080582.6,101.4
2020-06-24,1813817,1178017.0,153.97
2020-06-25,1084453,1163816.6,93.18
2020-06-26,670161,1117063.2,59.99
2020-06-29,943424,1121510.6,84.12
2020-06-30,988987,1100168.4,89.89
2020-07-01,640540,865513.0,74.01
2020-07-02,730963,794815.0,91.97
2020-07-03,569575,774697.8,73.52
2020-07-06,1189877,823988.4,144.4
2020-07-07,1379122,902015.4,152.89
2020-07-08,859735,945854.4,90.9
2020-07-09,922604,984182.6,93.74
2020-07-10,1099298,1090127.2,100.84
2020-07-13,1376002,1127352.2,122.06
2020-07-14,1050563,1061640.4,98.96
2020-07-15,4494730,1788639.4,251.29
2020-07-16,3254530,2255024.6,144.32
2020-07-17,4265529,2888270.8,147.68
2020-07-20,4461527,3505375.8,127.28
2020-07-21,3138553,3922973.8,80.0
2020-07-22,2395083,3503044.4,68.37
2020-07-23,4505464,3753231.2,120.04
2020-07-24,3908721,3681869.6,106.16
2020-07-27,2046059,3198776.0,63.96
2020-07-28,1765179,2924101.2,60.37
2020-07-29,1897616,2824607.8,67.18
2020-07-30,2728427,2469200.4,110.5
2020-07-31,1712713,2029998.8,84.37
2020-08-03,1868315,1994450.0,93.68
2020-08-04,2492506,2139915.4,116.48
2020-08-05,1859551,2132302.4,87.21
2020-08-06,4040334,2394683.8,168.72
2020-08-07,3208082,2693757.6,119.09
2020-08-10,8460795,4012253.6,210.87
2020-08-11,6776406,4869033.6,139.17
2020-08-12,4877139,5472551.2,89.12
2020-08-13,3997431,5463970.6,73.16
2020-08-14,4469158,5716185.8,78.18
2020-08-18,4328953,4889817.4,88.53
2020-08-19,3298626,4194261.4,78.65
2020-08-20,3630223,3944878.2,92.02
2020-08-21,3348383,3815068.6,87.77
2020-08-24,2904566,3502150.2,82.94
2020-08-25,3304089,3297177.4,100.21
2020-08-26,2638394,3165131.0,83.36
2020-08-27,2427108,2924508.0,82.99
2020-08-28,5571784,3369188.2,165.37
2020-08-31,5275614,3843397.8,137.26
2020-09-01,2704194,3723418.8,72.63
2020-09-02,2825239,3760787.8,75.12
2020-09-03,1841550,3643676.2,50.54
2020-09-04,2886867,3106692.8,92.92
2020-09-07,1516649,2354899.8,64.4
2020-09-08,1933504,2200761.8,87.86
2020-09-09,1685225,1972759.0,85.42
2020-09-10,1326177,1869684.4,70.93
2020-09-11,1538378,1599986.6,96.15
2020-09-14,3145262,1925709.2,163.33
2020-09-15,2644009,2067810.2,127.87
2020-09-16,3401835,2411132.2,141.09
2020-09-17,4383978,3022692.4,145.04
2020-09-18,2584103,3231837.4,79.96
2020-09-21,3133848,3229554.6,97.04
