Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,43124,,
2020-06-28,26102,,
2020-07-05,17585,,
2020-07-12,28913,,
2020-07-19,20919,,
2020-07-26,21162,,
2020-08-02,19721,,
2020-08-09,27470,,
2020-08-16,60223,,
2020-08-23,30093,,
2020-08-30,34293,,
2020-09-06,34372,,
2020-09-13,22852,,
2020-09-20,18744,,
2020-09-27,17552,,
2020-10-04,4955,,
2020-10-11,12828,,
2020-10-18,18448,,
2020-10-25,15552,,
2020-11-01,16612,24576.0,67.59
2020-11-08,18128,23326.2,77.72
2020-11-15,43703,24206.25,180.54
2020-11-22,27785,24716.25,112.42
2020-11-29,35474,25044.3,141.65
2020-12-06,33475,25672.1,130.39
2020-12-13,23920,25810.0,92.68
2020-12-20,27546,26201.25,105.13
2020-12-27,32850,26470.25,124.1
2021-01-03,22259,24572.05,90.59
2021-01-10,46723,25403.55,183.92
2021-01-17,49972,26187.5,190.82
2021-01-24,34949,26216.35,133.31
2021-01-31,47636,27455.55,173.5
2021-02-07,22186,27627.65,80.3
2021-02-14,13576,27428.85,49.5
2021-02-21,31505,28756.35,109.56
2021-02-28,30082,29619.05,101.56
2021-03-07,25577,29975.5,85.33
2021-03-14,72293,32812.55,220.32
2021-03-21,24386,33201.25,73.45
2021-03-28,76088,36099.25,210.77
2021-04-04,14830,34655.6,42.79
2021-04-11,17955,34164.1,52.56
2021-04-18,22505,33515.65,67.15
2021-04-25,34879,33585.85,103.85
2021-05-02,28219,33800.8,83.49
2021-05-09,47092,34778.1,135.41
2021-05-16,52109,35741.05,145.8
2021-05-23,25660,35911.1,71.45
2021-05-30,194002,43275.05,448.3
2021-06-06,56648,43608.85,129.9
2021-06-13,43610,44041.9,99.02
2021-06-20,56435,44481.85,126.87
2021-06-27,31437,44944.4,69.95
2021-07-04,21885,45359.85,48.25
2021-07-11,37709,45670.05,82.57
2021-07-18,85521,48442.0,176.54
2021-07-25,45111,49418.7,91.28
2021-08-01,31264,47367.25,66.0
2021-08-08,18060,47050.95,38.38
2021-08-15,29180,44705.55,65.27
2021-08-22,22590,45093.55,50.1
2021-08-29,18553,45123.45,41.12
2021-09-05,16461,44821.25,36.73
2021-09-12,13282,43741.4,30.36
2021-09-19,21190,43389.95,48.84
2021-09-26,9049,41487.8,21.81
2021-10-03,25633,40164.0,63.82
2021-10-10,14385,39600.25,36.33
2021-10-17,17619,30781.1,57.24
2021-10-24,15234,28710.4,53.06
2021-10-31,11988,27129.3,44.19
2021-11-07,17797,25197.4,70.63
2021-11-14,17121,24481.6,69.93
2021-11-21,14294,24102.05,59.31
2021-11-28,13478,22890.5,58.88
2021-12-05,19863,19607.6,101.3
2021-12-12,18714,18287.75,102.33
2021-12-19,29546,18201.85,162.32
2021-12-26,10239,17810.8,57.49
2022-01-02,12312,16967.4,72.56
2022-01-09,14907,16583.25,89.89
2022-01-16,22352,16773.2,133.26
2022-01-23,11454,16522.85,69.32
2022-01-30,19480,16832.75,115.73
2022-02-06,4916,16019.05,30.69
2022-02-13,11173,16125.25,69.29
2022-02-20,17132,15700.2,109.12
2022-02-27,7398,15350.85,48.19
2022-03-06,5576,14748.7,37.81
2022-03-13,11873,14580.65,81.43
2022-03-20,7362,14349.35,51.31
2022-03-27,88055,17862.25,492.97
2022-04-03,17110,17861.7,95.79
2022-04-10,32250,18759.5,171.91
2022-04-17,12130,18692.1,64.89
2022-04-24,19959,18696.9,106.75
2022-05-01,24561,18989.25,129.34
2022-05-08,8623,17943.1,48.06
2022-05-15,16273,18244.8,89.19
2022-05-22,20674,18662.9,110.78
2022-05-29,13730,18604.05,73.8
2022-06-05,11153,18044.1,61.81
2022-06-12,8695,17906.15,48.56
2022-06-19,15643,17714.3,88.31
2022-06-26,13110,18124.0,72.34
2022-07-03,10213,18076.0,56.5
2022-07-10,14460,17942.4,80.59
2022-07-17,25727,18858.85,136.42
2022-07-24,22377,19698.9,113.6
2022-07-31,13301,19770.3,67.28
2022-08-07,16386,20221.5,81.03
2022-08-14,203418,25989.65,782.69
2022-08-21,29267,26597.5,110.04
2022-08-28,28466,26408.3,107.79
2022-09-04,15590,26581.3,58.65
2022-09-11,12484,26207.55,47.64
2022-09-18,11406,25549.8,44.64
2022-09-25,17788,26008.05,68.39
2022-10-02,29291,26658.95,109.87
2022-10-09,11494,26199.95,43.87
2022-10-16,11045,26065.7,42.37
2022-10-23,13299,26173.0,50.81
2022-10-30,11039,26290.2,41.99
2022-11-06,13348,26175.45,50.99
2022-11-13,18401,26440.0,69.6
2022-11-20,26611,27259.9,97.62
2022-11-27,15033,27288.55,55.09
2022-12-04,13589,26681.65,50.93
2022-12-11,15407,26333.15,58.51
2022-12-18,17887,26562.45,67.34
2022-12-25,22490,26867.65,83.71
2023-01-01,15943,17493.9,91.13
2023-01-08,13603,16710.7,81.4
2023-01-15,18663,16220.55,115.06
2023-01-22,14265,16154.3,88.3
2023-01-29,2690,15664.6,17.17
2023-02-05,11703,15679.45,74.64
2023-02-12,7236,15151.85,47.76
2023-02-19,3886,13881.6,27.99
2023-02-26,1917,13402.75,14.3
2023-03-05,13820,13541.5,102.06
2023-03-12,15215,13637.3,111.57
2023-03-19,16398,13905.25,117.93
2023-03-26,12964,13886.05,93.36
2023-04-02,13299,13630.95,97.56
2023-04-09,13944,12997.6,107.28
2023-04-16,15555,13023.7,119.44
2023-04-23,14255,13057.0,109.18
2023-04-30,22437,13408.5,167.33
2023-05-07,8373,12932.8,64.74
2023-05-14,12588,12437.7,101.21
2023-05-21,16505,12465.8,132.4
2023-05-28,14790,12525.15,118.08
2023-06-04,15722,12378.1,127.01
2023-06-11,12811,12305.4,104.11
2023-06-18,22782,13310.0,171.16
2023-06-25,36353,14542.5,249.98
2023-07-02,43592,16360.3,266.45
2023-07-09,31324,17732.2,176.65
2023-07-16,35452,19408.95,182.66
2023-07-23,43748,20905.35,209.27
2023-07-30,62591,23274.15,268.93
2023-08-06,27742,23841.35,116.36
2023-08-13,34234,24904.85,137.46
2023-08-20,64780,27478.9,235.74
2023-08-27,28124,28187.9,99.77
2023-09-03,30199,28920.1,104.42
2023-09-10,18382,29126.45,63.11
2023-09-17,23848,29197.0,81.68
2023-09-24,17560,29656.35,59.21
2023-10-01,11863,29620.1,40.05
2023-10-08,21849,29887.3,73.1
2023-10-15,17821,30038.85,59.33
2023-10-22,31893,30847.4,103.39
2023-10-29,23525,31383.1,74.96
2023-11-05,42288,32358.4,130.69
2023-11-12,38798,32480.65,119.45
2023-11-19,53154,32958.75,161.27
2023-11-26,18411,32313.1,56.98
2023-12-03,31550,32118.0,98.23
2023-12-10,22157,31038.45,71.39
2023-12-17,23717,29094.75,81.52
2023-12-24,18299,28622.6,63.93
2023-12-31,14643,27643.05,52.97
2024-01-07,12325,25020.3,49.26
2024-01-14,31435,25185.85,124.81
2024-01-21,12798,24315.8,52.63
2024-01-28,11341,23963.75,47.33
2024-02-04,26690,24105.85,110.72
2024-02-11,16828,24069.25,69.91
2024-02-18,13091,24130.65,54.25
2024-02-25,10150,23545.7,43.11
2024-03-03,8384,23073.85,36.34
2024-03-10,13313,22144.85,60.12
2024-03-17,16002,21768.7,73.51
2024-03-24,17776,20543.1,86.53
2024-03-31,13290,19267.7,68.98
2024-04-07,14714,17345.7,84.83
2024-04-14,12999,17075.1,76.13
2024-04-21,14116,16203.4,87.12
2024-04-28,39141,17052.6,229.53
2024-05-05,16202,16676.85,97.15
2024-05-12,18805,16702.15,112.59
2024-05-19,59198,18929.9,312.72
2024-05-26,43425,20484.9,211.99
2024-06-02,47480,21287.15,223.05
2024-06-09,34572,22375.85,154.51
2024-06-16,98442,26730.9,368.27
2024-06-23,61727,28482.75,216.72
2024-06-30,28329,29057.8,97.49
2024-07-07,29177,29862.1,97.71
2024-07-14,26304,30669.8,85.77
2024-07-21,19351,31218.15,61.99
2024-07-28,13913,31248.15,44.52
2024-08-04,15843,31240.2,50.71
2024-08-11,28836,31793.2,90.7
2024-08-18,16620,31959.7,52.0
2024-08-25,8750,31661.5,27.64
2024-09-01,17238,31873.45,54.08
2024-09-08,16614,31998.35,51.92
2024-09-15,20937,31088.15,67.35
2024-09-22,12536,30904.85,40.56
2024-09-29,16466,30787.9,53.48
2024-10-06,10814,28368.7,38.12
2024-10-13,14913,26943.1,55.35
2024-10-20,9353,25036.75,37.36
2024-10-27,15440,24080.15,64.12
2024-11-03,14847,19900.4,74.61
2024-11-10,12929,17460.5,74.05
2024-11-17,15279,16808.0,90.9
2024-11-24,12404,15969.35,77.67
2024-12-01,11610,15234.65,76.21
2024-12-08,15060,15020.1,100.27
2024-12-15,16209,15134.9,107.1
2024-12-22,16381,15161.8,108.04
2024-12-29,8960,14168.0,63.24
2025-01-05,7612,13717.6,55.49
2025-01-12,14346,13997.4,102.49
2025-01-19,17446,14007.8,124.54
2025-01-26,8498,13602.0,62.48
2025-02-02,2305,12670.4,18.19
2025-02-09,13431,12715.15,105.63
2025-02-16,14772,12630.45,116.96
2025-02-23,17796,12979.55,137.11
2025-03-02,14731,12970.45,113.57
2025-03-09,27399,13872.75,197.5
2025-03-16,19621,14081.8,139.34
2025-03-23,30170,14847.95,203.19
2025-03-30,14869,14944.95,99.49
2025-04-06,11602,14761.1,78.6
2025-04-13,16223,14952.05,108.5
2025-04-20,9771,14860.1,65.75
2025-04-27,6619,14438.05,45.84
2025-05-04,8982,14076.7,63.81
2025-05-11,11792,13847.25,85.16
2025-05-18,24695,14634.0,168.75
2025-05-25,23617,15434.25,153.02
2025-06-01,18955,15664.7,121.0
2025-06-08,16692,15627.0,106.82
2025-06-15,40741,17239.15,236.33
2025-06-22,35767,18912.25,189.12
2025-06-29,27280,19604.7,139.15
2025-07-06,36820,20707.1,177.81
2025-07-13,29547,21294.65,138.75
