Date,Tenkan,Kijun,Senkou_A,Senkou_B,Close
2020-10-15,,,,298691.9765625,254962.875
2020-10-16,,,,271762.7578125,198139.765625
2020-10-19,,,,265833.3828125,186775.140625
2020-10-20,,,,260398.1328125,180351.65625
2020-10-21,,,,260398.1328125,176892.859375
2020-10-22,,,,260151.0703125,177881.078125
2020-10-23,,,,258174.6171875,170469.375
2020-10-26,,,,250515.8515625,154163.609375
2020-10-27,248786.4453125,,,248786.4453125,160587.09375
2020-10-28,200363.265625,,,248786.4453125,156634.171875
2020-10-29,175410.5078125,,,248786.4453125,155151.828125
2020-10-30,165775.28125,,,243598.25,140328.40625
2020-11-02,161328.2578125,,,243104.140625,141810.75
2020-11-03,161081.203125,,,243104.140625,150210.6875
2020-11-04,160587.09375,,,243104.140625,147246.0
2020-11-05,155398.890625,,,243104.140625,162069.421875
2020-11-06,155151.8359375,,,243104.140625,160092.96875
2020-11-09,155151.8359375,,,243104.140625,161081.203125
2020-11-10,155151.8359375,,,243104.140625,166022.34375
2020-11-11,155151.8359375,,,243104.140625,162069.421875
2020-11-12,155151.8359375,,,243104.140625,155645.953125
2020-11-13,156881.234375,,,243104.140625,158116.515625
2020-11-16,158116.515625,,,243104.140625,169481.140625
2020-11-17,164540.0,,,243104.140625,177386.96875
2020-11-18,167998.796875,,,243104.140625,179363.421875
2020-11-19,167998.796875,243104.140625,205551.46875,243104.140625,177881.078125
2020-11-20,171704.65625,194680.9609375,183192.80859375,243104.140625,182328.109375
2020-11-23,171704.65625,169728.203125,170716.4296875,243104.140625,177881.078125
2020-11-24,171704.65625,165281.171875,168492.9140625,243104.140625,178869.3125
2020-11-25,171704.65625,165034.1171875,168369.38671875,243104.140625,171951.71875
2020-11-26,171704.65625,165034.1171875,168369.38671875,243104.140625,173928.171875
2020-11-27,177139.90625,165034.1171875,171087.01171875,243104.140625,175904.625
2020-11-30,180598.7109375,165034.1171875,172816.4140625,243104.140625,177386.96875
2020-12-01,180598.7109375,165034.1171875,172816.4140625,243104.140625,178869.3125
2020-12-02,180598.7109375,165034.1171875,172816.4140625,243104.140625,179857.53125
2020-12-03,179363.4296875,165034.1171875,172198.7734375,243104.140625,187269.25
2020-12-04,179363.4296875,165034.1171875,172198.7734375,243104.140625,185292.796875
2020-12-07,179363.4296875,165034.1171875,172198.7734375,243104.140625,178375.1875
2020-12-08,180598.7109375,166763.515625,173681.11328125,243104.140625,179857.53125
2020-12-09,180598.7109375,167998.796875,174298.75390625,243104.140625,177881.078125
2020-12-10,181339.8828125,169481.140625,175410.51171875,243104.140625,179363.421875
2020-12-11,181586.9375,171704.65625,176645.796875,243104.140625,178375.1875
2020-12-14,180598.7109375,171704.65625,176151.68359375,243104.140625,173434.046875
2020-12-15,178375.1953125,171704.65625,175039.92578125,243104.140625,169975.25
2020-12-16,177881.078125,171704.65625,174792.8671875,243104.140625,170963.484375
2020-12-17,172445.8203125,171704.65625,172075.23828125,243104.140625,159598.859375
2020-12-18,169975.25,171704.65625,170839.953125,243104.140625,160092.96875
2020-12-21,167998.796875,171704.65625,169851.7265625,243104.140625,156634.171875
2020-12-22,166022.3359375,171457.59375,168739.96484375,243104.140625,152681.265625
2020-12-23,165281.1640625,170716.421875,167998.79296875,243104.140625,151198.921875
2020-12-24,163551.7734375,170222.3125,166887.04296875,243104.140625,156140.0625
2020-12-28,161575.3125,170222.3125,165898.8125,243104.140625,154657.71875
2020-12-29,160834.1484375,168987.03125,164910.58984375,194680.9609375,156634.171875
2020-12-30,158363.5703125,168987.03125,163675.30078125,169728.203125,158116.515625
2021-01-04,155893.0,168987.03125,162440.015625,165281.171875,156140.0625
2021-01-05,154904.7734375,168987.03125,161945.90234375,165034.1171875,156634.171875
2021-01-06,154410.6640625,168987.03125,161698.84765625,165034.1171875,156634.171875
2021-01-07,154410.6640625,168987.03125,161698.84765625,165034.1171875,155151.828125
2021-01-08,154904.7734375,168987.03125,161945.90234375,165034.1171875,158610.625
2021-01-11,156387.1171875,168987.03125,162687.07421875,165034.1171875,152681.265625
2021-01-12,154410.6640625,168245.859375,161328.26171875,165034.1171875,151693.03125
2021-01-13,163057.65625,167751.7421875,165404.69921875,165034.1171875,166516.453125
2021-01-14,163057.65625,167257.625,165157.640625,165034.1171875,164045.890625
2021-01-15,163057.65625,164787.0546875,163922.35546875,165034.1171875,155151.828125
2021-01-18,163057.65625,164540.0,163798.828125,166763.515625,163551.765625
2021-01-19,163057.65625,164045.8828125,163551.76953125,167998.796875,171457.59375
2021-01-20,163057.65625,164045.8828125,163551.76953125,169481.140625,173928.171875
2021-01-21,163057.65625,163057.65625,163057.65625,169481.140625,170963.484375
2021-01-22,171951.7109375,171951.7109375,171951.7109375,171951.7109375,190233.9375
2021-01-25,182822.2265625,181339.8828125,182081.0546875,181339.8828125,201104.4375
2021-01-26,184551.625,182328.109375,183439.8671875,182328.109375,208022.046875
2021-01-27,185786.90625,183563.390625,184675.1484375,183563.390625,205057.359375
2021-01-28,187516.3046875,185292.7890625,186404.546875,185292.7890625,217410.203125
2021-01-29,193692.7265625,185292.7890625,189492.7578125,185292.7890625,202092.671875
2021-02-01,194680.953125,185292.7890625,189986.87109375,185292.7890625,214939.640625
2021-02-02,204563.2421875,193939.7890625,199251.515625,193939.7890625,229763.0625
2021-02-03,204563.2421875,193939.7890625,199251.515625,193939.7890625,229763.0625
2021-02-04,218151.3828125,196163.3046875,207157.34375,196163.3046875,238657.109375
2021-02-05,219386.6640625,197398.5859375,208392.625,197398.5859375,240139.453125
2021-02-08,222598.4140625,198386.8203125,210492.6171875,198386.8203125,242610.03125
2021-02-09,222598.4140625,198386.8203125,210492.6171875,198386.8203125,228280.71875
2021-02-10,222598.4140625,198386.8203125,210492.6171875,198386.8203125,228774.828125
2021-02-15,222598.4140625,198386.8203125,210492.6171875,198386.8203125,223833.6875
2021-02-16,232233.6328125,200857.390625,216545.51171875,200857.390625,245080.59375
2021-02-17,238163.0078125,200857.390625,219510.19921875,200857.390625,246068.828125
2021-02-18,239645.34375,202092.671875,220869.0078125,202092.671875,238657.109375
2021-02-19,239645.34375,203575.015625,221610.1796875,202092.671875,231739.515625
2021-02-22,239645.34375,204316.1875,221980.765625,202092.671875,224327.8125
2021-02-23,237174.7734375,204316.1875,220745.48046875,202092.671875,225810.15625
2021-02-24,231739.515625,204316.1875,218027.8515625,202092.671875,208516.15625
2021-02-25,229268.9453125,210492.609375,219880.77734375,202092.671875,209504.390625
2021-02-26,227045.4375,211480.8359375,219263.13671875,202092.671875,204069.125
2021-03-02,227045.4375,212716.125,219880.78125,202092.671875,204563.25
2021-03-03,227045.4375,212716.125,219880.78125,202092.671875,209998.5
2021-03-04,220621.953125,224080.75,222351.3515625,202092.671875,210492.609375
2021-03-05,217410.2109375,224080.75,220745.48046875,202092.671875,205057.359375
2021-03-08,217410.2109375,226304.265625,221857.23828125,202092.671875,205551.46875
2021-03-09,215680.8046875,225316.03125,220498.41796875,202092.671875,197645.640625
2021-03-10,202339.734375,223092.5234375,212716.12890625,202092.671875,190728.046875
2021-03-11,202339.734375,223092.5234375,212716.12890625,202092.671875,209010.265625
2021-03-12,208022.046875,223092.5234375,215557.28515625,202092.671875,225316.03125
2021-03-15,208022.046875,223092.5234375,215557.28515625,202092.671875,215433.75
2021-03-16,208022.046875,223092.5234375,215557.28515625,202092.671875,216421.984375
2021-03-17,210739.671875,223092.5234375,216916.09765625,202092.671875,228280.71875
2021-03-18,211480.84375,223092.5234375,217286.68359375,202092.671875,231245.40625
2021-03-19,211480.84375,223092.5234375,217286.68359375,202092.671875,223339.578125
2021-03-22,211480.84375,223092.5234375,217286.68359375,202092.671875,227292.484375
2021-03-23,211727.8984375,223092.5234375,217410.2109375,202092.671875,219386.671875
2021-03-24,222104.296875,223092.5234375,222598.41015625,202092.671875,216421.984375
2021-03-25,222104.296875,223092.5234375,222598.41015625,202092.671875,232727.75
2021-03-26,226798.375,223092.5234375,224945.44921875,202092.671875,239151.234375
2021-03-29,227045.4375,216669.0390625,221857.23828125,202092.671875,233715.96875
2021-03-30,229516.0078125,217904.328125,223710.16796875,203575.015625,239645.34375
2021-03-31,230751.2890625,219139.609375,224945.44921875,204316.1875,240139.453125
2021-04-01,230751.2890625,219139.609375,224945.44921875,204316.1875,236186.546875
2021-04-02,230751.2890625,219139.609375,224945.44921875,204316.1875,240139.453125
2021-04-05,237668.890625,226057.2109375,231863.05078125,213457.296875,245080.59375
2021-04-06,238904.1796875,226057.2109375,232480.6953125,214445.5234375,255951.109375
2021-04-07,251257.0234375,233221.859375,242239.44140625,222845.4609375,272751.0
2021-04-08,256445.21875,235939.484375,246192.3515625,225563.0859375,263856.9375
2021-04-09,256445.21875,235939.484375,246192.3515625,235939.484375,254962.875
2021-04-12,256445.21875,235939.484375,246192.3515625,235939.484375,249527.625
2021-04-13,256445.21875,235939.484375,246192.3515625,235939.484375,249527.625
2021-04-14,255456.9921875,235939.484375,245698.23828125,235939.484375,232727.75
2021-04-15,253233.4765625,236186.5390625,244710.0078125,235939.484375,247057.0625
