Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-10-31,23231058,,
2020-11-30,10804261,,
2020-12-31,5344233,,
2021-01-31,14866967,,
2021-02-28,9269433,,
2021-03-31,6578467,,
2021-04-30,11995856,,
2021-05-31,6118017,,
2021-06-30,15211210,,
2021-07-31,7732645,,
2021-08-31,3820451,,
2021-09-30,4243329,,
2021-10-31,7433086,,
2021-11-30,8714285,,
2021-12-31,5910551,,
2022-01-31,5172520,,
2022-02-28,4719835,,
2022-03-31,2924124,,
2022-04-30,5721062,,
2022-05-31,4110055,8196072.25,50.15
2022-06-30,13500502,7709544.45,175.11
2022-07-31,5881750,7463418.9,78.81
2022-08-31,6079368,7500175.65,81.06
2022-09-30,4235650,6968609.8,60.78
2022-10-31,5247165,6767496.4,77.53
2022-11-30,3748122,6625979.15,56.57
2022-12-31,4768146,6264593.65,76.11
2023-01-31,3735621,6145473.85,60.79
2023-02-28,716902,5420758.45,13.23
2023-03-31,6011601,5334706.25,112.69
2023-04-30,6409612,5464164.3,117.3
2023-05-31,5447221,5524358.9,98.6
2023-06-30,5707398,5438074.5,104.95
2023-07-31,6857864,5345253.45,128.3
2023-08-31,6563398,5377895.8,122.04
2023-09-30,3022079,5270373.75,57.34
2023-10-31,3769643,5222864.15,72.18
2023-11-30,10895089,5621412.4,193.81
2023-12-31,4136315,5542175.05,74.63
2024-01-31,4368331,5555088.85,78.64
2024-02-29,4562092,5108168.35,89.31
2024-03-31,5569749,5092568.3,109.37
2024-04-30,8022880,5189743.9,154.59
2024-05-31,7983638,5377143.3,148.47
2024-06-30,4015207,5315545.4,75.54
2024-07-31,3944473,5325362.95,74.07
2024-08-31,4800729,5326992.1,90.12
2024-09-30,3257951,5303108.6,61.43
2024-10-31,3089847,5421755.85,56.99
2024-11-30,5355365,5388944.05,99.38
2024-12-31,4121825,5274554.7,78.15
2025-01-31,2963731,5150380.2,57.54
2025-02-28,4120249,5071022.75,81.25
2025-03-31,3354238,4895841.45,68.51
2025-04-30,4696732,4802508.15,97.8
2025-05-31,3664332,4834620.8,75.79
2025-06-30,4527276,4872502.45,92.91
2025-07-31,2927520,4474124.0,65.43
