Date,Volume,Volume_MA5,Volume_Ratio_5d
2024-07-10,62627700,,
2024-07-11,64710600,,
2024-07-12,53046500,,
2024-07-15,62631300,,
2024-07-16,43234300,57250080.0,75.52
2024-07-17,57345900,56193720.0,102.05
2024-07-18,66034600,56458520.0,116.96
2024-07-19,49151500,55679520.0,88.28
2024-07-22,48201800,52793620.0,91.3
2024-07-23,39960300,52138820.0,76.64
2024-07-24,61777600,53025160.0,116.51
2024-07-25,51391200,50096480.0,102.58
2024-07-26,41601300,48586440.0,85.62
2024-07-29,36311800,46208440.0,78.58
2024-07-30,41643800,46545140.0,89.47
2024-07-31,50036300,44196880.0,113.21
2024-08-01,62501000,46418840.0,134.65
2024-08-02,105568600,59212300.0,178.29
2024-08-05,119548600,75859660.0,157.59
2024-08-06,69660500,81463000.0,85.51
2024-08-07,63516400,84159020.0,75.47
2024-08-08,47161100,81091040.0,58.16
2024-08-09,42201600,68417640.0,61.68
2024-08-12,38028100,52113540.0,72.97
2024-08-13,44155300,47012500.0,93.92
2024-08-14,41960600,42701340.0,98.27
2024-08-15,46414000,42551920.0,109.08
2024-08-16,44340200,42979640.0,103.17
2024-08-19,40687800,43511580.0,93.51
2024-08-20,30299000,40740320.0,74.37
2024-08-21,34765500,39301300.0,88.46
2024-08-22,43695300,38757560.0,112.74
2024-08-23,38677300,37624980.0,102.8
2024-08-26,30602200,35607860.0,85.94
2024-08-27,35934600,36734980.0,97.82
2024-08-28,38052200,37392320.0,101.76
2024-08-29,51906300,39034520.0,132.98
2024-08-30,52990800,41897220.0,126.48
2024-09-03,50190600,45814900.0,109.55
2024-09-04,43840200,47396020.0,92.5
2024-09-05,36615400,47108660.0,77.73
2024-09-06,48423000,46412000.0,104.33
2024-09-09,67180000,49249840.0,136.41
2024-09-10,51591000,49529920.0,104.16
2024-09-11,44587100,49679300.0,89.75
2024-09-12,37498200,49855860.0,75.21
2024-09-13,36766600,47524580.0,77.36
2024-09-16,59357400,45960060.0,129.15
2024-09-17,45519300,44745720.0,101.73
2024-09-18,59894900,47807280.0,125.28
2024-09-19,66781300,53663900.0,124.44
2024-09-20,318679900,110046560.0,289.59
2024-09-23,54146000,109004280.0,49.67
2024-09-24,43556100,108611640.0,40.1
2024-09-25,42308700,105094400.0,40.26
2024-09-26,36636700,99065480.0,36.98
2024-09-27,34026000,42134700.0,80.76
2024-09-30,54541900,42213880.0,129.2
2024-10-01,63285000,46159660.0,137.1
2024-10-02,32880600,44274040.0,74.27
2024-10-03,34044200,43755540.0,77.81
2024-10-04,37245100,44399360.0,83.89
2024-10-07,39505400,41392060.0,95.44
2024-10-08,31855700,35106200.0,90.74
2024-10-09,33591100,35248300.0,95.3
2024-10-10,28183500,34076160.0,82.71
2024-10-11,31759200,32978980.0,96.3
2024-10-14,39882100,33054320.0,120.66
2024-10-15,64751400,39633460.0,163.38
2024-10-16,34082200,39731680.0,85.78
2024-10-17,32993800,40693740.0,81.08
2024-10-18,46431500,43628200.0,106.43
2024-10-21,36254500,42902680.0,84.5
2024-10-22,38846600,37721720.0,102.98
2024-10-23,52287000,41362680.0,126.41
2024-10-24,31109500,40985820.0,75.9
2024-10-25,38802300,39459980.0,98.33
2024-10-28,36087100,39426500.0,91.53
2024-10-29,35417200,38740620.0,91.42
2024-10-30,47070900,37697400.0,124.87
2024-10-31,64370100,44349520.0,145.14
2024-11-01,65276700,49644400.0,131.49
2024-11-04,44944500,51415880.0,87.41
2024-11-05,28111300,49954700.0,56.27
2024-11-06,54561100,51452740.0,106.04
2024-11-07,42137700,47006260.0,89.64
2024-11-08,38328800,41616680.0,92.1
2024-11-11,42005600,41028900.0,102.38
2024-11-12,40398300,43486300.0,92.9
2024-11-13,48566200,42287320.0,114.85
2024-11-14,44923900,42844560.0,104.85
2024-11-15,47923700,44763540.0,107.06
2024-11-18,44686000,45299620.0,98.65
2024-11-19,36211800,44462320.0,81.44
2024-11-20,35169600,41783000.0,84.17
2024-11-21,42108300,41219880.0,102.16
2024-11-22,38168300,39268800.0,97.2
2024-11-25,90152800,48362160.0,186.41
2024-11-26,45986200,50317040.0,91.39
2024-11-27,33498400,49982800.0,67.02
2024-11-29,28481400,47257420.0,60.27
2024-12-02,48137100,49251180.0,97.74
2024-12-03,38861000,38992820.0,99.66
2024-12-04,44383900,38672360.0,114.77
2024-12-05,40033900,39979460.0,100.14
2024-12-06,36870600,41657300.0,88.51
2024-12-09,44649200,40959720.0,109.01
2024-12-10,36914800,40570480.0,90.99
2024-12-11,45205800,40734860.0,110.98
2024-12-12,32777500,39283580.0,83.44
2024-12-13,33155300,38540520.0,86.03
2024-12-16,51694800,39949640.0,129.4
2024-12-17,51356400,42837960.0,119.89
2024-12-18,56774100,45151620.0,125.74
2024-12-19,60882300,50772580.0,119.91
2024-12-20,147495300,73640580.0,200.29
2024-12-23,40858800,71473380.0,57.17
2024-12-24,23234700,65849040.0,35.28
2024-12-26,27237100,59941640.0,45.44
2024-12-27,42355300,56236240.0,75.32
2024-12-30,35557500,33848680.0,105.05
2024-12-31,39480700,33573060.0,117.6
2025-01-02,55740700,40074260.0,139.09
2025-01-03,40244100,42675660.0,94.3
2025-01-06,45045600,43213720.0,104.24
2025-01-07,40856000,44273420.0,92.28
2025-01-08,37628900,43903060.0,85.71
2025-01-10,61710900,45097100.0,136.84
2025-01-13,49630700,46974420.0,105.65
2025-01-14,39435300,45852360.0,86.0
2025-01-15,39832000,45647560.0,87.26
2025-01-16,71759100,52473600.0,136.75
2025-01-17,68488300,53829080.0,127.23
2025-01-21,98070400,63517020.0,154.4
2025-01-22,64126500,68455260.0,93.68
2025-01-23,60234800,72535820.0,83.04
2025-01-24,54697900,69123580.0,79.13
2025-01-27,94863400,74398600.0,127.51
2025-01-28,75707600,69926040.0,108.27
2025-01-29,45486100,66197960.0,68.71
2025-01-30,55658300,65282660.0,85.26
2025-01-31,101075100,74558100.0,135.57
2025-02-03,73063300,70198080.0,104.08
2025-02-04,45067300,64070020.0,70.34
2025-02-05,39620300,62896860.0,62.99
2025-02-06,29925300,57750260.0,51.82
2025-02-07,39707200,45476680.0,87.31
2025-02-10,33115600,37487140.0,88.34
2025-02-11,53718400,39217360.0,136.98
2025-02-12,45243300,40341960.0,112.15
2025-02-13,53614100,45079720.0,118.93
2025-02-14,40896200,45317520.0,90.24
2025-02-18,48822500,48458900.0,100.75
2025-02-19,32204200,44156060.0,72.93
2025-02-20,32316900,41570780.0,77.74
2025-02-21,53197400,41487440.0,128.23
2025-02-24,51326400,43573480.0,117.79
2025-02-25,48013300,43411640.0,110.6
2025-02-26,44433600,45857520.0,96.89
2025-02-27,41153600,47624860.0,86.41
2025-02-28,56833400,48352060.0,117.54
2025-03-03,47184000,47523580.0,99.29
2025-03-04,53798100,48680540.0,110.51
2025-03-05,47227600,49239340.0,95.91
2025-03-06,45170400,50042700.0,90.26
2025-03-07,46273600,47930740.0,96.54
2025-03-10,72071200,52908180.0,136.22
2025-03-11,76137400,57376040.0,132.7
2025-03-12,62547500,60440020.0,103.49
2025-03-13,61368300,63679600.0,96.37
2025-03-14,60107600,66446400.0,90.46
2025-03-17,48073400,61646840.0,77.98
2025-03-18,42432400,54905840.0,77.28
2025-03-19,54385400,53273420.0,102.09
2025-03-20,48862900,50772340.0,96.24
2025-03-21,94127800,57576380.0,163.48
2025-03-24,44299500,56821600.0,77.96
2025-03-25,34493600,55233840.0,62.45
2025-03-26,34466100,51249980.0,67.25
2025-03-27,37094800,48896360.0,75.86
2025-03-28,39818600,38034520.0,104.69
2025-03-31,65299300,42234480.0,154.61
2025-04-01,36412700,42618300.0,85.44
2025-04-02,35905900,42906260.0,83.68
2025-04-03,103419000,56171100.0,184.11
2025-04-04,125910900,73389560.0,171.57
2025-04-07,160466300,92422960.0,173.62
2025-04-08,120859500,109312320.0,110.56
2025-04-09,184395900,139010320.0,132.65
2025-04-10,121880000,142702520.0,85.41
2025-04-11,87435900,135007520.0,64.76
2025-04-14,101352900,123184840.0,82.28
2025-04-15,51343900,109281720.0,46.98
2025-04-16,59732400,84349020.0,70.82
2025-04-17,51334300,70239880.0,73.08
2025-04-21,46742500,62101200.0,75.27
2025-04-22,52976400,52425900.0,101.05
2025-04-23,52929200,52742960.0,100.35
2025-04-24,47311000,50258680.0,94.13
2025-04-25,38222300,47636280.0,80.24
2025-04-28,38743100,46036400.0,84.16
2025-04-29,36827600,42806640.0,86.03
2025-04-30,52286500,42678100.0,122.51
2025-05-01,57365700,44689040.0,128.37
2025-05-02,101010600,57246700.0,176.45
2025-05-05,69018500,63301780.0,109.03
2025-05-06,51216500,66179560.0,77.39
2025-05-07,68536700,69429600.0,98.71
2025-05-08,50478900,68052240.0,74.18
2025-05-09,36453900,55140900.0,66.11
2025-05-12,63775800,54092360.0,117.9
2025-05-13,51909300,54230920.0,95.72
2025-05-14,49325800,50388740.0,97.89
2025-05-15,45029500,49298860.0,91.34
2025-05-16,54737900,52955660.0,103.37
2025-05-19,46140500,49428600.0,93.35
2025-05-20,42496600,47546060.0,89.38
2025-05-21,59211800,49523260.0,119.56
2025-05-22,46742400,49865840.0,93.74
2025-05-23,78432900,54604840.0,143.64
2025-05-27,56288500,56634440.0,99.39
2025-05-28,45339700,57203060.0,79.26
2025-05-29,51396800,55640060.0,92.37
2025-05-30,70819900,60455560.0,117.14
2025-06-02,35423300,51853640.0,68.31
2025-06-03,46381600,49872260.0,93.0
2025-06-04,43604000,49525120.0,88.04
2025-06-05,55126100,50270980.0,109.66
2025-06-06,46607700,45428540.0,102.6
2025-06-09,72862600,52916400.0,137.69
2025-06-10,54672600,54574600.0,100.18
2025-06-11,60989900,58051780.0,105.06
2025-06-12,43904600,55807480.0,78.67
2025-06-13,51447300,56775400.0,90.62
2025-06-16,43020700,50807020.0,84.67
2025-06-17,38856200,47643740.0,81.56
2025-06-18,45394700,44524700.0,101.95
2025-06-20,96813500,55106480.0,175.68
2025-06-23,55814300,55979880.0,99.7
2025-06-24,54064000,58188540.0,92.91
2025-06-25,39525700,58322440.0,67.77
2025-06-26,50799100,59403320.0,85.52
2025-06-27,73188600,54678340.0,133.85
2025-06-30,91912800,61898040.0,148.49
2025-07-01,78788900,66843020.0,117.87
2025-07-02,67941800,72526240.0,93.68
2025-07-03,34955800,69357580.0,50.4
2025-07-07,50229000,64765660.0,77.55
2025-07-08,42848900,54952880.0,77.97
2025-07-09,48749400,48944980.0,99.6
2025-07-10,43770740,44110768.0,99.23
