Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-14,8189200,,
2020-05-15,13609400,,
2020-05-18,7646500,,
2020-05-19,7693100,,
2020-05-20,7488800,,
2020-05-21,6148300,,
2020-05-22,5184500,,
2020-05-26,6243800,,
2020-05-27,5420600,,
2020-05-28,5316300,,
2020-05-29,10138500,,
2020-06-01,5451600,,
2020-06-02,6394100,,
2020-06-03,8056300,,
2020-06-04,9113600,,
2020-06-05,11874500,,
2020-06-08,5426800,,
2020-06-09,4857400,,
2020-06-10,5829100,,
2020-06-11,8168300,7412535.0,110.2
2020-06-12,5590400,7282595.0,76.76
2020-06-15,5666000,6885425.0,82.29
2020-06-16,6143400,6810270.0,90.21
2020-06-17,4359100,6643570.0,65.61
2020-06-18,6022900,6570275.0,91.67
2020-06-19,9473300,6736525.0,140.63
2020-06-22,5072800,6730940.0,75.37
2020-06-23,4156900,6626595.0,62.73
2020-06-24,6141900,6662660.0,92.18
2020-06-25,5781100,6685900.0,86.47
2020-06-26,8522500,6605100.0,129.03
2020-06-29,4669300,6565985.0,71.11
2020-06-30,5220900,6507325.0,80.23
2020-07-01,3389600,6273990.0,54.03
2020-07-02,3845300,6010575.0,63.98
2020-07-06,5919100,5712805.0,103.61
2020-07-07,3389200,5610925.0,60.4
2020-07-08,3815300,5558820.0,68.64
2020-07-09,4576800,5496205.0,83.27
2020-07-10,2923200,5233950.0,55.85
2020-07-13,4297300,5169295.0,83.13
2020-07-14,4122800,5092135.0,80.96
2020-07-15,6205000,5095215.0,121.78
2020-07-16,7582200,5256370.0,144.25
2020-07-17,8315500,5371000.0,154.82
2020-07-20,5677900,5181230.0,109.59
2020-07-21,5063500,5180765.0,97.74
2020-07-22,4662000,5206020.0,89.55
2020-07-23,5905800,5194215.0,113.7
2020-07-24,4534400,5131880.0,88.36
2020-07-27,3717900,4891650.0,76.01
2020-07-28,4114200,4863895.0,84.59
2020-07-29,4744200,4840060.0,98.02
2020-07-30,3176900,4829425.0,65.78
2020-07-31,4604000,4867360.0,94.59
2020-08-03,3670900,4754950.0,77.2
2020-08-04,2730600,4722020.0,57.83
2020-08-05,4415300,4752020.0,92.91
2020-08-06,3943000,4720330.0,83.53
2020-08-07,3141900,4731265.0,66.41
2020-08-10,2776300,4655215.0,59.64
2020-08-11,4823000,4690225.0,102.83
2020-08-12,2668900,4513420.0,59.13
2020-08-13,2951700,4281895.0,68.93
2020-08-14,2739900,4003115.0,68.44
2020-08-17,4657400,3952090.0,117.85
2020-08-18,3777600,3887795.0,97.17
2020-08-19,2716800,3790535.0,71.67
2020-08-20,3548600,3672675.0,96.62
2020-08-21,3585000,3625205.0,98.89
2020-08-24,3212700,3599945.0,89.24
2020-08-25,2626400,3525555.0,74.5
2020-08-26,2968800,3436785.0,86.38
2020-08-27,36319000,5093890.0,712.99
2020-08-28,17204000,5723890.0,300.56
2020-08-31,6943200,5887505.0,117.93
2020-09-01,7963100,6149130.0,129.5
2020-09-02,5843700,6220550.0,93.94
2020-09-03,6096900,6328245.0,96.34
2020-09-04,5027700,6422535.0,78.28
2020-09-08,5217700,6544605.0,79.73
2020-09-09,4365100,6521710.0,66.93
2020-09-10,4271200,6601825.0,64.7
2020-09-11,4111000,6659790.0,61.73
2020-09-14,3824100,6714000.0,56.96
2020-09-15,3654900,6663875.0,54.85
2020-09-16,4242500,6687120.0,63.44
2020-09-17,4283500,6765455.0,63.31
2020-09-18,7622400,6969145.0,109.37
2020-09-21,4559800,7017885.0,64.97
2020-09-22,4180300,7066265.0,59.16
2020-09-23,4040100,7136950.0,56.61
2020-09-24,7604000,7368710.0,103.19
2020-09-25,5060300,5805775.0,87.16
2020-09-28,5515500,5221350.0,105.63
2020-09-29,4464300,5097405.0,87.58
2020-09-30,9487000,5173600.0,183.37
2020-10-01,7242100,5243520.0,138.12
2020-10-02,5590500,5218200.0,107.13
2020-10-05,3603400,5146985.0,70.01
2020-10-06,3992600,5085730.0,78.51
2020-10-07,4162400,5075595.0,82.01
2020-10-08,4168400,5070455.0,82.21
2020-10-09,3060700,5017940.0,61.0
2020-10-12,4201800,5036825.0,83.42
2020-10-13,4773600,5092760.0,93.73
