Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-12-20,54500,,
2020-12-27,494500,,
2021-01-03,626100,,
2021-01-10,775700,,
2021-01-17,2495000,,
2021-01-24,2135000,,
2021-01-31,2255100,,
2021-02-07,2864100,,
2021-02-14,51787600,,
2021-02-21,48622800,,
2021-02-28,36809500,,
2021-03-07,33395300,,
2021-03-14,15675000,,
2021-03-21,11023400,,
2021-03-28,11914800,,
2021-04-04,5360400,,
2021-04-11,6615700,,
2021-04-18,7270800,,
2021-04-25,7209000,,
2021-05-02,3813100,12559870.0,30.36
2021-05-09,4654400,12789865.0,36.39
2021-05-16,6161000,13073190.0,47.13
2021-05-23,3361700,13209970.0,25.45
2021-05-30,3027100,13322540.0,22.72
2021-06-06,1621900,13278885.0,12.21
2021-06-13,10505200,13697395.0,76.69
2021-06-20,3484100,13758845.0,25.32
2021-06-27,4004400,13815860.0,28.98
2021-07-04,1730500,11313005.0,15.3
2021-07-11,4113500,9087540.0,45.27
2021-07-18,2500500,7372090.0,33.92
2021-07-25,5337000,5969175.0,89.41
2021-08-01,1870100,5278930.0,35.43
2021-08-08,1438100,4799665.0,29.96
2021-08-15,1852000,4296525.0,43.1
2021-08-22,4425000,4249755.0,104.12
2021-08-29,7196100,4278775.0,168.18
2021-09-05,8423600,4336415.0,194.25
2021-09-12,5364600,4244195.0,126.4
2021-09-19,8692900,4488185.0,193.68
2021-09-26,5803300,4545630.0,127.67
2021-10-03,3667000,4420930.0,82.95
2021-10-10,3387700,4422230.0,76.61
2021-10-17,3439700,4442860.0,77.42
2021-10-24,3757700,4549650.0,82.59
2021-10-31,23354800,5192130.0,449.81
2021-11-07,17407300,5888290.0,295.63
2021-11-14,11546800,6265410.0,184.29
2021-11-21,7103400,6534055.0,108.71
2021-11-28,7338000,6695280.0,109.6
2021-12-05,11141200,7127315.0,156.32
2021-12-12,10624800,7391705.0,143.74
2021-12-19,15509300,8073665.0,192.1
2021-12-26,10111700,8507345.0,118.86
2022-01-02,13568600,9093175.0,149.22
2022-01-09,10566000,9400225.0,112.4
2022-01-16,9537300,9517285.0,100.21
2022-01-23,7272000,9459705.0,76.87
2022-01-30,12713300,9827140.0,129.37
2022-02-06,7704600,9777725.0,78.8
2022-02-13,14836900,10229405.0,145.04
2022-02-20,7630100,10427560.0,73.17
2022-02-27,7221200,10619235.0,68.0
2022-03-06,6710700,10782785.0,62.24
2022-03-13,9756700,11082735.0,88.04
2022-03-20,15641700,10697080.0,146.22
2022-03-27,12236000,10438515.0,117.22
2022-04-03,11405500,10431450.0,109.34
2022-04-10,8166900,10484625.0,77.89
2022-04-17,6025700,10419010.0,57.83
2022-04-24,6305100,10177205.0,61.95
2022-05-01,13364100,10314170.0,129.57
2022-05-08,9904200,10033915.0,98.71
2022-05-15,11987300,10127695.0,118.36
2022-05-22,11469400,10022735.0,114.43
2022-05-29,11227000,10055785.0,111.65
2022-06-05,10158900,10086865.0,100.71
2022-06-12,11770400,10311785.0,114.15
2022-06-19,23935100,10872875.0,220.14
2022-06-26,27394600,11857375.0,231.03
2022-07-03,14946400,11862850.0,125.99
2022-07-10,7674400,11865065.0,64.68
2022-07-17,5642900,11786150.0,47.88
2022-07-24,6708600,11786045.0,56.92
2022-07-31,11036100,11850015.0,93.13
2022-08-07,6633800,11399620.0,58.19
2022-08-14,18929200,11734280.0,161.32
2022-08-21,10218400,11674925.0,87.52
2022-08-28,6460600,11589610.0,55.74
2022-09-04,4597500,11518200.0,39.92
2022-09-11,4636400,11434765.0,40.55
2022-09-18,11045700,11318845.0,97.59
2022-09-25,7916000,11219435.0,70.56
2022-10-02,9231300,11081635.0,83.3
2022-10-09,6604000,10838365.0,60.93
2022-10-16,4599600,10506995.0,43.78
2022-10-23,4224900,10210295.0,41.38
2022-10-30,5422100,9892880.0,54.81
2022-11-06,4851500,8938700.0,54.28
2022-11-13,6442000,7891070.0,81.64
2022-11-20,8187900,7553145.0,108.4
2022-11-27,4036300,7371240.0,54.76
2022-12-04,7619700,7470080.0,102.0
2022-12-11,6467400,7458020.0,86.72
2022-12-18,8594400,7335935.0,117.15
2022-12-25,7629700,7385730.0,103.3
2023-01-01,7677700,6823155.0,112.52
2023-01-08,15766600,7100565.0,222.05
2023-01-15,8548900,7204980.0,118.65
2023-01-22,10527900,7501500.0,140.34
2023-01-29,7912900,7665325.0,103.23
2023-02-05,9706600,7598370.0,127.75
2023-02-12,7614100,7583275.0,100.41
2023-02-19,9829500,7613185.0,129.11
2023-02-26,4782900,7522130.0,63.58
2023-03-05,7774600,7680880.0,101.22
2023-03-12,9599800,7949625.0,120.76
2023-03-19,9772400,8167140.0,119.66
2023-03-26,6971000,8273115.0,84.26
2023-04-02,11297200,8515875.0,132.66
2023-04-09,4200500,8316505.0,50.51
2023-04-16,8024600,8515920.0,94.23
2023-04-23,11701400,8720005.0,134.19
2023-04-30,6374200,8715345.0,73.14
2023-05-07,5323900,8551820.0,62.25
2023-05-14,8546400,8597655.0,99.4
2023-05-21,21306000,9279070.0,229.61
2023-05-28,15580300,9269755.0,168.08
2023-06-04,7453900,9215005.0,80.89
2023-06-11,15844000,9480810.0,167.12
2023-06-18,41558200,11163075.0,372.28
2023-06-25,17564800,11555985.0,152.0
2023-07-02,33939400,12872250.0,263.66
2023-07-09,26351500,13698350.0,192.37
2023-07-16,35926300,15255520.0,235.5
2023-07-23,28338100,16283695.0,174.03
2023-07-30,17924900,16699950.0,107.34
2023-08-06,71544500,19788555.0,361.54
2023-08-13,58833400,22381675.0,262.86
2023-08-20,80729100,25853270.0,312.26
2023-08-27,85779600,29932225.0,286.58
2023-09-03,56352700,32348630.0,174.2
2023-09-10,32522000,33389660.0,97.4
2023-09-17,51467900,35644345.0,144.39
2023-09-24,31565800,36956440.0,85.41
2023-10-01,37841700,38421205.0,98.49
2023-10-08,20003300,38356070.0,52.15
2023-10-15,23345500,38744330.0,60.26
2023-10-22,20896200,39416445.0,53.01
2023-10-29,19442700,39596380.0,49.1
2023-11-05,20056300,38521285.0,52.07
2023-11-12,25947000,38940395.0,66.63
2023-11-19,38198400,39153345.0,97.56
2023-11-26,18900000,38780770.0,48.74
2023-12-03,27081700,38338540.0,70.64
2023-12-10,26205300,38231900.0,68.54
2023-12-17,36076000,39139455.0,92.17
2023-12-24,22517600,36688110.0,61.38
2023-12-31,13752500,34434065.0,39.94
2024-01-07,15202500,31157735.0,48.79
2024-01-14,14970100,27617260.0,54.21
2024-01-21,14551600,25527205.0,57.0
2024-01-28,27067100,25254460.0,107.18
2024-02-04,18253800,23593755.0,77.37
2024-02-11,19793000,23005115.0,86.04
2024-02-18,28330500,22529555.0,125.75
2024-02-25,19343500,22496565.0,85.98
2024-03-03,36653000,23161940.0,158.25
2024-03-10,41283800,24181320.0,170.73
2024-03-17,52190100,25818690.0,202.14
2024-03-24,29683100,26300030.0,112.86
2024-03-31,20598600,26032610.0,79.13
2024-04-07,18738400,25059610.0,74.78
2024-04-14,17769700,25003095.0,71.07
2024-04-21,17966000,24547310.0,73.19
2024-04-28,19274900,24200790.0,79.65
2024-05-05,18386200,23316300.0,78.86
2024-05-12,21454000,23263120.0,92.22
2024-05-19,23350600,23743025.0,98.35
2024-05-26,26835000,24324650.0,110.32
2024-06-02,29624800,25057385.0,118.23
2024-06-09,34019600,26030785.0,130.69
2024-06-16,25314900,25943175.0,97.58
2024-06-23,49522500,27506610.0,180.04
2024-06-30,56723700,29353145.0,193.25
2024-07-07,49932500,30433245.0,164.07
2024-07-14,57981800,32365160.0,179.15
2024-07-21,52217600,33143390.0,157.55
2024-07-28,31826600,32670530.0,97.42
2024-08-04,38199100,31970980.0,119.48
2024-08-11,49262500,32949950.0,149.51
2024-08-18,43828200,34111430.0,128.49
2024-08-25,40785000,35213760.0,115.82
2024-09-01,46635700,36657060.0,127.22
2024-09-08,52379300,38377725.0,136.48
2024-09-15,44818900,39654925.0,113.02
2024-09-22,62187500,41844990.0,148.61
2024-09-29,56785300,43611555.0,130.21
2024-10-06,73437800,46115915.0,159.25
2024-10-13,51787400,47363535.0,109.34
2024-10-20,37881600,47776375.0,79.29
2024-10-27,75028500,49826820.0,150.58
2024-11-03,73308300,52226490.0,140.37
2024-11-10,104152500,54957990.0,189.51
2024-11-17,152310800,59737345.0,254.97
2024-11-24,171922000,65836820.0,261.13
2024-12-01,242766200,75076040.0,323.36
2024-12-08,309086200,87919470.0,351.56
2024-12-15,217793000,97217790.0,224.03
2024-12-22,317672100,111191440.0,285.7
2024-12-29,176016300,117529130.0,149.76
2025-01-05,166296600,123652550.0,134.49
2025-01-12,154958700,129361235.0,119.79
2025-01-19,133301000,133694500.0,99.71
2025-01-26,118711900,137011130.0,86.64
2025-02-02,102034400,139871905.0,72.95
2025-02-09,103421100,141933585.0,72.87
2025-02-16,238271100,151007875.0,157.79
2025-02-23,182128100,156442390.0,116.42
2025-03-02,184524600,163079250.0,113.15
2025-03-09,134498800,167910110.0,80.1
2025-03-16,131219600,170719665.0,76.86
2025-03-23,133258700,173717185.0,76.71
2025-03-30,95247700,173271945.0,54.97
2025-04-06,119763400,171644575.0,69.77
2025-04-13,136375200,169867235.0,80.28
2025-04-20,63964000,160927125.0,39.75
2025-04-27,98551900,150400410.0,65.53
2025-05-04,130559600,146038740.0,89.4
2025-05-11,79071000,134108685.0,58.96
2025-05-18,286394300,139627585.0,205.11
2025-05-25,175599100,140092710.0,125.34
2025-06-01,118914000,138290475.0,85.99
2025-06-08,143890100,138819930.0,103.65
2025-06-15,303668900,148067780.0,205.09
2025-06-22,178408300,151886475.0,117.46
2025-06-29,215965100,157513675.0,137.11
2025-07-06,160825900,153641415.0,104.68
2025-07-13,160033300,152536675.0,104.91
