Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-12-13,59403700,,
2020-12-20,31179700,,
2020-12-27,35093800,,
2021-01-03,18658900,,
2021-01-10,27778700,34422960.0,80.7
2021-01-17,13972100,25336640.0,55.15
2021-01-24,10491300,21198960.0,49.49
2021-01-31,18973700,17974940.0,105.56
2021-02-07,13058800,16854920.0,77.48
2021-02-14,12758300,13850840.0,92.11
2021-02-21,11071300,13270680.0,83.43
2021-02-28,14680100,14108440.0,104.05
2021-03-07,34327700,17179240.0,199.82
2021-03-14,33566500,21280780.0,157.73
2021-03-21,24310800,23591280.0,103.05
2021-03-28,24602700,26297560.0,93.56
2021-04-04,12479500,25857440.0,48.26
2021-04-11,17064400,22404780.0,76.16
2021-04-18,27342100,21159900.0,129.22
2021-04-25,17238700,19745480.0,87.3
2021-05-02,12456500,17316240.0,71.94
2021-05-09,15678100,17955960.0,87.31
2021-05-16,11591500,16861380.0,68.75
2021-05-23,9717000,13336360.0,72.86
2021-05-30,8019900,11492600.0,69.78
2021-06-06,27848100,14570920.0,191.12
2021-06-13,36387300,18712760.0,194.45
2021-06-20,16685000,19731460.0,84.56
2021-06-27,18818200,21551700.0,87.32
2021-07-04,19104400,23768600.0,80.38
2021-07-11,8370100,19873000.0,42.12
2021-07-18,17792600,16154060.0,110.14
2021-07-25,8897800,14596620.0,60.96
2021-08-01,7632600,12359500.0,61.75
2021-08-08,10862000,10711020.0,101.41
2021-08-15,7710500,10579100.0,72.88
2021-08-22,12885200,9597620.0,134.25
2021-08-29,10161700,9850400.0,103.16
2021-09-05,32539200,14831720.0,219.39
2021-09-12,11309900,14921300.0,75.8
2021-09-19,20429800,17465160.0,116.97
2021-09-26,12943000,17476720.0,74.06
2021-10-03,11923400,17829060.0,66.88
2021-10-10,8814300,13084080.0,67.37
2021-10-17,7558200,12333740.0,61.28
2021-10-24,6802000,9608180.0,70.79
2021-10-31,7974300,8614440.0,92.57
2021-11-07,12792200,8788200.0,145.56
2021-11-14,16595600,10344460.0,160.43
2021-11-21,22193300,13271480.0,167.23
2021-11-28,11746900,14260460.0,82.37
2021-12-05,36608000,19987200.0,183.16
2021-12-12,36535300,24735820.0,147.7
2021-12-19,32496300,27915960.0,116.41
2021-12-26,10358000,25548900.0,40.54
2022-01-02,13189800,25837480.0,51.05
2022-01-09,16256300,21767140.0,74.68
2022-01-16,14092300,17278540.0,81.56
2022-01-23,11653600,13110000.0,88.89
2022-01-30,20665000,15171400.0,136.21
2022-02-06,13029000,15139240.0,86.06
2022-02-13,12253000,14338580.0,85.45
2022-02-20,18202200,15160560.0,120.06
2022-02-27,13385100,15506860.0,86.32
2022-03-06,31188900,17611640.0,177.09
2022-03-13,22788300,19563500.0,116.48
2022-03-20,20154700,21143840.0,95.32
2022-03-27,13447600,20192920.0,66.6
