Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-05-17,140764900,,
2020-05-24,251866100,,
2020-05-31,272370300,,
2020-06-07,225262300,,
2020-06-14,348224700,247697660.0,140.58
2020-06-21,245993100,268743300.0,91.53
2020-06-28,262944600,270959000.0,97.04
2020-07-05,153633800,247211700.0,62.15
2020-07-12,251586800,252476600.0,99.65
2020-07-19,226589700,228149600.0,99.32
2020-07-26,537078300,286366640.0,187.55
2020-08-02,486977700,331173260.0,147.05
2020-08-09,384452400,377336980.0,101.89
2020-08-16,336724400,394364500.0,85.38
2020-08-23,191157300,387278020.0,49.36
2020-08-30,217345300,323331420.0,67.22
2020-09-06,366578900,299251660.0,122.5
2020-09-13,215382000,265437580.0,81.14
2020-09-20,250418600,248176420.0,100.9
2020-09-27,265431300,263031220.0,100.91
2020-10-04,266140300,272790220.0,97.56
2020-10-11,277422700,254958980.0,108.81
2020-10-18,196007500,251084080.0,78.06
2020-10-25,195899400,240180240.0,81.56
2020-11-01,406756200,268445220.0,151.52
2020-11-08,253944400,266006040.0,95.47
2020-11-15,237995000,258120500.0,92.2
2020-11-22,183207500,255560500.0,71.69
2020-11-29,147411500,245862920.0,59.96
2020-12-06,282485400,221008760.0,127.82
2020-12-13,188066100,207833100.0,90.49
2020-12-20,224014900,205037080.0,109.26
2020-12-27,125466800,193488940.0,64.84
2021-01-03,113151200,186636880.0,60.63
2021-01-10,220635900,174266980.0,126.61
2021-01-17,279733900,192600540.0,145.24
2021-01-24,205817500,188961060.0,108.92
2021-01-31,291661400,222199980.0,131.26
2021-02-07,169582500,233486240.0,72.63
2021-02-14,201787000,229716460.0,87.84
2021-02-21,132524600,200274600.0,66.17
2021-02-28,231060300,205323160.0,112.53
2021-03-07,230213700,193033620.0,119.26
2021-03-14,221590500,203435220.0,108.92
2021-03-21,218698900,206817600.0,105.74
2021-03-28,217752600,223863200.0,97.27
2021-04-04,160155500,209682240.0,76.38
2021-04-11,172214600,198082420.0,86.94
2021-04-18,250353300,203834980.0,122.82
2021-04-25,197202400,199535680.0,98.83
2021-05-02,326321100,221249380.0,147.49
2021-05-09,243443300,237906940.0,102.33
2021-05-16,225676700,248599360.0,90.78
2021-05-23,236064000,245741500.0,96.06
2021-05-30,187737300,243848480.0,76.99
2021-06-06,134836000,205551460.0,65.6
