Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,336307200,,
2020-06-28,268697700,,
2020-07-05,234822000,,
2020-07-12,199163300,,
2020-07-19,191886200,,
2020-07-26,153960300,,
2020-08-02,166705600,,
2020-08-09,167802800,,
2020-08-16,192941600,,
2020-08-23,110601400,,
2020-08-30,136757400,,
2020-09-06,98460400,,
2020-09-13,73829100,,
2020-09-20,95736400,,
2020-09-27,115362800,,
2020-10-04,159630500,,
2020-10-11,130238300,,
2020-10-18,82872100,,
2020-10-25,64552500,,
2020-11-01,81851800,153108970.0,53.46
2020-11-08,58773000,139232260.0,42.21
2020-11-15,165339400,134064345.0,123.33
2020-11-22,197319800,132189235.0,149.27
2020-11-29,88728700,126667505.0,70.05
2020-12-06,133491900,123747790.0,107.87
2020-12-13,105469100,121323230.0,86.93
2020-12-20,92641700,117620035.0,78.76
2020-12-27,49274000,111693595.0,44.12
2021-01-03,44984600,104295745.0,43.13
2021-01-10,85384200,103034885.0,82.87
2021-01-17,61727100,99283370.0,62.17
2021-01-24,40280100,96374355.0,41.8
2021-01-31,70323400,96199070.0,73.1
2021-02-07,53445400,94084520.0,56.81
2021-02-14,49459500,90789355.0,54.48
2021-02-21,40983700,84857015.0,48.3
2021-02-28,100241100,83357155.0,120.25
2021-03-07,106947500,84560925.0,126.47
2021-03-14,127994900,87733045.0,145.89
2021-03-21,129314300,90106170.0,143.51
2021-03-28,105354000,92435220.0,113.98
2021-04-04,59849100,87160705.0,68.67
2021-04-11,57012100,80145320.0,71.14
2021-04-18,63031800,78860475.0,79.93
2021-04-25,66967400,75534250.0,88.66
2021-05-02,62913500,73406470.0,85.71
2021-05-09,67288600,72138815.0,93.28
2021-05-16,72684100,73309320.0,99.15
2021-05-23,58601000,73990140.0,79.2
2021-05-30,59856000,72713730.0,82.32
2021-06-06,43584200,71806585.0,60.7
2021-06-13,60866500,72835905.0,83.57
2021-06-20,53243900,71981930.0,73.97
2021-06-27,58600400,72239680.0,81.12
2021-07-04,72207800,73377095.0,98.41
2021-07-11,52892500,73972535.0,71.5
2021-07-18,66880000,72304480.0,92.5
2021-07-25,71736900,70543950.0,101.69
2021-08-01,55655900,66927000.0,83.16
2021-08-08,40396300,62481100.0,64.65
2021-08-15,40826400,59254720.0,68.9
2021-08-22,50487000,58786615.0,85.88
2021-08-29,41889900,58030505.0,72.19
2021-09-05,36802700,56719050.0,64.89
2021-09-12,38276200,55284490.0,69.23
2021-09-19,42342800,54255955.0,78.04
2021-09-26,44502200,53116635.0,83.78
2021-10-03,55677500,52266305.0,106.53
2021-10-10,32054500,50938980.0,62.93
2021-10-17,43214700,50106915.0,86.24
2021-10-24,36771200,49766265.0,73.89
2021-10-31,50400300,49242955.0,102.35
2021-11-07,42867100,48724115.0,87.98
2021-11-14,37504600,47669325.0,78.68
2021-11-21,74620800,47789975.0,156.14
2021-11-28,42721300,47281415.0,90.36
2021-12-05,69361900,47405510.0,146.32
2021-12-12,42013600,45919345.0,91.49
2021-12-19,50435700,45658335.0,110.46
2021-12-26,37899200,45533480.0,83.23
2022-01-02,37883200,45386320.0,83.47
2022-01-09,48708100,45297375.0,107.53
2022-01-16,51143400,45760050.0,111.76
2022-01-23,37498800,45794855.0,81.88
2022-01-30,66232200,47192655.0,140.34
2022-02-06,48620700,47506550.0,102.35
2022-02-13,49900400,47776460.0,104.45
2022-02-20,35779000,46781535.0,76.48
2022-02-27,38646300,47111125.0,82.03
2022-03-06,54630700,47681925.0,114.57
2022-03-13,54362800,48561505.0,111.95
2022-03-20,49244100,48503695.0,101.53
2022-03-27,63505900,49535635.0,128.2
2022-04-03,36612100,49491010.0,73.98
2022-04-10,39379500,47728945.0,82.51
2022-04-17,24670700,46826415.0,52.69
2022-04-24,33171000,45016870.0,73.69
2022-05-01,80341200,46933250.0,171.18
2022-05-08,47748000,46798865.0,102.03
2022-05-15,72546400,48531225.0,149.48
2022-05-22,59251400,49599635.0,119.46
2022-05-29,41737200,49251090.0,84.74
2022-06-05,40814100,48734625.0,83.75
2022-06-12,31405400,48429955.0,64.85
2022-06-19,95912200,49913955.0,192.16
2022-06-26,42606300,49613235.0,85.88
2022-07-03,44154200,49325925.0,89.52
2022-07-10,30003800,49037165.0,61.19
2022-07-17,51179900,49663845.0,103.05
2022-07-24,52439100,49554265.0,105.82
2022-07-31,42647000,48968475.0,87.09
2022-08-07,45653700,48788955.0,93.57
2022-08-14,33881700,47307745.0,71.62
2022-08-21,26668500,46810565.0,56.97
2022-08-28,22855600,45984370.0,49.7
2022-09-04,28014500,46151560.0,60.7
2022-09-11,21234000,45554710.0,46.61
2022-09-18,42669500,43671125.0,97.71
2022-09-25,33372300,42952340.0,77.7
2022-10-02,41323000,41391170.0,99.84
2022-10-09,31018500,39979525.0,77.59
2022-10-16,35667500,39676040.0,89.9
2022-10-23,31324700,39201570.0,79.91
2022-10-30,62795900,40771095.0,154.02
2022-11-06,57815700,38866270.0,148.76
2022-11-13,51657900,39318850.0,131.38
2022-11-20,26816600,38451970.0,69.74
2022-11-27,14872800,37695420.0,39.46
2022-12-04,32293300,36751090.0,87.87
2022-12-11,37631100,36010690.0,104.5
2022-12-18,38138600,35785270.0,106.58
2022-12-25,32846000,35144885.0,93.46
2023-01-01,17967400,34349170.0,52.31
2023-01-08,36541200,34842805.0,104.87
2023-01-15,38800800,35640065.0,108.87
2023-01-22,22842700,35381475.0,64.56
2023-01-29,38868100,36263180.0,107.18
2023-02-05,31605600,35709985.0,88.51
2023-02-12,25325800,35307660.0,71.73
2023-02-19,29446900,34713855.0,84.83
2023-02-26,21381900,34232025.0,62.46
2023-03-05,25259400,33711620.0,74.93
2023-03-12,26862100,33488490.0,80.21
2023-03-19,42417300,32469560.0,130.64
2023-03-26,27527400,30955145.0,88.93
2023-04-02,24655400,29605020.0,83.28
2023-04-09,22034700,29365925.0,75.03
2023-04-16,37175200,30481045.0,121.96
2023-04-23,25265200,30129640.0,83.85
2023-04-30,25710100,29533590.0,87.05
2023-05-07,23089700,28781145.0,80.23
2023-05-14,24420600,28359875.0,86.11
2023-05-21,20737900,28498400.0,72.77
2023-05-28,19206500,27631665.0,69.51
2023-06-04,22047200,26793985.0,82.28
2023-06-11,37073500,27505525.0,134.79
2023-06-18,32376400,27180940.0,119.11
2023-06-25,26974600,26949390.0,100.09
2023-07-02,21114200,26738810.0,78.96
2023-07-09,16629900,26097960.0,63.72
2023-07-16,24658300,26261780.0,93.89
2023-07-23,24166800,26207150.0,92.21
2023-07-30,55408300,27634460.0,200.5
2023-08-06,21977600,26612475.0,82.58
2023-08-13,21623400,26317275.0,82.16
2023-08-20,15901000,25879555.0,61.44
2023-08-27,30236900,26289665.0,115.01
2023-09-03,22296200,25545715.0,87.28
2023-09-10,18161600,25190535.0,72.1
2023-09-17,19960200,24903040.0,80.15
2023-09-24,21274500,24812280.0,85.74
2023-10-01,24373800,24809940.0,98.24
2023-10-08,29641300,25255110.0,117.37
2023-10-15,33916200,25990595.0,130.49
2023-10-22,24648700,26120670.0,94.36
2023-10-29,34173600,25975675.0,131.56
2023-11-05,25178500,25615780.0,98.29
2023-11-12,20584100,25296255.0,81.37
2023-11-19,33746000,25927845.0,130.15
2023-11-26,24626700,26327685.0,93.54
2023-12-03,32620600,26725800.0,122.06
2023-12-10,27087000,26871810.0,100.8
2023-12-17,41650200,26183905.0,159.07
2023-12-24,28299000,26499975.0,106.79
2023-12-31,16201800,26228895.0,61.77
2024-01-07,22052000,26536445.0,83.1
2024-01-14,97400900,29894645.0,325.81
2024-01-21,89797100,33269690.0,269.91
2024-01-28,66980500,35710635.0,187.56
2024-02-04,60216400,37723445.0,159.63
2024-02-11,34124500,38365945.0,88.94
2024-02-18,30129000,38653705.0,77.95
2024-02-25,23375100,38340395.0,60.97
2024-03-03,36656100,38477390.0,95.27
2024-03-10,31944100,38842160.0,82.24
2024-03-17,63796300,40323295.0,158.21
2024-03-24,45175000,41323120.0,109.32
2024-03-31,33769700,41982400.0,80.44
2024-04-07,26835000,41636850.0,64.45
2024-04-14,42518000,42531415.0,99.97
2024-04-21,32451600,42522965.0,76.32
2024-04-28,52959100,43816570.0,120.87
2024-05-05,37869300,43627525.0,86.8
2024-05-12,30790600,43752105.0,70.38
2024-05-19,26206200,44252325.0,59.22
2024-05-26,40964100,45197930.0,90.63
2024-06-02,18643200,41260045.0,45.18
2024-06-09,31389100,38339645.0,81.87
2024-06-16,23950600,36188150.0,66.18
2024-06-23,25084300,34431545.0,72.85
2024-06-30,35736200,34512130.0,103.55
2024-07-07,19222400,33966800.0,56.59
2024-07-14,27374100,34166750.0,80.12
2024-07-21,29111100,33789500.0,86.15
2024-07-28,30006900,33692640.0,89.06
2024-08-04,49444400,32975045.0,149.94
2024-08-11,29958200,32214205.0,93.0
2024-08-18,27717500,31911595.0,86.86
2024-08-25,25130800,31826385.0,78.96
