Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-15,4336259,,
2020-06-16,3159957,,
2020-06-17,4104235,,
2020-06-18,4487391,,
2020-06-19,6059478,4429464.0,136.8
2020-06-22,3595003,4281212.8,83.97
2020-06-23,10216983,5692618.0,179.48
2020-06-24,31476453,11167061.6,281.87
2020-06-25,7400723,11749728.0,62.99
2020-06-26,10050659,12547964.2,80.1
2020-06-29,7782696,13385502.8,58.14
2020-06-30,6045272,12551160.6,48.17
2020-07-01,5496778,7355225.6,74.73
2020-07-02,3671556,6609392.2,55.55
2020-07-06,3368306,5272921.6,63.88
2020-07-07,3580008,4432384.0,80.77
2020-07-08,4085294,4040388.4,101.11
2020-07-09,2747008,3490434.4,78.7
2020-07-10,2285129,3213149.0,71.12
2020-07-13,4150008,3369489.4,123.16
2020-07-14,2630404,3179568.6,82.73
2020-07-15,3846166,3131743.0,122.81
2020-07-16,50015945,12585530.4,397.41
2020-07-17,11194999,14367504.4,77.92
2020-07-20,6124389,14762380.6,41.49
2020-07-21,5450018,15326303.4,35.56
2020-07-22,5695459,15696162.0,36.29
2020-07-23,4228534,6538679.8,64.67
2020-07-24,2538265,4807333.0,52.8
2020-07-27,2799687,4142392.6,67.59
2020-07-28,3281099,3708608.8,88.47
2020-07-29,3532459,3276008.8,107.83
2020-07-30,3671161,3164534.2,116.01
2020-07-31,3420985,3341078.2,102.39
2020-08-03,3327070,3446554.8,96.53
2020-08-04,3335159,3457366.8,96.47
2020-08-05,2275856,3206046.2,70.99
2020-08-06,3726208,3217055.6,115.83
2020-08-07,2072834,2947425.4,70.33
2020-08-10,3092086,2900428.6,106.61
2020-08-11,4107589,3054914.6,134.46
2020-08-12,1955046,2990752.6,65.37
2020-08-13,5350381,3315587.2,161.37
2020-08-14,2139719,3328964.2,64.28
2020-08-17,1871588,3084864.6,60.67
2020-08-18,1631276,2589602.0,62.99
2020-08-19,3573103,2913213.4,122.65
2020-08-20,1906510,2224439.2,85.71
2020-08-21,4371182,2670731.8,163.67
2020-08-24,2523467,2801107.6,90.09
2020-08-25,2681110,3011074.4,89.04
2020-08-26,4099499,3116353.6,131.55
2020-08-27,7382966,4211644.8,175.3
2020-08-28,17972452,6931898.8,259.27
2020-08-31,5917619,7610729.2,77.75
2020-09-01,4548357,7984178.6,56.97
2020-09-02,4577755,8079829.8,56.66
2020-09-03,4005387,7404314.0,54.1
2020-09-04,4566114,4723046.4,96.68
2020-09-08,5832188,4705960.2,123.93
2020-09-09,6426653,5081619.4,126.47
2020-09-10,3963757,4958819.8,79.93
2020-09-11,3386852,4835112.8,70.05
2020-09-14,4197755,4761441.0,88.16
2020-09-15,2875450,4170093.4,68.95
2020-09-16,4367433,3758249.4,116.21
2020-09-17,4471213,3859740.6,115.84
2020-09-18,21878202,7558010.6,289.47
2020-09-21,4275294,7573518.4,56.45
2020-09-22,2148794,7428187.2,28.93
2020-09-23,4193414,7393383.4,56.72
2020-09-24,3206322,7140405.2,44.9
2020-09-25,2413768,3247518.4,74.33
2020-09-28,3783622,3149184.0,120.15
2020-09-29,2713467,3262118.6,83.18
2020-09-30,3286229,3080681.6,106.67
2020-10-01,2183716,2876160.4,75.92
2020-10-02,1975565,2788519.8,70.85
2020-10-05,4981036,3028002.6,164.5
2020-10-06,3792698,3243848.8,116.92
2020-10-07,4220050,3430613.0,123.01
2020-10-08,4895013,3972872.4,123.21
2020-10-09,2297559,4037271.2,56.91
2020-10-12,1562221,3353508.2,46.58
2020-10-13,3167454,3228459.4,98.11
2020-10-14,2077372,2799923.8,74.19
2020-10-15,2558192,2332559.6,109.67
2020-10-16,2992055,2471458.8,121.06
2020-10-19,2087631,2576540.8,81.02
2020-10-20,1474620,2237974.0,65.89
2020-10-21,3767641,2576027.8,146.26
2020-10-22,2001214,2464632.2,81.2
2020-10-23,2602979,2386817.0,109.06
2020-10-26,3910486,2751388.0,142.13
2020-10-27,1867642,2829992.4,65.99
2020-10-28,3457485,2767961.2,124.91
2020-10-29,3550216,3077761.6,115.35
2020-10-30,3561265,3269418.8,108.93
2020-11-02,2206603,2928642.2,75.35
2020-11-03,1673893,2889892.4,57.92
2020-11-04,3366135,2871622.4,117.22
2020-11-05,3003301,2762239.4,108.73
2020-11-06,1501650,2350316.4,63.89
2020-11-09,2973508,2503697.4,118.76
2020-11-10,3444266,2857772.0,120.52
2020-11-11,1970830,2578711.0,76.43
2020-11-12,2410809,2460212.6,97.99
2020-11-13,2973903,2754663.2,107.96
2020-11-16,2832636,2726488.8,103.89
2020-11-17,1966094,2430854.4,80.88
2020-11-18,2527413,2542171.0,99.42
2020-11-19,4564141,2972837.4,153.53
2020-11-20,2840331,2946123.0,96.41
2020-11-23,2931286,2965853.0,98.83
2020-11-24,5787006,3730035.4,155.15
2020-11-25,8768407,4978234.2,176.13
2020-11-27,2779365,4621279.0,60.14
2020-11-30,4739935,5001199.8,94.78
2020-12-01,6792842,5773511.0,117.66
2020-12-02,4693964,5554902.6,84.5
2020-12-03,4426623,4686545.8,94.45
