Date,Volume,Volume_MA5,Volume_Ratio_5d
2024-03-26,617000,,
2024-03-27,1467600,,
2024-03-28,2258600,,
2024-04-01,1102300,,
2024-04-02,261800,1141460.0,22.94
2024-04-03,908400,1199740.0,75.72
2024-04-04,3155100,1537240.0,205.24
2024-04-05,5740100,2233540.0,257.0
2024-04-08,8269300,3666940.0,225.51
2024-04-09,9114700,5437520.0,167.63
2024-04-10,4822700,6220380.0,77.53
2024-04-11,2706800,6130720.0,44.15
2024-04-12,3725700,5727840.0,65.05
2024-04-15,4683100,5010600.0,93.46
2024-04-16,3152300,3818120.0,82.56
2024-04-17,1918800,3237340.0,59.27
2024-04-18,966100,2889200.0,33.44
2024-04-19,1020700,2348200.0,43.47
2024-04-22,738100,1559200.0,47.34
2024-04-23,1066700,1142080.0,93.4
2024-04-24,731000,904520.0,80.82
2024-04-25,929900,897280.0,103.64
2024-04-26,3775100,1448160.0,260.68
2024-04-29,1636800,1627900.0,100.55
2024-04-30,1207400,1656040.0,72.91
2024-05-01,1207100,1751260.0,68.93
2024-05-02,1503900,1866060.0,80.59
2024-05-03,2507800,1612600.0,155.51
2024-05-06,1060900,1497420.0,70.85
2024-05-07,2738000,1803540.0,151.81
2024-05-08,1002000,1762520.0,56.85
2024-05-09,919600,1645660.0,55.88
2024-05-10,683600,1280820.0,53.37
2024-05-13,2506600,1569960.0,159.66
2024-05-14,1408200,1304000.0,107.99
2024-05-15,525500,1208700.0,43.48
2024-05-16,758700,1176520.0,64.49
2024-05-17,477800,1135360.0,42.08
2024-05-20,448600,723760.0,61.98
2024-05-21,554600,553040.0,100.28
2024-05-22,561500,560240.0,100.22
2024-05-23,381500,484800.0,78.69
2024-05-24,1111800,611600.0,181.79
2024-05-28,626400,647160.0,96.79
2024-05-29,280700,592380.0,47.39
2024-05-30,348100,549700.0,63.33
2024-05-31,387900,550980.0,70.4
2024-06-03,677800,464180.0,146.02
2024-06-04,273600,393620.0,69.51
2024-06-05,233300,384140.0,60.73
2024-06-06,378300,390180.0,96.96
2024-06-07,342400,381080.0,89.85
2024-06-10,327400,311000.0,105.27
2024-06-11,144300,285140.0,50.61
2024-06-12,524500,343380.0,152.75
2024-06-13,126200,292960.0,43.08
2024-06-14,120500,248580.0,48.48
2024-06-17,137600,210620.0,65.33
2024-06-18,122600,206280.0,59.43
2024-06-20,184500,138280.0,133.42
2024-06-21,76500,128340.0,59.61
2024-06-24,303200,164880.0,183.89
2024-06-25,156600,168680.0,92.84
2024-06-26,205300,185220.0,110.84
2024-06-27,2657700,679860.0,390.92
2024-06-28,2785500,1221660.0,228.01
2024-07-01,908600,1342740.0,67.67
2024-07-02,442800,1399980.0,31.63
2024-07-03,250400,1409000.0,17.77
2024-07-05,826700,1042800.0,79.28
2024-07-08,475800,580860.0,81.91
2024-07-09,306500,460440.0,66.57
2024-07-10,216700,415220.0,52.19
2024-07-11,515500,468240.0,110.09
2024-07-12,265200,355940.0,74.51
2024-07-15,457000,352180.0,129.76
2024-07-16,206300,332140.0,62.11
2024-07-17,192500,327300.0,58.81
2024-07-18,185800,261360.0,71.09
2024-07-19,164200,241160.0,68.09
2024-07-22,132000,176160.0,74.93
2024-07-23,160300,166960.0,96.01
2024-07-24,357300,199920.0,178.72
2024-07-25,399900,242740.0,164.74
2024-07-26,241400,258180.0,93.5
2024-07-29,205100,272800.0,75.18
2024-07-30,140700,268880.0,52.33
2024-07-31,104900,218400.0,48.03
2024-08-01,527600,243940.0,216.28
2024-08-02,250200,245700.0,101.83
2024-08-05,580300,320740.0,180.93
2024-08-06,198100,332220.0,59.63
2024-08-07,184900,348220.0,53.1
2024-08-08,134000,269500.0,49.72
2024-08-09,95200,238500.0,39.92
2024-08-12,58600,134160.0,43.68
2024-08-13,83000,111140.0,74.68
2024-08-14,120200,98200.0,122.4
2024-08-15,249600,121320.0,205.74
2024-08-16,226000,147480.0,153.24
2024-08-19,615100,258780.0,237.69
2024-08-20,396900,321560.0,123.43
2024-08-21,303000,358120.0,84.61
2024-08-22,188300,345860.0,54.44
2024-08-23,209000,342460.0,61.03
2024-08-26,200700,259580.0,77.32
2024-08-27,115900,203380.0,56.99
2024-08-28,225000,187780.0,119.82
2024-08-29,123300,174780.0,70.55
2024-08-30,135100,160000.0,84.44
2024-09-03,282600,176380.0,160.22
2024-09-04,84400,170080.0,49.62
2024-09-05,164000,157880.0,103.88
2024-09-06,225700,178360.0,126.54
2024-09-09,92700,169880.0,54.57
2024-09-10,98900,133140.0,74.28
2024-09-11,119300,140120.0,85.14
2024-09-12,115200,130360.0,88.37
2024-09-13,97900,104800.0,93.42
2024-09-16,101100,106480.0,94.95
2024-09-17,133500,113400.0,117.72
2024-09-18,101000,109740.0,92.04
2024-09-19,113600,109420.0,103.82
2024-09-20,115600,112960.0,102.34
2024-09-23,138900,120520.0,115.25
2024-09-24,304300,154680.0,196.73
2024-09-25,159600,166400.0,95.91
2024-09-26,199300,183540.0,108.59
2024-09-27,243800,209180.0,116.55
2024-09-30,255400,232480.0,109.86
2024-10-01,221500,215920.0,102.58
2024-10-02,204400,224880.0,90.89
2024-10-03,317000,248420.0,127.61
2024-10-04,298400,259340.0,115.06
2024-10-07,181700,244600.0,74.28
2024-10-08,139400,228180.0,61.09
2024-10-09,138200,214940.0,64.3
2024-10-10,93100,170160.0,54.71
2024-10-11,155000,141480.0,109.56
2024-10-14,2396300,584400.0,410.04
2024-10-15,1350100,826540.0,163.34
2024-10-16,357300,870360.0,41.05
2024-10-17,245400,900820.0,27.24
2024-10-18,392600,948340.0,41.4
2024-10-21,241000,517280.0,46.59
2024-10-22,169000,281060.0,60.13
2024-10-23,151800,239960.0,63.26
2024-10-24,245000,239880.0,102.13
