Date,Volume,Volume_MA5,Volume_Ratio_5d
2024-03-31,4343200,,
2024-04-07,11167700,,
2024-04-14,28639200,,
2024-04-21,11741000,,
2024-04-28,7240800,12626380.0,57.35
2024-05-05,8063000,13370340.0,60.31
2024-05-12,6404100,12417620.0,51.57
2024-05-19,5676800,7825140.0,72.55
2024-05-26,3058000,6088540.0,50.23
2024-06-02,1643100,4969000.0,33.07
2024-06-09,1905400,3737480.0,50.98
2024-06-16,1242900,2705240.0,45.94
2024-06-23,521200,1674120.0,31.13
2024-06-30,6108300,2284180.0,267.42
2024-07-07,2428500,2441260.0,99.48
2024-07-14,1779700,2416120.0,73.66
2024-07-21,1205800,2408700.0,50.06
2024-07-28,1290900,2562640.0,50.37
2024-08-04,1228500,1586680.0,77.43
2024-08-11,1192500,1339480.0,89.03
2024-08-18,737400,1131020.0,65.2
2024-08-25,1712300,1232320.0,138.95
2024-09-01,800000,1134140.0,70.54
2024-09-08,756700,1039780.0,72.78
2024-09-15,524000,906080.0,57.83
2024-09-22,564800,871560.0,64.8
2024-09-29,1045900,738280.0,141.67
2024-10-06,1296700,837620.0,154.81
2024-10-13,707400,827760.0,85.46
2024-10-20,4741700,1671300.0,283.71
2024-10-27,1076900,1773720.0,60.71
2024-11-03,1013800,1767300.0,57.36
2024-11-10,37035900,8915140.0,415.43
2024-11-17,41526000,17078860.0,243.14
2024-11-24,20763100,20283140.0,102.37
2024-12-01,7516100,21570980.0,34.84
2024-12-08,14374200,24243060.0,59.29
2024-12-15,24220800,21680040.0,111.72
2024-12-22,10139800,15402800.0,65.83
2024-12-29,4759700,12202120.0,39.01
2025-01-05,4929300,11684760.0,42.19
2025-01-12,4625400,9735000.0,47.51
2025-01-19,5309400,5952720.0,89.19
2025-01-26,6203600,5165480.0,120.1
2025-02-02,4826500,5178840.0,93.2
2025-02-09,3389500,4870880.0,69.59
2025-02-16,3254800,4596760.0,70.81
2025-02-23,2629600,4060800.0,64.76
2025-03-02,4142700,3648620.0,113.54
2025-03-09,2700800,3223480.0,83.79
2025-03-16,2574000,3060380.0,84.11
2025-03-23,3200100,3049440.0,104.94
2025-03-30,2458700,3015260.0,81.54
2025-04-06,2574700,2701660.0,95.3
2025-04-13,4521000,3065700.0,147.47
2025-04-20,1425300,2835960.0,50.26
2025-04-27,2553500,2706640.0,94.34
2025-05-04,1911700,2597240.0,73.61
2025-05-11,1563000,2394900.0,65.26
2025-05-18,2690700,2028840.0,132.62
2025-05-25,3393100,2422400.0,140.07
2025-06-01,2931600,2498020.0,117.36
2025-06-08,3488000,2813280.0,123.98
2025-06-15,2327800,2966240.0,78.48
2025-06-22,1290200,2686140.0,48.03
2025-06-29,1790100,2365540.0,75.67
2025-07-06,1623700,2103960.0,77.17
2025-07-13,1926100,1791580.0,107.51
