Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-31,134046600,,
2020-06-30,222122700,,
2020-07-31,305156400,,
2020-08-31,389593200,,
2020-09-30,219862100,,
2020-10-31,172289000,,
2020-11-30,222246500,,
2020-12-31,177576400,,
2021-01-31,210951400,,
2021-02-28,181008600,,
2021-03-31,214111100,,
2021-04-30,143030700,,
2021-05-31,199082500,,
2021-06-30,207522500,,
2021-07-31,145195500,,
2021-08-31,165504300,,
2021-09-30,160613200,,
2021-10-31,136138300,,
2021-11-30,162163400,,
2021-12-31,151214100,195971425.0,77.16
2022-01-31,211125100,199825350.0,105.65
2022-02-28,254601300,201449280.0,126.38
2022-03-31,377087100,205045815.0,183.9
2022-04-30,195348400,195333575.0,100.01
2022-05-31,179911400,193336040.0,93.06
2022-06-30,145735200,192008350.0,75.9
2022-07-31,134877000,187639875.0,71.88
2022-08-31,110217900,184271950.0,59.81
2022-09-30,139879400,180718350.0,77.4
2022-10-31,118402700,177588055.0,66.67
2022-11-30,114967900,172630895.0,66.6
2022-12-31,106815500,170820135.0,62.53
2023-01-31,118786700,166805345.0,71.21
2023-02-28,113802300,162119335.0,70.2
2023-03-31,223186600,166018890.0,134.43
2023-04-30,170988100,166293080.0,102.82
2023-05-31,182178000,167371320.0,108.85
2023-06-30,133963100,167262560.0,80.09
2023-07-31,99846800,164146730.0,60.83
2023-08-31,140381800,163605115.0,85.81
2023-09-30,122794800,159188600.0,77.14
2023-10-31,222519000,157584485.0,141.21
2023-11-30,143756500,145917955.0,98.52
2023-12-31,153596100,143830340.0,106.79
2024-01-31,124732000,141071370.0,88.42
2024-02-29,118518800,139710550.0,84.83
2024-03-31,162577000,141095550.0,115.22
2024-04-30,253986400,148283975.0,171.28
2024-05-31,141704900,148375250.0,95.5
2024-06-30,108836200,147896925.0,73.59
2024-07-31,138673000,149082180.0,93.02
2024-08-31,147220700,151102440.0,97.43
2024-09-30,130622900,151694250.0,86.11
2024-10-31,145957700,153302020.0,95.21
2024-11-30,152757000,149780540.0,101.99
2024-12-31,115478400,147005055.0,78.55
2025-01-31,141389000,144965605.0,97.53
2025-02-28,178992600,147217080.0,121.58
2025-03-31,181005700,151275025.0,119.65
2025-04-30,354090400,161960455.0,218.63
2025-05-31,235229600,167582195.0,140.37
2025-06-30,199565100,166434500.0,119.91
2025-07-31,69000900,162696720.0,42.41
