Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-05-14,17084400,,
2020-05-15,13918800,,
2020-05-18,14133800,,
2020-05-19,8535800,,
2020-05-20,10666100,12867780.0,82.89
2020-05-21,11791000,11809100.0,99.85
2020-05-22,8540900,10733520.0,79.57
2020-05-26,13972000,10701160.0,130.57
2020-05-27,13063500,11606700.0,112.55
2020-05-28,9758500,11425180.0,85.41
2020-05-29,12581800,11583340.0,108.62
2020-06-01,8140200,11503200.0,70.76
2020-06-02,10388900,10786580.0,96.31
2020-06-03,17000500,11573980.0,146.89
2020-06-04,10094000,11641080.0,86.71
2020-06-05,16021200,12328960.0,129.95
2020-06-08,9244400,12549800.0,73.66
2020-06-09,9045600,12281140.0,73.65
2020-06-10,13009300,11482900.0,113.29
2020-06-11,11673900,11798880.0,98.94
2020-06-12,6895400,9973720.0,69.14
2020-06-15,8532500,9831340.0,86.79
2020-06-16,7964000,9615020.0,82.83
2020-06-17,4758200,7964800.0,59.74
2020-06-18,5397600,6709540.0,80.45
2020-06-19,12187400,7767940.0,156.89
2020-06-22,12385600,8538560.0,145.05
2020-06-23,12137300,9373220.0,129.49
2020-06-24,10901400,10601860.0,102.83
2020-06-25,7093800,10941100.0,64.84
2020-06-26,9753500,10454320.0,93.3
2020-06-29,6735700,9324340.0,72.24
2020-06-30,12762300,9449340.0,135.06
2020-07-01,13214800,9912020.0,133.32
2020-07-02,8753500,10243960.0,85.45
2020-07-06,7265700,9746400.0,74.55
2020-07-07,11633100,10725880.0,108.46
2020-07-08,11662700,10505960.0,111.01
2020-07-09,13327400,10528480.0,126.58
2020-07-10,8218000,10421380.0,78.86
2020-07-13,11095900,11187420.0,99.18
2020-07-14,9812700,10823340.0,90.66
2020-07-15,7533800,9997560.0,75.36
2020-07-16,10242400,9380560.0,109.19
2020-07-17,10296000,9796160.0,105.1
2020-07-20,10095500,9596080.0,105.2
2020-07-21,12826100,10198760.0,125.76
2020-07-22,18712500,12434500.0,150.49
2020-07-23,23006800,14987380.0,153.51
2020-07-24,15601300,16048440.0,97.21
2020-07-27,21115600,18252460.0,115.69
2020-07-28,21164600,19920160.0,106.25
2020-07-29,25640100,21305680.0,120.34
2020-07-30,18061200,20316560.0,88.9
2020-07-31,15876700,20371640.0,77.94
2020-08-03,12897000,18727920.0,68.87
2020-08-04,20773200,18649640.0,111.39
2020-08-05,27078100,18937240.0,142.99
2020-08-06,20640100,19453020.0,106.1
2020-08-07,24570200,21191720.0,115.94
2020-08-10,19047200,22421760.0,84.95
2020-08-11,45355000,27338120.0,165.9
2020-08-12,28660500,27654600.0,103.64
2020-08-13,18596800,27245940.0,68.26
2020-08-14,11792000,24690300.0,47.76
2020-08-17,15709800,24022820.0,65.4
2020-08-18,16291600,18210140.0,89.46
2020-08-19,24646900,17407420.0,141.59
2020-08-20,16692200,17026500.0,98.04
2020-08-21,12713700,17210840.0,73.87
2020-08-24,11605800,16390040.0,70.81
2020-08-25,10056100,15142940.0,66.41
2020-08-26,12715800,12756720.0,99.68
2020-08-27,16299200,12678120.0,128.56
2020-08-28,13200800,12775540.0,103.33
2020-08-31,10251200,12504620.0,81.98
2020-09-01,10662100,12625820.0,84.45
2020-09-02,11536900,12390040.0,93.11
2020-09-03,12148100,11559820.0,105.09
2020-09-04,11567900,11233240.0,102.98
2020-09-08,13229200,11828840.0,111.84
2020-09-09,8424100,11381240.0,74.02
2020-09-10,9143600,10902580.0,83.87
2020-09-11,7662300,10005420.0,76.58
2020-09-14,9709500,9633740.0,100.79
2020-09-15,7993700,8586640.0,93.09
2020-09-16,12702400,9442300.0,134.53
2020-09-17,8836200,9380820.0,94.19
2020-09-18,9959700,9840300.0,101.21
2020-09-21,17436100,11385620.0,153.14
2020-09-22,7977900,11382460.0,70.09
2020-09-23,18134000,12468780.0,145.44
2020-09-24,11759200,13053380.0,90.09
2020-09-25,6779200,12417280.0,54.59
