Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,179372000,,
2020-06-28,220384000,,
2020-07-05,184760000,,
2020-07-12,196596000,,
2020-07-19,172836000,,
2020-07-26,145946000,,
2020-08-02,208220000,,
2020-08-09,172852000,,
2020-08-16,118486000,,
2020-08-23,140060000,,
2020-08-30,156744000,,
2020-09-06,218172000,,
2020-09-13,157004000,,
2020-09-20,190894000,,
2020-09-27,193462000,,
2020-10-04,167630000,,
2020-10-11,142848000,,
2020-10-18,192994000,,
2020-10-25,192786000,,
2020-11-01,262186000,180711600.0,145.09
2020-11-08,215382000,182512100.0,118.01
2020-11-15,184518000,180718800.0,102.1
2020-11-22,114690000,177215300.0,64.72
2020-11-29,84904000,171630700.0,49.47
2020-12-06,144464000,170212100.0,84.87
2020-12-13,121268000,168978200.0,71.77
2020-12-20,199214000,168527900.0,118.21
2020-12-27,86630000,164216800.0,52.75
2021-01-03,89472000,162766100.0,54.97
2021-01-10,181692000,164847700.0,110.22
2021-01-17,148412000,164431100.0,90.26
2021-01-24,197190000,163382000.0,120.69
2021-01-31,264368000,168750200.0,156.66
2021-02-07,282928000,173351900.0,163.21
2021-02-14,115292000,169443400.0,68.04
2021-02-21,111782000,166651000.0,67.08
2021-02-28,168322000,167924700.0,100.24
2021-03-07,187832000,167666600.0,112.03
2021-03-14,159408000,165997700.0,96.03
2021-03-21,162222000,160999500.0,100.76
2021-03-28,150858000,157773300.0,95.62
2021-04-04,136254000,155360100.0,87.7
2021-04-11,162694000,157760300.0,103.13
2021-04-18,127164000,159873300.0,79.54
2021-04-25,128994000,159099800.0,81.08
2021-05-02,243620000,165217400.0,147.45
2021-05-09,153784000,162945900.0,94.38
2021-05-16,176676000,167448200.0,105.51
2021-05-23,140470000,169998100.0,82.63
2021-05-30,132550000,167541000.0,79.11
2021-06-06,87666000,164503700.0,53.29
2021-06-13,114164000,160352400.0,71.2
2021-06-20,142090000,154238500.0,92.12
2021-06-27,124908000,146337500.0,85.36
2021-07-04,120200000,146582900.0,82.0
2021-07-11,92886000,145638100.0,63.78
2021-07-18,105292000,142486600.0,73.9
2021-07-25,130834000,139636700.0,93.7
2021-08-01,237704000,143551500.0,165.59
2021-08-08,100430000,140461900.0,71.5
2021-08-15,84980000,137168000.0,61.95
2021-08-22,116334000,136172000.0,85.43
2021-08-29,112960000,133685300.0,84.5
2021-09-05,121010000,133377600.0,90.73
2021-09-12,90622000,131459000.0,68.94
2021-09-19,148750000,126715500.0,117.39
2021-09-26,140842000,126068400.0,111.72
2021-10-03,171858000,125827500.0,136.58
2021-10-10,159606000,126784300.0,125.89
2021-10-17,136108000,126962200.0,107.2
2021-10-24,140728000,129615300.0,108.57
2021-10-31,248956000,136354900.0,182.58
2021-11-07,184666000,138483700.0,133.35
2021-11-14,111430000,137809800.0,80.86
2021-11-21,131296000,138364600.0,94.89
2021-11-28,106322000,139036400.0,76.47
2021-12-05,179108000,142727200.0,125.49
2021-12-12,134856000,142928300.0,94.35
2021-12-19,185952000,140340700.0,132.5
2021-12-26,108654000,140751900.0,77.2
2022-01-02,85788000,140792300.0,60.93
2022-01-09,178772000,143914200.0,124.22
2022-01-16,160344000,146283400.0,109.61
2022-01-23,149080000,147686900.0,100.94
2022-01-30,239024000,155107000.0,154.1
2022-02-06,361346000,165736800.0,218.02
2022-02-13,228690000,170129200.0,134.42
2022-02-20,170574000,170065000.0,100.3
2022-02-27,168638000,170516600.0,98.9
2022-03-06,143914000,170906900.0,84.21
2022-03-13,181194000,172930200.0,104.78
2022-03-20,178138000,169389300.0,105.16
2022-03-27,138004000,167056200.0,82.61
2022-04-03,152718000,169120600.0,90.3
2022-04-10,131204000,169116000.0,77.58
2022-04-17,129120000,170255900.0,75.84
2022-04-24,172324000,169916700.0,101.42
2022-05-01,302562000,178302000.0,169.69
2022-05-08,195968000,178802800.0,109.6
2022-05-15,207110000,183725600.0,112.73
2022-05-22,167276000,187800000.0,89.07
2022-05-29,230084000,190365600.0,120.86
2022-06-05,150746000,189885700.0,79.39
2022-06-12,158490000,190356200.0,83.26
2022-06-19,223716000,189590800.0,118.0
2022-06-26,147716000,178909300.0,82.56
2022-07-03,175574000,176253500.0,99.61
2022-07-10,155948000,175522200.0,88.85
2022-07-17,188652000,176522900.0,106.87
2022-07-24,196873300,179170865.0,109.88
2022-07-31,212580400,180740185.0,117.62
2022-08-07,115531700,177609870.0,65.05
2022-08-14,112545200,176336930.0,63.82
2022-08-21,101180200,173760040.0,58.23
2022-08-28,109264100,172663045.0,63.28
2022-09-04,129853100,172699700.0,75.19
2022-09-11,95671300,168867065.0,56.65
2022-09-18,164520300,161964980.0,101.58
2022-09-25,146965200,159514840.0,92.13
2022-10-02,153600500,156839365.0,97.93
2022-10-09,128836500,154917390.0,83.16
2022-10-16,126593800,149742880.0,84.54
2022-10-23,134072900,148909225.0,90.04
2022-10-30,260310100,154000230.0,169.03
2022-11-06,248287600,155228810.0,159.95
2022-11-13,180987600,156892390.0,115.36
2022-11-20,155320400,155879710.0,99.64
2022-11-27,73655400,151765080.0,48.53
2022-12-04,140114500,149338205.0,93.82
2022-12-11,140799900,146534535.0,96.09
2022-12-18,196866100,145748820.0,135.07
2022-12-25,128353700,146389920.0,87.68
2023-01-01,86940300,145109675.0,59.91
2023-01-08,131561900,146628760.0,89.72
2023-01-15,142921000,148311605.0,96.37
2023-01-22,161910600,149914480.0,108.0
2023-01-29,179407400,154101285.0,116.42
2023-02-05,227821100,157266325.0,144.86
2023-02-12,350189000,167427515.0,209.16
2023-02-19,231717900,171333385.0,135.24
2023-02-26,142304800,172006800.0,82.73
2023-03-05,156120000,173483110.0,89.99
2023-03-12,159332600,174746095.0,91.18
2023-03-19,250528400,174257010.0,143.77
2023-03-26,189689200,171327090.0,110.72
2023-04-02,161908000,170373110.0,95.03
2023-04-09,126457500,168929965.0,74.86
2023-04-16,129171100,171705750.0,75.23
2023-04-23,138694200,171634735.0,80.81
2023-04-30,209783500,175083915.0,119.82
2023-05-07,129518900,171716555.0,75.43
2023-05-14,245998700,177598805.0,138.51
2023-05-21,191190500,182811315.0,104.58
2023-05-28,181434800,185304960.0,97.91
2023-06-04,130138300,184665825.0,70.47
2023-06-11,164634500,184802020.0,89.09
2023-06-18,161937300,183928515.0,88.04
2023-06-25,118241300,178449525.0,66.26
2023-07-02,154207800,168650465.0,91.44
2023-07-09,88490500,161489095.0,54.8
2023-07-16,166363100,162692010.0,102.26
2023-07-23,200011300,164886575.0,121.3
2023-07-30,225421100,168191000.0,134.03
2023-08-06,123715100,161850335.0,76.44
2023-08-13,111621400,157946945.0,70.67
2023-08-20,133620000,156532545.0,85.36
2023-08-27,130399500,156729645.0,83.2
2023-09-03,143513100,157446745.0,91.15
2023-09-10,80490200,154536545.0,52.08
2023-09-17,123577800,150226260.0,82.26
2023-09-24,130028500,150251740.0,86.54
2023-10-01,121921000,144047855.0,84.64
2023-10-08,119445500,140460605.0,85.04
2023-10-15,121135000,137445615.0,88.13
2023-10-22,127773900,137327395.0,93.04
2023-10-29,257126000,141951970.0,181.14
2023-11-05,138819500,140796080.0,98.6
2023-11-12,125896900,141178860.0,89.18
2023-11-19,139835300,140460235.0,99.56
2023-11-26,80779000,140074660.0,57.67
2023-12-03,136553200,138584165.0,98.53
2023-12-10,176631900,137415195.0,128.54
2023-12-17,179813200,135134800.0,133.06
2023-12-24,160844900,136991290.0,117.41
2023-12-31,71181800,134969310.0,52.74
2024-01-07,97567000,133166660.0,73.27
2024-01-14,110261100,132159740.0,83.43
2024-01-21,102686200,130118395.0,78.92
2024-01-28,134334600,132810615.0,101.15
2024-02-04,238963200,138579885.0,172.44
2024-02-11,142235800,139190250.0,102.19
2024-02-18,141147800,140151590.0,100.71
2024-02-25,95146100,138936620.0,68.48
2024-03-03,197322100,142745975.0,138.23
2024-03-10,208594100,146786985.0,142.11
2024-03-17,175562400,142708805.0,123.02
2024-03-24,168586900,144197175.0,116.91
2024-03-31,88743000,142339480.0,62.35
2024-04-07,139195800,142307505.0,97.81
2024-04-14,127149200,144626015.0,87.92
2024-04-21,121801200,143888415.0,84.65
2024-04-28,192151900,144664415.0,132.83
2024-05-05,171623000,144254905.0,118.97
2024-05-12,114626700,141943995.0,80.75
2024-05-19,135750300,145172420.0,93.51
2024-05-26,95021200,145045130.0,65.51
2024-06-02,104558500,144760000.0,72.23
2024-06-09,119319600,145591670.0,81.95
2024-06-16,112161400,144483010.0,77.63
2024-06-23,120231200,138546410.0,86.78
2024-06-30,109378100,136903525.0,79.89
2024-07-07,64588200,133075545.0,48.53
2024-07-14,100634000,133349940.0,75.47
2024-07-21,99696400,128468655.0,77.6
2024-07-28,196227100,127850305.0,153.48
2024-08-04,118644100,125004390.0,94.91
2024-08-11,181955000,125672795.0,144.78
2024-08-18,130771000,127774195.0,102.35
2024-08-25,100108700,125819840.0,79.57
2024-09-01,84243300,123674545.0,68.12
2024-09-08,114899900,123329480.0,93.16
2024-09-15,159273200,121685545.0,130.89
2024-09-22,130256800,119617235.0,108.89
2024-09-29,107772800,119274540.0,90.36
2024-10-06,100632700,117518660.0,85.63
2024-10-13,106206000,118077900.0,89.95
2024-10-20,96880400,117693995.0,82.32
2024-10-27,98036500,116629840.0,84.06
2024-11-03,219763900,122009965.0,180.12
2024-11-10,120789400,122037875.0,98.98
2024-11-17,129281400,123033040.0,105.08
2024-11-24,160977600,127852510.0,125.91
2024-12-01,87145700,127178095.0,68.52
2024-12-08,120471500,128216850.0,93.96
2024-12-15,208057700,128808380.0,161.52
2024-12-22,218333100,133792830.0,163.19
2024-12-29,67016300,128045895.0,52.34
2025-01-05,70698600,125042275.0,56.54
2025-01-12,107580800,125415880.0,85.78
2025-01-19,106325100,126519970.0,84.04
2025-01-26,107000800,126125015.0,84.84
2025-02-02,140501800,125186445.0,112.23
2025-02-09,220681000,129707655.0,170.14
2025-02-16,108268600,129732445.0,83.46
2025-02-23,105106800,129956150.0,80.88
2025-03-02,195320500,134411875.0,145.31
2025-03-09,172801200,138207915.0,125.03
2025-03-16,175315900,142071885.0,123.4
2025-03-23,172299000,139698640.0,123.34
2025-03-30,157132700,141515805.0,111.04
2025-04-06,219461000,146024785.0,150.29
2025-04-13,281058700,152028840.0,184.87
2025-04-20,119010400,153622075.0,77.47
2025-04-27,186077700,156902385.0,118.59
2025-05-04,147454100,153872205.0,95.83
2025-05-11,260043100,155957705.0,166.74
2025-05-18,211270400,163170410.0,129.48
2025-05-25,260525600,172661760.0,150.89
2025-06-01,154793400,175022390.0,88.44
2025-06-08,182708900,178841580.0,102.16
2025-06-15,170953800,182039230.0,93.91
2025-06-22,156729600,182850620.0,85.71
2025-06-29,273611200,185497130.0,147.5
2025-07-06,150102000,187588800.0,80.02
2025-07-13,181144800,191390700.0,94.65
