Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-30,485116000,,
2020-07-31,822998000,,
2020-08-31,614564000,,
2020-09-30,836634000,,
2020-10-31,854920000,722846400.0,118.27
2020-11-30,631912000,752205600.0,84.01
2020-12-31,608630000,709332000.0,85.8
2021-01-31,791662000,744751600.0,106.3
2021-02-28,678324000,713089600.0,95.12
2021-03-31,756694000,693444400.0,109.12
2021-04-30,702352000,707532400.0,99.27
2021-05-31,603480000,706502400.0,85.42
2021-06-30,544936000,657157200.0,82.92
2021-07-31,610808000,643654000.0,94.9
2021-08-31,461586000,584632400.0,78.95
2021-09-30,590840000,562330000.0,105.07
2021-10-31,720758000,585785600.0,123.04
2021-11-30,608378000,598474000.0,101.65
2021-12-31,619694000,600251200.0,103.24
2022-01-31,767206000,661375200.0,116.0
2022-02-28,928126000,728832400.0,127.34
2022-03-31,729162000,730513200.0,99.82
2022-04-30,761152000,761068000.0,100.01
2022-05-31,850450000,807219200.0,105.36
2022-06-30,770754000,807928800.0,95.4
2022-07-31,789529700,780209540.0,101.19
2022-08-31,515852700,737547680.0,69.94
2022-09-30,613278900,707973060.0,86.62
2022-10-31,681488300,674180720.0,101.08
2022-11-30,716522700,663334460.0,108.02
2022-12-31,603127800,626054080.0,96.34
2023-01-31,672897800,657463100.0,102.35
2023-02-28,952580200,725323360.0,131.33
2023-03-31,859933900,761012480.0,113.0
2023-04-30,604106300,738529200.0,81.8
2023-05-31,820545400,782012720.0,104.93
2023-06-30,656756700,778784500.0,84.33
2023-07-31,708341500,729936760.0,97.04
2023-08-31,593289000,676607780.0,87.69
2023-09-30,477542100,651294940.0,73.32
2023-10-31,680712800,623328420.0,109.21
2023-11-30,535220300,599021140.0,89.35
2023-12-31,619903000,581333440.0,106.63
2024-01-31,580875000,578850640.0,100.35
2024-02-29,647669400,612876100.0,105.68
2024-03-31,672605900,611254720.0,110.04
2024-04-30,659471000,636104860.0,103.67
2024-05-31,542406800,620605620.0,87.4
2024-06-30,461090300,596648680.0,77.28
2024-07-31,526128300,572340460.0,91.93
2024-08-31,550739500,547967180.0,100.51
2024-09-30,532616600,522596300.0,101.92
2024-10-31,569309100,527976760.0,107.83
2024-11-30,529990600,541756820.0,97.83
2024-12-31,645610200,565653200.0,114.14
2025-01-31,500375500,555580400.0,90.06
2025-02-28,629376900,574932460.0,109.47
2025-03-31,732152300,607501100.0,120.52
2025-04-30,842540200,670011020.0,125.75
2025-05-31,942550700,729399120.0,129.22
2025-06-30,847382400,798800500.0,106.08
2025-07-31,267867900,726498700.0,36.87
