Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-05-14,1157400,,
2020-05-15,2073100,,
2020-05-18,937700,,
2020-05-19,794100,,
2020-05-20,632900,1119040.0,56.56
2020-05-21,640800,1015720.0,63.09
2020-05-22,529200,706940.0,74.86
2020-05-26,936400,706680.0,132.51
2020-05-27,1002600,748380.0,133.97
2020-05-28,711500,764100.0,93.12
2020-05-29,910900,818120.0,111.34
2020-06-01,718000,855880.0,83.89
2020-06-02,695900,807780.0,86.15
2020-06-03,913700,790000.0,115.66
2020-06-04,1029100,853520.0,120.57
2020-06-05,902300,851800.0,105.93
2020-06-08,913600,890920.0,102.55
2020-06-09,579300,867600.0,66.77
2020-06-10,690800,823020.0,83.93
2020-06-11,806800,778560.0,103.63
2020-06-12,818000,761700.0,107.39
2020-06-15,963200,771620.0,124.83
2020-06-16,751200,806000.0,93.2
2020-06-17,695200,806880.0,86.16
2020-06-18,668000,779120.0,85.74
2020-06-19,2854000,1186320.0,240.58
2020-06-22,739100,1141500.0,64.75
2020-06-23,638800,1119020.0,57.09
2020-06-24,818600,1143700.0,71.57
2020-06-25,581200,1126340.0,51.6
2020-06-26,1290300,813600.0,158.59
2020-06-29,734000,812580.0,90.33
2020-06-30,852700,855360.0,99.69
2020-07-01,760900,843820.0,90.17
2020-07-02,696900,866960.0,80.38
2020-07-06,443400,697580.0,63.56
2020-07-07,562800,663340.0,84.84
2020-07-08,512300,595260.0,86.06
2020-07-09,670400,577160.0,116.15
2020-07-10,479800,533740.0,89.89
2020-07-13,682000,581460.0,117.29
2020-07-14,727200,614340.0,118.37
2020-07-15,544200,620720.0,87.67
2020-07-16,454600,577560.0,78.71
2020-07-17,452100,572020.0,79.04
2020-07-20,572400,550100.0,104.05
2020-07-21,531600,510980.0,104.04
2020-07-22,496900,501520.0,99.08
2020-07-23,568300,524260.0,108.4
2020-07-24,669000,567640.0,117.86
2020-07-27,760900,605340.0,125.7
2020-07-28,716700,642360.0,111.57
2020-07-29,740200,691020.0,107.12
2020-07-30,1009800,779320.0,129.57
2020-07-31,1644800,974480.0,168.79
2020-08-03,791800,980660.0,80.74
2020-08-04,687200,974760.0,70.5
2020-08-05,655200,957760.0,68.41
2020-08-06,500600,855920.0,58.49
2020-08-07,559000,638760.0,87.51
2020-08-10,577500,595900.0,96.91
2020-08-11,758600,610180.0,124.32
2020-08-12,786500,636440.0,123.58
2020-08-13,487300,633780.0,76.89
2020-08-14,406000,603180.0,67.31
2020-08-17,463100,580300.0,79.8
2020-08-18,504300,529440.0,95.25
2020-08-19,459200,463980.0,98.97
2020-08-20,520300,470580.0,110.57
2020-08-21,850400,559460.0,152.0
2020-08-24,845500,635940.0,132.95
