Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-30,346065800,,
2020-07-31,808654500,,
2020-08-31,667321500,,
2020-09-30,680429800,,
2020-10-31,738437500,648181820.0,113.92
2020-11-30,676942800,714357220.0,94.76
2020-12-31,883810300,729388380.0,121.17
2021-01-31,962555600,788435200.0,122.08
2021-02-28,511339300,754617100.0,67.76
2021-03-31,770803800,761090360.0,101.28
2021-04-30,654934800,756688760.0,86.55
2021-05-31,495384200,679003540.0,72.96
2021-06-30,511873100,588867040.0,86.93
2021-07-31,516953700,589989920.0,87.62
2021-08-31,402375000,516304160.0,77.93
2021-09-30,413346700,467986540.0,88.32
2021-10-31,672042200,503318140.0,133.52
2021-11-30,617076700,524358860.0,117.68
2021-12-31,714651800,563898480.0,126.73
2022-01-31,890542800,661532040.0,134.62
2022-02-28,756814900,730225680.0,103.64
2022-03-31,849288700,765674980.0,110.92
2022-04-30,639472500,770154140.0,83.03
2022-05-31,773236800,781871140.0,98.9
2022-06-30,783353000,760433180.0,103.01
2022-07-31,792918100,767653820.0,103.29
2022-08-31,899717100,777739500.0,115.68
2022-09-30,889075300,827660060.0,107.42
2022-10-31,981043600,869221420.0,112.86
2022-11-30,788916300,870334080.0,90.65
2022-12-31,758549700,863460400.0,87.85
2023-01-31,840843300,851685640.0,98.73
2023-02-28,880323200,849935220.0,103.58
2023-03-31,1193573500,892441200.0,133.74
2023-04-30,728887300,880435400.0,82.79
2023-05-31,968032100,922331880.0,104.95
2023-06-30,1065251500,967213520.0,110.14
2023-07-31,791749800,949498840.0,83.39
2023-08-31,716033800,853990900.0,83.85
2023-09-30,841329600,876479360.0,95.99
2023-10-31,795454900,841963920.0,94.48
2023-11-30,807892600,790492140.0,102.2
2023-12-31,829442300,798030640.0,103.94
2024-01-31,1002649600,855353800.0,117.22
2024-02-29,815730300,850233940.0,95.94
2024-03-31,948997100,880942380.0,107.73
2024-04-30,1262595200,971882900.0,129.91
2024-05-31,1024223300,1010839100.0,101.32
2024-06-30,753487800,961006740.0,78.41
2024-07-31,1187303500,1035321380.0,114.68
2024-08-31,2013019200,1248125800.0,161.28
2024-09-30,2133025600,1422211880.0,149.98
2024-10-31,1274330900,1472233400.0,86.56
2024-11-30,1435316400,1608599120.0,89.23
2024-12-31,1681318400,1707402100.0,98.47
2025-01-31,1473521500,1599502560.0,92.12
2025-02-28,2309470800,1634791600.0,141.27
2025-03-31,2204778500,1820881120.0,121.08
2025-04-30,2422713100,2018360460.0,120.03
2025-05-31,1397631200,1961623020.0,71.25
2025-06-30,1853561900,2037631100.0,90.97
2025-07-31,652935700,1706324080.0,38.27
