Date,Volume,Volume_MA5,Volume_Ratio_5d
2021-01-04,150500,,
2021-01-05,165300,,
2021-01-06,175600,,
2021-01-07,94200,,
2021-01-08,137500,144620.0,95.08
2021-01-11,162600,147040.0,110.58
2021-01-12,210700,156120.0,134.96
2021-01-13,386100,198220.0,194.78
2021-01-14,291000,237580.0,122.49
2021-01-15,269600,264000.0,102.12
2021-01-19,573900,346260.0,165.74
2021-01-20,434000,390920.0,111.02
2021-01-21,401600,394020.0,101.92
2021-01-22,503900,436600.0,115.41
2021-01-25,621100,506900.0,122.53
2021-01-26,695000,531120.0,130.86
2021-01-27,919500,628220.0,146.37
2021-01-28,183400,584580.0,31.37
2021-01-29,230900,529980.0,43.57
2021-02-01,244800,454720.0,53.84
2021-02-02,159600,347640.0,45.91
2021-02-03,164600,196660.0,83.7
2021-02-04,142000,188380.0,75.38
2021-02-05,162400,174680.0,92.97
2021-02-08,527500,231220.0,228.14
2021-02-09,240500,247400.0,97.21
2021-02-10,151300,244740.0,61.82
2021-02-11,83200,232980.0,35.71
2021-02-12,117200,223940.0,52.34
2021-02-16,265500,171540.0,154.77
2021-02-17,177400,158920.0,111.63
2021-02-18,460300,220720.0,208.54
2021-02-19,424300,288940.0,146.85
2021-02-22,506900,366880.0,138.17
2021-02-23,379700,389720.0,97.43
2021-02-24,7375300,1829300.0,403.18
2021-02-25,2067400,2150720.0,96.13
2021-02-26,1714800,2408820.0,71.19
2021-03-01,959500,2499340.0,38.39
2021-03-02,830100,2589420.0,32.06
2021-03-03,1067100,1327780.0,80.37
2021-03-04,1296400,1173580.0,110.47
2021-03-05,959800,1022580.0,93.86
2021-03-08,5674000,1965480.0,288.68
2021-03-09,2175400,2234540.0,97.35
2021-03-10,2130500,2447220.0,87.06
2021-03-11,1644300,2516800.0,65.33
2021-03-12,1135900,2552020.0,44.51
2021-03-15,1467500,1710720.0,85.78
2021-03-16,1387300,1553100.0,89.32
2021-03-17,1278700,1382740.0,92.48
2021-03-18,873200,1228520.0,71.08
2021-03-19,475200,1096380.0,43.34
2021-03-22,564300,915740.0,61.62
2021-03-23,732200,784720.0,93.31
2021-03-24,972300,723440.0,134.4
2021-03-25,1178200,784440.0,150.2
2021-03-26,647300,818860.0,79.05
2021-03-29,317300,769460.0,41.24
2021-03-30,447100,712440.0,62.76
2021-03-31,398700,597720.0,66.7
2021-04-01,481200,458320.0,104.99
2021-04-05,362000,401260.0,90.22
2021-04-06,370700,411940.0,89.99
2021-04-07,435700,409660.0,106.36
2021-04-08,648400,459600.0,141.08
2021-04-09,299700,423300.0,70.8
2021-04-12,450000,440900.0,102.06
2021-04-13,465500,459860.0,101.23
2021-04-14,435900,459900.0,94.78
2021-04-15,299300,390080.0,76.73
2021-04-16,545500,439240.0,124.19
2021-04-19,694700,488180.0,142.3
2021-04-20,526300,500340.0,105.19
2021-04-21,249200,463000.0,53.82
2021-04-22,479200,498980.0,96.04
2021-04-23,156100,421100.0,37.07
2021-04-26,230900,328340.0,70.32
2021-04-27,214600,266000.0,80.68
2021-04-28,181100,252380.0,71.76
2021-04-29,322700,221080.0,145.97
2021-04-30,275900,245040.0,112.59
2021-05-03,266500,252160.0,105.69
2021-05-04,145300,238300.0,60.97
2021-05-05,154700,233020.0,66.39
2021-05-06,200000,208480.0,95.93
2021-05-07,407500,234800.0,173.55
2021-05-10,224500,226400.0,99.16
2021-05-11,885300,374400.0,236.46
2021-05-12,753700,494200.0,152.51
2021-05-13,247700,503740.0,49.17
2021-05-14,160000,454240.0,35.22
2021-05-17,674400,544220.0,123.92
2021-05-18,352700,437700.0,80.58
2021-05-19,437700,374500.0,116.88
2021-05-20,1701000,665160.0,255.73
2021-05-21,907700,814700.0,111.42
2021-05-24,163000,712420.0,22.88
2021-05-25,345100,710900.0,48.54
2021-05-26,328400,689040.0,47.66
2021-05-27,63300,361500.0,17.51
2021-05-28,265600,233080.0,113.95
2021-06-01,344600,269400.0,127.91
2021-06-02,185100,237400.0,77.97
2021-06-03,177000,207120.0,85.46
2021-06-04,184400,231340.0,79.71
2021-06-07,464900,271200.0,171.42
2021-06-08,939900,390260.0,240.84
2021-06-09,1145400,582320.0,196.7
2021-06-10,626100,672140.0,93.15
2021-06-11,338100,702880.0,48.1
2021-06-14,193500,648600.0,29.83
2021-06-15,98100,480240.0,20.43
2021-06-16,164500,284060.0,57.91
2021-06-17,182900,195420.0,93.59
2021-06-18,112700,150340.0,74.96
2021-06-21,195700,150780.0,129.79
2021-06-22,554000,241960.0,228.96
2021-06-23,124200,233900.0,53.1
2021-06-24,700500,337420.0,207.6
2021-06-25,348100,384500.0,90.53
2021-06-28,551200,455600.0,120.98
2021-06-29,285900,401980.0,71.12
2021-06-30,440200,465180.0,94.63
2021-07-01,247300,374540.0,66.03
2021-07-02,147100,334340.0,44.0
2021-07-06,356100,295320.0,120.58
2021-07-07,274500,293040.0,93.67
2021-07-08,341200,273240.0,124.87
2021-07-09,325500,288880.0,112.68
2021-07-12,173900,294240.0,59.1
2021-07-13,118400,246700.0,47.99
2021-07-14,339900,259780.0,130.84
2021-07-15,276600,246860.0,112.05
2021-07-16,214800,224720.0,95.59
2021-07-19,701800,330300.0,212.47
2021-07-20,728400,452300.0,161.04
2021-07-21,626900,509700.0,122.99
2021-07-22,709500,596280.0,118.99
2021-07-23,240900,601500.0,40.05
2021-07-26,243000,509740.0,47.67
2021-07-27,200000,404060.0,49.5
2021-07-28,302000,339080.0,89.06
2021-07-29,282700,253720.0,111.42
2021-07-30,139100,233360.0,59.61
2021-08-02,197400,224240.0,88.03
2021-08-03,142600,212760.0,67.02
2021-08-04,185100,189380.0,97.74
2021-08-05,372300,207300.0,179.59
2021-08-06,283400,236160.0,120.0
2021-08-09,540100,304700.0,177.26
2021-08-10,201600,316500.0,63.7
2021-08-11,400300,359540.0,111.34
2021-08-12,1199600,525000.0,228.5
2021-08-13,631400,594600.0,106.19
2021-08-16,243700,535320.0,45.52
2021-08-17,442700,583540.0,75.86
2021-08-18,164400,536360.0,30.65
2021-08-19,359500,368340.0,97.6
2021-08-20,797300,401520.0,198.57
2021-08-23,728000,498380.0,146.07
2021-08-24,686400,547120.0,125.46
2021-08-25,619100,638060.0,97.03
2021-08-26,366800,639520.0,57.36
2021-08-27,186300,517320.0,36.01
2021-08-30,218500,415420.0,52.6
2021-08-31,260700,330280.0,78.93
2021-09-01,459000,298260.0,153.89
2021-09-02,744900,373880.0,199.24
2021-09-03,273300,391280.0,69.85
2021-09-07,549000,457380.0,120.03
2021-09-08,274600,460160.0,59.67
2021-09-09,1582800,684920.0,231.09
2021-09-10,368300,609600.0,60.42
2021-09-13,616900,678320.0,90.95
2021-09-14,394500,647420.0,60.93
2021-09-15,1452100,882920.0,164.47
2021-09-16,3042800,1174920.0,258.98
2021-09-17,1997200,1500700.0,133.08
2021-09-20,1738100,1724940.0,100.76
2021-09-21,1601400,1966320.0,81.44
2021-09-22,3418500,2359600.0,144.88
2021-09-23,4097200,2570480.0,159.39
2021-09-24,12876900,4746420.0,271.3
2021-09-27,9964500,6391700.0,155.9
2021-09-28,5386700,7148760.0,75.35
2021-09-29,3136900,7092440.0,44.23
2021-09-30,4857900,7244580.0,67.06
2021-10-01,6513300,5971860.0,109.07
2021-10-04,7298600,5438680.0,134.2
2021-10-05,3638700,5089080.0,71.5
2021-10-06,3871700,5236040.0,73.94
2021-10-07,2684100,4801280.0,55.9
2021-10-08,3956200,4289860.0,92.22
2021-10-11,3385700,3507280.0,96.53
2021-10-12,1668500,3113240.0,53.59
2021-10-13,2721600,2883220.0,94.39
2021-10-14,4451400,3236680.0,137.53
2021-10-15,4353500,3316140.0,131.28
2021-10-18,2827000,3204400.0,88.22
2021-10-19,5952900,4061280.0,146.58
2021-10-20,4248300,4366620.0,97.29
2021-10-21,1729600,3822260.0,45.25
2021-10-22,2485300,3448620.0,72.07
2021-10-25,7722700,4427760.0,174.42
2021-10-26,4744600,4186100.0,113.34
2021-10-27,7887100,4913860.0,160.51
2021-10-28,7731000,6114140.0,126.44
2021-10-29,12903100,8197700.0,157.4
2021-11-01,9343000,8521760.0,109.64
2021-11-02,4109200,8394680.0,48.95
2021-11-03,3012900,7419840.0,40.61
