Date,Volume,Volume_MA5,Volume_Ratio_5d
2021-01-10,723100,,
2021-01-17,1320000,,
2021-01-24,1913400,,
2021-01-31,2649900,,
2021-02-07,873400,1495960.0,58.38
2021-02-14,1119700,1575280.0,71.08
2021-02-21,1327500,1576780.0,84.19
2021-02-28,12044100,3602920.0,334.29
2021-03-07,5112900,4095520.0,124.84
2021-03-14,12760100,6472860.0,197.13
2021-03-21,5481900,7345300.0,74.63
2021-03-28,4094300,7898660.0,51.84
2021-04-04,1644300,5818700.0,28.26
2021-04-11,2116500,5219420.0,40.55
2021-04-18,2196200,3106640.0,70.69
2021-04-25,2105500,2431360.0,86.6
2021-05-02,1225200,1857540.0,65.96
2021-05-09,1174000,1763480.0,66.57
2021-05-16,2271200,1794420.0,126.57
2021-05-23,4073500,2169880.0,187.73
2021-05-30,1165400,1981860.0,58.8
2021-06-06,891100,1915040.0,46.53
2021-06-13,3514400,2383120.0,147.47
2021-06-20,751700,2079220.0,36.15
2021-06-27,1922500,1649020.0,116.58
2021-07-04,1671700,1750280.0,95.51
2021-07-11,1297300,1831520.0,70.83
2021-07-18,1123600,1353360.0,83.02
2021-07-25,3007500,1804520.0,166.66
2021-08-01,1166800,1653380.0,70.57
2021-08-08,1180800,1555200.0,75.93
2021-08-15,2973000,1890340.0,157.27
2021-08-22,2007600,2067140.0,97.12
2021-08-29,2586600,1982960.0,130.44
2021-09-05,1956400,2140880.0,91.38
2021-09-12,2774700,2459660.0,112.81
2021-09-19,7503500,3365760.0,222.94
2021-09-26,23732100,7710660.0,307.78
2021-10-03,29859300,13165200.0,226.8
2021-10-10,21449300,17063780.0,125.7
2021-10-17,16580700,19824980.0,83.64
2021-10-24,17243100,21772900.0,79.2
2021-10-31,40988500,25224180.0,162.5
2021-11-07,34086400,26069600.0,130.75
2021-11-14,46077400,30995220.0,148.66
2021-11-21,80831900,43845460.0,184.36
2021-11-28,32719500,46940740.0,69.7
2021-12-05,32746200,45292280.0,72.3
2021-12-12,26498100,43774620.0,60.53
2021-12-19,36235300,41806200.0,86.67
2021-12-26,16561500,28952120.0,57.2
2022-01-02,15353700,25478960.0,60.26
2022-01-09,18445300,22618780.0,81.55
2022-01-16,16213500,20561860.0,78.85
2022-01-23,13113700,15937540.0,82.28
2022-01-30,20712500,16767740.0,123.53
2022-02-06,17755900,17248180.0,102.94
2022-02-13,21254200,17809960.0,119.34
2022-02-20,18181800,18203620.0,99.88
2022-02-27,11264100,17833700.0,63.16
2022-03-06,13653900,16421980.0,83.14
2022-03-13,11754400,15221680.0,77.22
2022-03-20,11573500,13285540.0,87.11
2022-03-27,12176900,12084560.0,100.76
2022-04-03,26603100,15152360.0,175.57
2022-04-10,13282600,15078100.0,88.09
2022-04-17,16205900,15968400.0,101.49
2022-04-24,37252900,21104280.0,176.52
2022-05-01,27013600,24071620.0,112.22
2022-05-08,52121600,29175320.0,178.65
2022-05-15,37006000,33920000.0,109.1
2022-05-22,33583300,37395480.0,89.81
2022-05-29,22709000,34486700.0,65.85
2022-06-05,20626200,33209220.0,62.11
2022-06-12,25751600,27935220.0,92.18
2022-06-19,27421400,26018300.0,105.39
2022-06-26,32460300,25793700.0,125.85
2022-07-03,14825000,24216900.0,61.22
2022-07-10,9791800,22050020.0,44.41
2022-07-17,10168200,18933340.0,53.71
2022-07-24,12588800,15966820.0,78.84
2022-07-31,9288400,11332440.0,81.96
2022-08-07,16214200,11610280.0,139.65
2022-08-14,17499400,13151800.0,133.06
2022-08-21,43118000,19741760.0,218.41
2022-08-28,17580400,20740080.0,84.77
2022-09-04,12668700,21416140.0,59.15
2022-09-11,12297900,20632880.0,59.6
2022-09-18,14930800,20119160.0,74.21
2022-09-25,10757900,13647140.0,78.83
2022-10-02,14758500,13082760.0,112.81
2022-10-09,14035900,13356200.0,105.09
2022-10-16,11407900,13178200.0,86.57
2022-10-23,8530500,11898140.0,71.7
2022-10-30,11628700,12072300.0,96.33
2022-11-06,10401700,11200940.0,92.86
2022-11-13,15599600,11513680.0,135.49
2022-11-20,22060200,13644140.0,161.68
2022-11-27,7033800,13344800.0,52.71
2022-12-04,12239500,13466960.0,90.89
2022-12-11,13123900,14011400.0,93.67
2022-12-18,18939800,14679440.0,129.02
