Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-30,91070500,,
2020-07-31,137880400,,
2020-08-31,109956200,,
2020-09-30,138799800,,
2020-10-31,137284700,,
2020-11-30,153635100,,
2020-12-31,158925000,,
2021-01-31,184488700,,
2021-02-28,147681200,,
2021-03-31,175073000,,
2021-04-30,162648500,,
2021-05-31,133901100,,
2021-06-30,145670800,,
2021-07-31,133724800,,
2021-08-31,114788500,,
2021-09-30,132028700,,
2021-10-31,136327000,,
2021-11-30,164263300,,
2021-12-31,167972300,,
2022-01-31,165534400,144582700.0,114.49
2022-02-28,154615300,147759940.0,104.64
2022-03-31,180106000,149871220.0,120.17
2022-04-30,163454500,152546135.0,107.15
2022-05-31,152737200,153243005.0,99.67
2022-06-30,159293700,154343455.0,103.21
2022-07-31,114640700,152393735.0,75.23
2022-08-31,157260000,152310485.0,103.25
2022-09-30,168332500,151502675.0,111.11
2022-10-31,139408400,151089035.0,92.27
2022-11-30,138341800,149252475.0,92.69
2022-12-31,129803700,147610235.0,87.94
2023-01-31,160524000,148941380.0,107.78
2023-02-28,164776500,149896665.0,109.93
2023-03-31,185723800,152496615.0,121.79
2023-04-30,146069800,154060680.0,94.81
2023-05-31,132112400,154064865.0,85.75
2023-06-30,146413700,154569200.0,94.72
2023-07-31,201425400,156427305.0,128.77
2023-08-31,1084847100,202271045.0,536.33
2023-09-30,147233100,201355980.0,73.12
2023-10-31,152893600,201269895.0,75.96
2023-11-30,131078100,198818500.0,65.93
2023-12-31,146527600,197972155.0,74.01
2024-01-31,138190400,197244815.0,70.06
2024-02-29,158288200,197194540.0,80.27
2024-03-31,140389700,198481990.0,70.73
2024-04-30,175712200,199404600.0,88.12
2024-05-31,174612900,199718620.0,87.43
2024-06-30,132521000,199374250.0,66.47
2024-07-31,151359400,200025130.0,75.67
2024-08-31,150664500,201068170.0,74.93
2024-09-30,120356400,199059790.0,60.46
2024-10-31,133026800,197472305.0,67.36
2024-11-30,153342200,195853225.0,78.29
2024-12-31,177839200,197441695.0,90.07
2025-01-31,192828600,200477505.0,96.18
2025-02-28,169975800,201655610.0,84.29
2025-03-31,186802300,200924455.0,92.97
2025-04-30,236788000,158521500.0,149.37
2025-05-31,174251100,159872400.0,108.99
2025-06-30,159004100,160177925.0,99.27
2025-07-31,53384600,156293250.0,34.16
