Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-11-15,59900,,
2020-11-22,1024100,,
2020-11-29,489800,,
2020-12-06,715500,,
2020-12-13,2904500,,
2020-12-20,1669900,,
2020-12-27,1944800,,
2021-01-03,1984100,,
2021-01-10,2806700,,
2021-01-17,3815400,,
2021-01-24,4939100,,
2021-01-31,4890400,,
2021-02-07,6387400,,
2021-02-14,17206400,,
2021-02-21,9320600,,
2021-02-28,46024900,,
2021-03-07,23169200,,
2021-03-14,9718700,,
2021-03-21,5528600,,
2021-03-28,11598600,,
2021-04-04,4768500,,
2021-04-11,4955800,,
2021-04-18,5381100,,
2021-04-25,4465200,,
2021-05-02,3562400,,
2021-05-09,5162200,,
2021-05-16,6723100,,
2021-05-23,3773900,,
2021-05-30,2018400,,
2021-06-06,3020200,,
2021-06-13,7378500,,
2021-06-20,3374700,,
2021-06-27,4043200,,
2021-07-04,2040000,,
2021-07-11,1828300,,
2021-07-18,2058900,,
2021-07-25,5685600,,
2021-08-01,25912800,,
2021-08-08,7964700,,
2021-08-15,22534200,7071257.5,318.67
2021-08-22,15340800,7453280.0,205.83
2021-08-29,8563700,7641770.0,112.06
2021-09-05,21542200,8168080.0,263.74
2021-09-12,23612300,8740500.0,270.15
2021-09-19,37841700,9613930.0,393.61
2021-09-26,23107800,10149877.5,227.67
2021-10-03,17974600,10550622.5,170.37
2021-10-10,9982200,10750575.0,92.85
2021-10-17,8814400,10900767.5,80.86
2021-10-24,10244700,11061500.0,92.62
2021-10-31,11600200,11228027.5,103.31
2021-11-07,11062700,11382335.0,97.19
2021-11-14,9321300,11455682.5,81.37
2021-11-21,15863100,11422100.0,138.88
2021-11-28,9176200,11418490.0,80.36
2021-12-05,15880600,10664882.5,148.91
2021-12-12,12117800,10388597.5,116.65
2021-12-19,22253100,10701957.5,207.93
2021-12-26,9054600,10790107.5,83.92
2022-01-02,10518700,10763110.0,97.73
2022-01-09,11958500,10942860.0,109.28
2022-01-16,17003500,11244052.5,151.22
2022-01-23,24344000,11718125.0,207.75
2022-01-30,31645400,12397630.0,255.25
2022-02-06,27924500,13006682.5,214.69
2022-02-13,44767500,13996815.0,319.84
2022-02-20,49622500,15069300.0,329.3
2022-02-27,32373400,15784287.5,205.1
2022-03-06,23564900,16322950.0,144.37
2022-03-13,30182800,17002015.0,177.52
2022-03-20,35318600,17700517.5,199.53
2022-03-27,46223300,18771732.5,246.24
2022-04-03,36838100,19591605.0,188.03
2022-04-10,38194800,20495475.0,186.36
2022-04-17,21262400,20981327.5,101.34
2022-04-24,26183600,21584445.0,121.31
2022-05-01,29574200,22181660.0,133.33
2022-05-08,22243900,22089937.5,100.7
2022-05-15,45054500,23017182.5,195.74
2022-05-22,35826600,23349492.5,153.44
2022-05-29,35427400,23851657.5,148.53
2022-06-05,22331900,24195862.5,92.3
2022-06-12,34644800,24523427.5,141.27
2022-06-19,36032700,24833937.5,145.09
2022-06-26,47541600,25076435.0,189.59
2022-07-03,20307500,25006427.5,81.21
2022-07-10,12099500,24859550.0,48.67
2022-07-17,13403800,24945090.0,53.73
2022-07-24,15590100,25114482.5,62.08
2022-07-31,12106400,25161025.0,48.12
2022-08-07,24540200,25484525.0,96.29
2022-08-14,28964200,25932062.5,111.69
2022-08-21,21341600,26232570.0,81.36
2022-08-28,16125800,26239137.5,61.46
2022-09-04,14083500,26361820.0,53.42
2022-09-11,7741800,26158350.0,29.6
2022-09-18,16528700,26268622.5,62.92
2022-09-25,12078100,26014247.5,46.43
2022-10-02,15152800,26166702.5,57.91
2022-10-09,21182400,26433295.0,80.14
2022-10-16,33507300,26972015.0,124.23
2022-10-23,15787100,26941605.0,58.6
2022-10-30,12474700,26644872.5,46.82
2022-11-06,13925400,26201872.5,53.15
2022-11-13,22392300,26063567.5,85.91
2022-11-20,11253700,25225722.5,44.61
2022-11-27,6430300,24145917.5,26.63
2022-12-04,14985400,23711217.5,63.2
2022-12-11,22822900,23692667.5,96.33
2022-12-18,18958600,23412062.5,80.98
2022-12-25,15030800,22904867.5,65.62
2023-01-01,12577500,22063722.5,57.01
2023-01-08,10430700,21403537.5,48.73
2023-01-15,18571000,20912942.5,88.8
2023-01-22,16574800,20795752.5,79.7
2023-01-29,13124300,20469270.0,64.12
2023-02-05,20413800,20240260.0,100.86
2023-02-12,11733800,19977507.5,58.74
2023-02-19,10343400,19109730.0,54.13
2023-02-26,14604900,18579187.5,78.61
2023-03-05,11498600,17980967.5,63.95
2023-03-12,13581800,17762215.0,76.46
2023-03-19,16156000,17299995.0,93.39
2023-03-26,9977400,16648612.5,59.93
2023-04-02,12827100,15780750.0,81.28
2023-04-09,7691900,15465360.0,49.74
2023-04-16,10297700,15420315.0,66.78
2023-04-23,10572000,15349520.0,68.88
2023-04-30,11977300,15259200.0,78.49
2023-05-07,22927500,15529727.5,147.64
2023-05-14,23492100,15503525.0,151.53
2023-05-21,28328000,15487620.0,182.91
2023-05-28,23843700,15550172.5,153.33
2023-06-04,16070100,15548780.0,103.35
2023-06-11,36493500,16109030.0,226.54
2023-06-18,43831900,17011282.5,257.66
2023-06-25,32710800,17415835.0,187.82
2023-07-02,179711300,21606665.0,831.74
2023-07-09,65046500,22854007.5,284.62
2023-07-16,52480300,23636455.0,222.03
2023-07-23,77056100,24725175.0,311.65
2023-07-30,31071800,25107292.5,123.76
