Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-05-14,18000800,,
2020-05-15,31579400,,
2020-05-18,26118500,,
2020-05-19,17839900,,
2020-05-20,22295900,23166900.0,96.24
2020-05-21,13193500,22205440.0,59.42
2020-05-22,13008400,18491240.0,70.35
2020-05-26,22223100,17712160.0,125.47
2020-05-27,18447600,17833700.0,103.44
2020-05-28,16230600,16620640.0,97.65
2020-05-29,51125000,24206940.0,211.2
2020-06-01,17010700,25007400.0,68.02
2020-06-02,15255100,23613800.0,64.6
2020-06-03,15508300,23025940.0,67.35
2020-06-04,13604700,22500760.0,60.46
2020-06-05,20504800,16376720.0,125.21
2020-06-08,19896700,16953920.0,117.36
2020-06-09,16713700,17245640.0,96.92
2020-06-10,15716600,17287300.0,90.91
2020-06-11,26070400,19780440.0,131.8
2020-06-12,21822700,20044020.0,108.87
2020-06-15,15622300,19189140.0,81.41
2020-06-16,18803500,19607100.0,95.9
2020-06-17,12602800,18984340.0,66.39
2020-06-18,9380800,15646420.0,59.95
2020-06-19,30464600,17374800.0,175.34
2020-06-22,20876200,18425580.0,113.3
2020-06-23,14675300,17599940.0,83.38
2020-06-24,17631800,18605740.0,94.77
2020-06-25,13829700,19495520.0,70.94
2020-06-26,21955100,17793620.0,123.39
2020-06-29,17603900,17139160.0,102.71
2020-06-30,23679800,18940060.0,125.02
2020-07-01,14316500,18277000.0,78.33
2020-07-02,15111900,18533440.0,81.54
2020-07-06,15146000,17171620.0,88.2
2020-07-07,13043600,16259560.0,80.22
2020-07-08,13851200,14293840.0,96.9
2020-07-09,16087100,14647960.0,109.82
2020-07-10,15627800,14751140.0,105.94
2020-07-13,16705300,15063000.0,110.9
2020-07-14,17080100,15870300.0,107.62
2020-07-15,23738000,17847660.0,133.0
2020-07-16,13306100,17291460.0,76.95
2020-07-17,13899800,16945860.0,82.02
2020-07-20,16633200,16931440.0,98.24
2020-07-21,25681500,18651720.0,137.69
2020-07-22,29831200,19870360.0,150.13
2020-07-23,15935000,20396140.0,78.13
2020-07-24,16196800,20855540.0,77.66
2020-07-27,17346500,20998200.0,82.61
2020-07-28,13872700,18636440.0,74.44
2020-07-29,13758100,15421820.0,89.21
2020-07-30,17276500,15690120.0,110.11
2020-07-31,14849200,15420600.0,96.29
2020-08-03,14137500,14778800.0,95.66
2020-08-04,11717200,14347700.0,81.67
2020-08-05,10498700,13695820.0,76.66
2020-08-06,10745000,12389520.0,86.73
2020-08-07,11669700,11753620.0,99.29
2020-08-10,11888000,11303720.0,105.17
2020-08-11,16531600,12266600.0,134.77
2020-08-12,9562200,12079300.0,79.16
2020-08-13,9882900,11906880.0,83.0
2020-08-14,10075800,11588100.0,86.95
2020-08-17,9102400,11030980.0,82.52
2020-08-18,9829000,9690460.0,101.43
2020-08-19,17371000,11252220.0,154.38
2020-08-20,11308700,11537380.0,98.02
2020-08-21,14734100,12469040.0,118.17
2020-08-24,9257700,12500100.0,74.06
2020-08-25,7827800,12099860.0,64.69
2020-08-26,10124200,10650500.0,95.06
2020-08-27,10931600,10575080.0,103.37
2020-08-28,16420300,10912320.0,150.47
2020-08-31,18510800,12762940.0,145.04
2020-09-01,12588400,13715060.0,91.79
2020-09-02,26332600,16956740.0,155.29
2020-09-03,22289400,19228300.0,115.92
2020-09-04,21019500,20148140.0,104.32
2020-09-08,17776700,20001320.0,88.88
2020-09-09,15252300,20534100.0,74.28
2020-09-10,15439500,18355480.0,84.11
2020-09-11,18272300,17552060.0,104.1
2020-09-14,10911700,15530500.0,70.26
2020-09-15,12838400,14542840.0,88.28
2020-09-16,15353900,14563160.0,105.43
2020-09-17,13287100,14132680.0,94.02
2020-09-18,23816600,15241540.0,156.26
2020-09-21,17514800,16562160.0,105.75
2020-09-22,13034600,16601400.0,78.52
2020-09-23,17121200,16954860.0,100.98
2020-09-24,16788100,17655060.0,95.09
2020-09-25,12603400,15412420.0,81.77
2020-09-28,11215700,14152600.0,79.25
2020-09-29,12426600,14031000.0,88.57
2020-09-30,15755900,13757940.0,114.52
2020-10-01,17577300,13915780.0,126.31
2020-10-02,13610100,14117120.0,96.41
2020-10-05,10628700,13999720.0,75.92
2020-10-06,10077400,13529880.0,74.48
2020-10-07,10135600,12405820.0,81.7
2020-10-08,12143900,11319140.0,107.29
2020-10-09,11407800,10878680.0,104.86
2020-10-12,11386500,11030240.0,103.23
2020-10-13,14365300,11887820.0,120.84
2020-10-14,10582100,11977120.0,88.35
2020-10-15,9961700,11540680.0,86.32
2020-10-16,13569800,11973080.0,113.34
2020-10-19,9930400,11681860.0,85.01
2020-10-20,10970700,11002940.0,99.71
2020-10-21,12517400,11390000.0,109.9
2020-10-22,20189200,13435500.0,150.27
2020-10-23,13491300,13419800.0,100.53
2020-10-26,14696400,14373000.0,102.25
2020-10-27,13892100,14957280.0,92.88
2020-10-28,19886200,16431040.0,121.03
2020-10-29,15369900,15467180.0,99.37
2020-10-30,15804000,15929720.0,99.21
2020-11-02,15156100,16021660.0,94.6
2020-11-03,15285100,16300260.0,93.77
2020-11-04,12930800,14909180.0,86.73
2020-11-05,12452400,14325680.0,86.92
2020-11-06,9294900,13023860.0,71.37
2020-11-09,33442000,16681040.0,200.48
2020-11-10,29706700,19565360.0,151.83
2020-11-11,17399900,20459180.0,85.05
2020-11-12,15024400,20973580.0,71.63
2020-11-13,12447900,21604180.0,57.62
2020-11-16,14908200,17897420.0,83.3
2020-11-17,14248400,14805760.0,96.24
2020-11-18,15278200,14381420.0,106.24
2020-11-19,17189500,14814440.0,116.03
2020-11-20,15645600,15453980.0,101.24
