Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,14845800,,
2020-06-28,29547700,,
2020-07-05,7440000,,
2020-07-12,11097700,,
2020-07-19,5847800,,
2020-07-26,56293300,,
2020-08-02,223643000,,
2020-08-09,459976400,,
2020-08-16,80959700,,
2020-08-23,68010200,,
2020-08-30,43544300,,
2020-09-06,45842700,,
2020-09-13,16772900,,
2020-09-20,30423500,,
2020-09-27,23961600,,
2020-10-04,12628700,,
2020-10-11,31650800,,
2020-10-18,40886700,,
2020-10-25,100685500,,
2020-11-01,66153300,68510580.0,96.56
2020-11-08,60365500,70786565.0,85.28
2020-11-15,38542900,71236325.0,54.11
2020-11-22,172867000,79507675.0,217.42
2020-11-29,147394000,86322490.0,170.75
2020-12-06,168699100,94465055.0,178.58
2020-12-13,73879100,95344345.0,77.49
2020-12-20,282879500,98306170.0,287.75
2020-12-27,166805400,83647620.0,199.41
2021-01-03,179397500,88569510.0,202.55
2021-01-10,397322400,105035120.0,378.28
2021-01-17,309623000,118339055.0,261.64
2021-01-24,166491200,124371480.0,133.87
2021-01-31,155243600,131295015.0,118.24
2021-02-07,105450300,135046355.0,78.08
2021-02-14,230534700,145375010.0,158.58
2021-02-21,113046900,150395920.0,75.17
2021-02-28,124187300,155022745.0,80.11
2021-03-07,104075400,158182180.0,65.79
2021-03-14,103342800,158315045.0,65.28
2021-03-21,92898600,159652310.0,58.19
2021-03-28,75103000,160389185.0,46.83
2021-04-04,94467800,163185430.0,57.89
2021-04-11,114705300,160277345.0,71.57
2021-04-18,163083000,161061795.0,101.25
2021-04-25,121957100,158724695.0,76.84
2021-05-02,92159300,159638705.0,57.73
2021-05-09,72649600,149127210.0,48.72
2021-05-16,118614200,146717650.0,80.85
2021-05-23,112589700,143377260.0,78.53
2021-05-30,92194500,128120865.0,71.96
2021-06-06,41791800,114729305.0,36.43
2021-06-13,59519700,109380730.0,54.42
2021-06-20,66535100,104945305.0,63.4
2021-06-27,70938900,103219735.0,68.73
2021-07-04,45240700,93955035.0,48.15
2021-07-11,21010900,89353235.0,23.51
2021-07-18,22962400,84291990.0,27.24
2021-07-25,34985500,80837495.0,43.28
2021-08-01,45120200,77926365.0,57.9
2021-08-08,56146000,76088735.0,73.79
2021-08-15,51917500,74929460.0,69.29
2021-08-22,43281100,72370125.0,59.81
2021-08-29,61048100,69687265.0,87.6
2021-09-05,50986800,64082455.0,79.56
2021-09-12,41471800,60058190.0,69.05
2021-09-19,37728800,57336665.0,65.8
2021-09-26,38363200,55622345.0,68.97
2021-10-03,33322100,51357740.0,64.88
2021-10-10,50450400,48250775.0,104.56
2021-10-17,67175000,46999800.0,142.93
2021-10-24,93292300,49574825.0,188.18
2021-10-31,54849500,49341315.0,111.16
2021-11-07,65711800,49300150.0,133.29
2021-11-14,76451100,49575760.0,154.21
2021-11-21,108423500,52734900.0,205.6
2021-11-28,39305500,53649630.0,73.26
2021-12-05,74460700,56224545.0,132.43
2021-12-12,56313200,57290930.0,98.29
2021-12-19,59714900,58020665.0,102.92
2021-12-26,42689700,57347850.0,74.44
2022-01-02,55342300,57519090.0,96.22
2022-01-09,53165900,58013330.0,91.64
2022-01-16,59280000,57924925.0,102.34
2022-01-23,48755800,57813375.0,84.33
2022-01-30,80514300,59765500.0,134.72
2022-02-06,65835400,61170830.0,107.63
2022-02-13,86020200,63553680.0,135.35
2022-02-20,60693400,64922245.0,93.49
2022-02-27,52331600,65016305.0,80.49
2022-03-06,76034000,65459255.0,116.15
2022-03-13,55314000,63560340.0,87.03
2022-03-20,50377500,63336740.0,79.54
2022-03-27,54083000,62755300.0,86.18
2022-04-03,56038800,61734685.0,90.77
2022-04-10,48244200,58725720.0,82.15
2022-04-17,35054500,58513170.0,59.91
2022-04-24,49636600,57271965.0,86.67
2022-05-01,55624100,57237510.0,97.18
2022-05-08,50986700,56801100.0,89.76
2022-05-15,82757300,58804480.0,140.73
2022-05-22,54469500,58760840.0,92.7
2022-05-29,57098700,58957480.0,96.85
2022-06-05,57155200,58851240.0,97.12
2022-06-12,56599000,59243400.0,95.54
2022-06-19,70145000,58724935.0,119.45
2022-06-26,53850100,58125670.0,92.64
2022-07-03,53947000,56522010.0,95.44
2022-07-10,93056600,58140170.0,160.06
2022-07-17,66351800,58841180.0,112.76
2022-07-24,233314600,66705210.0,349.77
2022-07-31,130023200,70440670.0,184.59
2022-08-07,113319400,73587765.0,153.99
2022-08-14,116385400,76702885.0,151.74
2022-08-21,74995700,77650730.0,96.58
2022-08-28,77473400,79112190.0,97.93
2022-09-04,63172600,80518095.0,78.46
2022-09-11,72913700,81681950.0,89.27
2022-09-18,72351500,82518320.0,87.68
2022-09-25,71924700,83565220.0,86.07
2022-10-02,85288900,83691800.0,101.91
2022-10-09,86105400,85273595.0,100.98
2022-10-16,67472600,85792290.0,78.65
2022-10-23,74968200,86682940.0,86.49
2022-10-30,105476800,89126830.0,118.34
2022-11-06,92857500,90262455.0,102.87
2022-11-13,122492000,93694550.0,130.74
2022-11-20,85460800,95270240.0,89.7
2022-11-27,74305800,94332700.0,78.77
2022-12-04,87459500,95388085.0,91.69
2022-12-11,94088000,88426755.0,106.4
2022-12-18,108993700,87375280.0,124.74
2022-12-25,62048100,84811715.0,73.16
2023-01-01,42501100,81117500.0,52.39
2023-01-08,89619800,81848705.0,109.49
2023-01-15,276580500,91804060.0,301.27
2023-01-22,201731500,98732005.0,204.32
2023-01-29,200047300,105088685.0,190.36
2023-02-05,199101900,111426205.0,178.68
2023-02-12,126118800,114135910.0,110.5
2023-02-19,212374000,120490165.0,176.26
2023-02-26,102816400,121325715.0,84.74
2023-03-05,133460500,124625110.0,107.09
2023-03-12,92412100,125497305.0,73.64
2023-03-19,265876100,133517270.0,199.13
2023-03-26,208199400,139284365.0,149.48
2023-04-02,140148500,140167190.0,99.99
2023-04-09,92854100,140536855.0,66.07
2023-04-16,261068000,149874965.0,174.19
2023-04-23,155158100,153259895.0,101.24
2023-04-30,201885200,158649755.0,127.25
2023-05-07,160980600,161249100.0,99.83
2023-05-14,166687900,166481090.0,100.12
2023-05-21,132354400,170973755.0,77.41
2023-05-28,145277300,173756630.0,83.61
2023-06-04,134529700,166654090.0,80.72
2023-06-11,168247300,164979880.0,101.98
2023-06-18,151919200,162573475.0,93.45
2023-06-25,313568100,168296785.0,186.32
2023-07-02,283730200,176177355.0,161.05
2023-07-09,198249700,175471140.0,112.98
2023-07-16,278014900,184231065.0,150.91
2023-07-23,171377800,186126930.0,92.08
2023-07-30,121408000,187576725.0,64.72
2023-08-06,132277100,180896775.0,73.12
2023-08-13,131400000,177056805.0,74.21
2023-08-20,136658300,176882295.0,77.26
2023-08-27,112010100,177840095.0,62.98
2023-09-03,184716800,174022535.0,106.15
2023-09-10,102022400,171365750.0,59.53
2023-09-17,157806300,169161805.0,93.29
