Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-06-15,5714600,,
2020-06-16,2845200,,
2020-06-17,2763700,,
2020-06-18,1584100,,
2020-06-19,1938200,,
2020-06-22,12568600,,
2020-06-23,8711900,,
2020-06-24,3596800,,
2020-06-25,2169300,,
2020-06-26,2501100,,
2020-06-29,1539900,,
2020-06-30,1905700,,
2020-07-01,2344500,,
2020-07-02,1649900,,
2020-07-06,1900100,,
2020-07-07,1024200,,
2020-07-08,5136500,,
2020-07-09,2313800,,
2020-07-10,723100,,
2020-07-13,1681400,,
2020-07-14,1110700,,
2020-07-15,1278500,,
2020-07-16,897700,,
2020-07-17,879500,,
2020-07-20,1136500,,
2020-07-21,3760200,,
2020-07-22,13490900,,
2020-07-23,12385700,,
2020-07-24,25520000,,
2020-07-27,75828500,,
2020-07-28,73062600,,
2020-07-29,26702500,,
2020-07-30,10583000,,
2020-07-31,37466400,,
2020-08-03,225520800,,
2020-08-04,28945700,,
2020-08-05,97988400,,
2020-08-06,80517400,,
2020-08-07,27004100,,
2020-08-10,18341200,20675822.5,88.71
2020-08-11,14350700,20891725.0,68.69
2020-08-12,9616400,21061005.0,45.66
2020-08-13,16577900,21406360.0,77.44
2020-08-14,22073500,21918595.0,100.71
2020-08-17,27713400,22562975.0,122.83
2020-08-18,9986500,22498422.5,44.39
2020-08-19,7388200,22465330.0,32.89
2020-08-20,8377800,22584855.0,37.09
2020-08-21,14544300,22894230.0,63.53
2020-08-24,8553000,23045527.5,37.11
2020-08-25,8316100,23214932.5,35.82
2020-08-26,8319800,23375285.0,35.59
2020-08-27,5742200,23460227.5,24.48
2020-08-28,12613200,23734310.0,53.14
2020-08-31,6973000,23861132.5,29.22
2020-09-01,17839500,24281515.0,73.47
2020-09-02,6341800,24311647.5,26.09
2020-09-03,6075900,24405700.0,24.9
2020-09-04,8612500,24602935.0,35.01
2020-09-08,5140800,24689420.0,20.82
2020-09-09,3843600,24757742.5,15.52
2020-09-10,4548900,24839502.5,18.31
2020-09-11,3239600,24898050.0,13.01
2020-09-14,5648400,25017272.5,22.58
2020-09-15,4264800,25095480.0,16.99
2020-09-16,13004200,25326580.0,51.35
2020-09-17,4019500,25089795.0,16.02
2020-09-18,3486600,24867317.5,14.02
2020-09-21,3726600,24322482.5,15.32
2020-09-22,1922000,22474820.0,8.55
2020-09-23,4071000,20750030.0,19.62
2020-09-24,5946700,20231135.0,29.39
