Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-15,15340300,,
2020-06-16,15236700,,
2020-06-17,19578100,,
2020-06-18,15782500,,
2020-06-19,30081300,,
2020-06-22,18917800,,
2020-06-23,24017900,,
2020-06-24,20834900,,
2020-06-25,18704300,,
2020-06-26,76343900,,
2020-06-29,58514300,,
2020-06-30,33927100,,
2020-07-01,43399700,,
2020-07-02,30633600,,
2020-07-06,26206200,,
2020-07-07,27887800,,
2020-07-08,29791300,,
2020-07-09,22174900,,
2020-07-10,22982700,,
2020-07-13,24674900,28751510.0,85.82
2020-07-14,23378100,29153400.0,80.19
2020-07-15,19133600,29348245.0,65.2
2020-07-16,18880700,29313375.0,64.41
2020-07-17,18152400,29431870.0,61.68
2020-07-20,20872200,28971415.0,72.04
2020-07-21,19364200,28993735.0,66.79
2020-07-22,15427900,28564235.0,54.01
2020-07-23,21771800,28611080.0,76.1
2020-07-24,18325800,28592155.0,64.09
2020-07-27,13163100,25433115.0,51.76
2020-07-28,14170100,23215905.0,61.04
2020-07-29,13588300,22198965.0,61.21
2020-07-30,20615300,21059745.0,97.89
2020-07-31,53005100,22178320.0,239.0
2020-08-03,23124900,22024255.0,105.0
2020-08-04,17183500,21489040.0,79.96
2020-08-05,13050100,20651980.0,63.19
2020-08-06,45241600,21805315.0,207.48
2020-08-07,72766400,24294500.0,299.52
2020-08-10,30248800,24573195.0,123.1
2020-08-11,28238300,24816205.0,113.79
2020-08-12,21415700,24930310.0,85.9
2020-08-13,17374000,24854975.0,69.9
2020-08-14,14792700,24686990.0,59.92
2020-08-17,13351100,24310935.0,54.92
2020-08-18,18690400,24277245.0,76.99
2020-08-19,23291500,24670425.0,94.41
2020-08-20,20299700,24596820.0,82.53
2020-08-21,15538600,24457460.0,63.53
2020-08-24,23685600,24983585.0,94.8
2020-08-25,42127200,26381440.0,159.68
2020-08-26,69015200,29152785.0,236.74
2020-08-27,30301300,29637085.0,102.24
2020-08-28,17157400,27844700.0,61.62
2020-08-31,17345100,27555710.0,62.95
2020-09-01,17295900,27561330.0,62.75
2020-09-02,24341400,28125895.0,86.54
2020-09-03,32294100,27478520.0,117.52
2020-09-04,30333700,25356885.0,119.63
2020-09-08,24864000,25087645.0,99.11
2020-09-09,22918800,24821670.0,92.33
2020-09-10,24814700,24991620.0,99.29
2020-09-11,18913900,25068615.0,75.45
2020-09-14,24093800,25533670.0,94.36
2020-09-15,18478500,25790040.0,71.65
2020-09-16,29183400,26314690.0,110.9
2020-09-17,31281400,26714185.0,117.1
2020-09-18,28130800,27105740.0,103.78
2020-09-21,24709400,27564280.0,89.64
2020-09-22,30293100,27894655.0,108.6
2020-09-23,19641300,26770360.0,73.37
2020-09-24,20006800,24319940.0,82.27
2020-09-25,18351300,23722440.0,77.36
2020-09-28,18826300,23805885.0,79.08
2020-09-29,20200200,23948640.0,84.35
2020-09-30,20142500,24090970.0,83.61
2020-10-01,20009800,23874390.0,83.81
2020-10-02,16367600,23078065.0,70.92
2020-10-05,12822300,22202495.0,57.75
2020-10-06,18696900,21894140.0,85.4
2020-10-07,23133400,21904870.0,105.61
2020-10-08,16312800,21479775.0,75.94
2020-10-09,14107800,21239470.0,66.42
2020-10-12,31019300,21585745.0,143.7
2020-10-13,18063300,21564985.0,83.76
2020-10-14,15577800,20884705.0,74.59
2020-10-15,15416100,20091440.0,76.73
2020-10-16,16622700,19516035.0,85.17
2020-10-19,13587000,18959915.0,71.66
2020-10-20,18763200,18383420.0,102.07
2020-10-21,28998600,18851285.0,153.83
2020-10-22,16720000,18686945.0,89.47
2020-10-23,17535200,18646140.0,94.04
2020-10-26,21322900,18770970.0,113.6
2020-10-27,16287200,18575320.0,87.68
2020-10-28,23121800,18724285.0,123.49
2020-10-29,32368100,19342200.0,167.34
2020-10-30,47247800,20886210.0,226.22
2020-11-02,27165700,21603380.0,125.75
2020-11-03,17961900,21566630.0,83.29
2020-11-04,35364400,22178180.0,159.46
2020-11-05,23823600,22553720.0,105.63
2020-11-06,13891000,22542880.0,61.62
2020-11-09,25117700,22247800.0,112.9
2020-11-10,29067700,22798020.0,127.5
2020-11-11,14957000,22766980.0,65.7
2020-11-12,12899500,22641150.0,56.97
2020-11-13,10391200,22329575.0,46.54
2020-11-16,12970400,22298745.0,58.17
2020-11-17,15040300,22112600.0,68.02
2020-11-18,12152900,21270315.0,57.14
2020-11-19,12963700,21082500.0,61.49
2020-11-20,18114700,21111475.0,85.8
2020-11-23,20990800,21094870.0,99.51
2020-11-24,16930400,21127030.0,80.14
2020-11-25,12467000,20594290.0,60.54
