Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,76484200,,
2020-06-28,81096800,,
2020-07-05,64490300,,
2020-07-12,54526100,,
2020-07-19,316868800,,
2020-07-26,188908800,,
2020-08-02,129423900,,
2020-08-09,63803600,,
2020-08-16,105014600,,
2020-08-23,41919400,,
2020-08-30,65340600,,
2020-09-06,59290600,,
2020-09-13,39868800,,
2020-09-20,55858600,,
2020-09-27,36201800,,
2020-10-04,43899600,,
2020-10-11,26792000,,
2020-10-18,37597300,,
2020-10-25,25934600,,
2020-11-01,34576600,77394850.0,44.68
2020-11-08,24750200,74808150.0,33.08
2020-11-15,85163900,75011505.0,113.53
2020-11-22,150156900,79294835.0,189.37
2020-11-29,98164100,81476735.0,120.48
2020-12-06,315912100,81428900.0,387.96
2020-12-13,144230100,79194965.0,182.12
2020-12-20,152957600,80371650.0,190.31
2020-12-27,114582400,82910590.0,138.2
2021-01-03,102142400,82766980.0,123.41
2021-01-10,92472300,85294625.0,108.42
2021-01-17,75367600,85795975.0,87.85
2021-01-24,55478500,85605370.0,64.81
2021-01-31,120383200,89631090.0,134.31
2021-02-07,67944600,90235390.0,75.3
2021-02-14,39567600,90403680.0,43.77
2021-02-21,25009800,89459190.0,27.96
2021-02-28,65036400,91371410.0,71.18
2021-03-07,60634800,92523285.0,65.53
2021-03-14,33292600,92891185.0,35.84
2021-03-21,51277500,93726230.0,54.71
2021-03-28,28619900,93919715.0,30.47
2021-04-04,39161800,91619610.0,42.74
2021-04-11,31484700,85686000.0,36.74
2021-04-18,64564300,84006010.0,76.86
2021-04-25,53227100,70871760.0,75.1
2021-05-02,51360700,66228290.0,77.55
2021-05-09,92084300,63184625.0,145.74
2021-05-16,34895800,59200295.0,58.95
2021-05-23,22982100,55242280.0,41.6
2021-05-30,38558500,52546590.0,73.38
2021-06-06,36526900,50604555.0,72.18
2021-06-13,56247600,50643010.0,111.07
2021-06-20,37413700,46494535.0,80.47
2021-06-27,53535300,45774070.0,116.96
2021-07-04,37052000,45648290.0,81.17
2021-07-11,23870300,45591315.0,52.36
2021-07-18,77073100,46193150.0,166.85
2021-07-25,229424300,54632625.0,419.94
2021-08-01,75122500,56724120.0,132.43
2021-08-08,110857700,59703130.0,185.68
2021-08-15,183499500,67447110.0,272.06
2021-08-22,95978700,70287955.0,136.55
2021-08-29,66274500,72027445.0,92.01
2021-09-05,60807800,71839620.0,84.64
2021-09-12,62267300,72291630.0,86.13
2021-09-19,83938600,73920525.0,113.55
2021-09-26,53893100,72010965.0,74.84
2021-10-03,84663700,74499360.0,113.64
2021-10-10,78849200,77292715.0,102.01
2021-10-17,60680700,78398825.0,77.4
2021-10-24,35675800,78356270.0,45.53
2021-10-31,30359600,77061870.0,39.4
2021-11-07,110968000,80739585.0,137.44
2021-11-14,49876800,80556660.0,61.92
2021-11-21,42032600,80805690.0,52.02
2021-11-28,61414400,82682895.0,74.28
2021-12-05,108768700,84267675.0,129.08
2021-12-12,60458200,75819370.0,79.74
2021-12-19,42904900,74208490.0,57.82
2021-12-26,53319200,71331565.0,74.75
2022-01-02,40088700,64161025.0,62.48
2022-01-09,44814200,61602800.0,72.75
2022-01-16,47942500,60686200.0,79.0
2022-01-23,44919300,59891775.0,75.0
2022-01-30,52815600,59419190.0,88.89
2022-02-06,30883500,56766435.0,54.4
2022-02-13,28882400,55515900.0,52.03
2022-02-20,44744600,53519945.0,83.6
2022-02-27,39674000,51561185.0,76.95
2022-03-06,26963700,49875335.0,54.06
2022-03-13,33300300,49756560.0,66.93
2022-03-20,70435600,51760360.0,136.08
2022-03-27,36510900,48037505.0,76.0
2022-04-03,31289900,47108160.0,66.42
2022-04-10,31154200,46564240.0,66.91
2022-04-17,21351100,44561075.0,47.91
2022-04-24,23338800,40289580.0,57.93
2022-05-01,28754800,38704410.0,74.29
2022-05-08,40266200,38572475.0,104.39
2022-05-15,38816700,37847350.0,102.56
2022-05-22,29064700,37296150.0,77.93
2022-05-29,28528300,36481855.0,78.2
2022-06-05,23197800,35244620.0,65.82
2022-06-12,25716800,34284495.0,75.01
2022-06-19,33240800,33305755.0,99.8
2022-06-26,23567100,32939935.0,71.55
2022-07-03,21755700,32583600.0,66.77
2022-07-10,26142500,31653495.0,82.59
2022-07-17,26836400,31011615.0,86.54
2022-07-24,14854200,30406140.0,48.85
2022-07-31,17011800,29591715.0,57.49
2022-08-07,33370700,27738470.0,120.3
2022-08-14,18869900,26856420.0,70.26
2022-08-21,27187500,26651300.0,102.01
2022-08-28,19072900,26047235.0,73.22
2022-09-04,23175100,26138435.0,88.66
2022-09-11,18391600,25891075.0,71.03
2022-09-18,28176500,25862160.0,108.95
2022-09-25,31282000,25412950.0,123.09
2022-10-02,20479800,24496105.0,83.6
2022-10-09,15075900,23796665.0,63.35
2022-10-16,34111700,24075835.0,141.68
2022-10-23,29386100,24385250.0,120.51
2022-10-30,22422000,24220510.0,92.57
2022-11-06,30370800,24077010.0,126.14
2022-11-13,20559200,23926615.0,85.93
2022-11-20,22773400,23977500.0,94.98
2022-11-27,9940100,23167380.0,42.91
2022-12-04,17947000,22722910.0,78.98
2022-12-11,17408800,22850640.0,76.19
2022-12-18,74337400,25716920.0,289.06
2022-12-25,35639700,25830370.0,137.98
2023-01-01,19444400,25859095.0,75.19
2023-01-08,13494400,25174440.0,53.6
2023-01-15,17066400,25074115.0,68.06
2023-01-22,23102100,25070465.0,92.15
2023-01-29,12785600,24790165.0,51.58
2023-02-05,21901300,24476405.0,89.48
2023-02-12,14191600,23621885.0,60.08
2023-02-19,15094500,23352620.0,64.64
2023-02-26,21755800,23686615.0,91.85
2023-03-05,20819300,23021995.0,90.43
2023-03-12,14821500,22293765.0,66.48
2023-03-19,21025600,22223945.0,94.61
2023-03-26,13792100,21395010.0,64.46
2023-04-02,12530800,20993590.0,59.69
2023-04-09,11178600,20413850.0,54.76
2023-04-16,17855300,20809610.0,85.8
2023-04-23,25058300,21165175.0,118.39
2023-04-30,16475400,21118505.0,78.01
2023-05-07,18199500,18311610.0,99.39
2023-05-14,14157100,17237480.0,82.13
2023-05-21,14148300,16972675.0,83.36
2023-05-28,22610000,17428455.0,129.73
2023-06-04,10846100,17117440.0,63.36
2023-06-11,13557400,16640205.0,81.47
2023-06-18,17813100,16891580.0,105.46
2023-06-25,12438000,16418415.0,75.76
2023-07-02,12661700,16341920.0,77.48
2023-07-09,14066000,16290495.0,86.34
2023-07-16,15082000,15956805.0,94.52
2023-07-23,18437500,15837715.0,116.42
2023-07-30,14518700,15822575.0,91.76
2023-08-06,22612200,15901905.0,142.2
2023-08-13,24645300,16444565.0,149.87
2023-08-20,23113500,16973700.0,136.17
2023-08-27,24044100,17616975.0,136.48
2023-09-03,14413200,17444870.0,82.62
2023-09-10,10615600,16722735.0,63.48
2023-09-17,27385000,17268215.0,158.59
2023-09-24,20012600,17358870.0,115.29
2023-10-01,14400500,17371040.0,82.9
2023-10-08,13413600,17334305.0,77.38
2023-10-15,13631500,16885380.0,80.73
2023-10-22,34313600,18058755.0,190.01
