Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,168517400,,
2020-06-28,182956600,,
2020-07-05,122388900,,
2020-07-12,158397600,,
2020-07-19,169482800,,
2020-07-26,231764900,,
2020-08-02,149168500,,
2020-08-09,217546700,,
2020-08-16,141723900,,
2020-08-23,132379400,,
2020-08-30,171999700,,
2020-09-06,206644900,,
2020-09-13,167684900,,
2020-09-20,167764400,,
2020-09-27,164800400,,
2020-10-04,150369100,,
2020-10-11,121950800,,
2020-10-18,141624900,,
2020-10-25,114335300,,
2020-11-01,193393800,163744745.0,118.11
2020-11-08,161978000,163417775.0,99.12
2020-11-15,158095900,162174740.0,97.48
2020-11-22,125116000,162311095.0,77.08
2020-11-29,95188300,159150630.0,59.81
2020-12-06,137480700,157550525.0,87.26
2020-12-13,138057400,152865150.0,90.31
2020-12-20,186693000,154741375.0,120.65
2020-12-27,89044300,148316255.0,60.04
2021-01-03,76551100,145057615.0,52.77
2021-01-10,147534500,145815370.0,101.18
2021-01-17,127595000,143595135.0,88.86
2021-01-24,129140300,139719905.0,92.43
2021-01-31,243806600,143525990.0,169.87
2021-02-07,129739500,141624745.0,91.61
2021-02-14,100275800,138398515.0,72.45
2021-02-21,90570200,135408570.0,66.89
2021-02-28,170376700,137829865.0,123.61
2021-03-07,168766600,139186950.0,121.25
2021-03-14,150656000,141002985.0,106.85
2021-03-21,164952900,139580940.0,118.18
2021-03-28,146927300,138828405.0,105.83
2021-04-04,123981000,137122660.0,90.42
2021-04-11,130514300,137392575.0,94.99
2021-04-18,124563200,138861320.0,89.7
2021-04-25,114031400,137688855.0,82.82
2021-05-02,169214700,139246720.0,121.52
2021-05-09,127808000,136302470.0,93.77
2021-05-16,153151300,139507820.0,109.78
2021-05-23,114541800,141407355.0,81.0
2021-05-30,99583800,139009820.0,71.64
2021-06-06,93208800,137290510.0,67.89
2021-06-13,107035100,136185250.0,78.6
2021-06-20,129177100,130453775.0,99.02
2021-06-27,117966900,129865145.0,90.84
2021-07-04,104367600,130069735.0,80.24
2021-07-11,103360900,130709270.0,79.08
2021-07-18,116956500,128038260.0,91.34
2021-07-25,129711800,126085520.0,102.88
2021-08-01,129460200,125025730.0,103.55
2021-08-08,80827200,120819445.0,66.9
2021-08-15,81500400,117548100.0,69.33
2021-08-22,135064000,118102250.0,114.36
2021-08-29,101283900,116640730.0,86.83
2021-09-05,92650700,115045105.0,80.53
2021-09-12,71787600,112932915.0,63.57
2021-09-19,134785900,111211475.0,121.2
2021-09-26,120872700,110864710.0,109.03
2021-10-03,155541500,110984220.0,140.15
2021-10-10,122462500,111380255.0,109.95
2021-10-17,113336700,112067900.0,101.13
2021-10-24,91315900,111973255.0,81.55
2021-10-31,159314400,114587220.0,139.03
2021-11-07,121622700,114209500.0,106.49
2021-11-14,108386100,113730460.0,95.3
2021-11-21,101090100,113566585.0,89.01
2021-11-28,107337200,113765400.0,94.35
2021-12-05,177332000,116784175.0,151.85
2021-12-12,146125400,117604855.0,124.25
2021-12-19,191504300,120707060.0,158.65
2021-12-26,97516400,121541520.0,80.23
2022-01-02,84645800,121698790.0,69.55
2022-01-09,173959800,123643580.0,140.69
2022-01-16,193260900,128242430.0,150.7
2022-01-23,181632200,132691505.0,136.88
2022-01-30,352234000,146713825.0,240.08
2022-02-06,202857400,150117400.0,135.13
2022-02-13,176801000,152913815.0,115.62
2022-02-20,160125500,153143015.0,104.56
2022-02-27,169083700,155474075.0,108.75
2022-03-06,157389300,157676705.0,99.82
2022-03-13,184358500,162328835.0,113.57
2022-03-20,176939300,163210080.0,108.41
2022-03-27,128717300,163564810.0,78.69
2022-04-03,148667800,165578895.0,89.79
2022-04-10,143329800,167690880.0,85.47
2022-04-17,115664800,168107260.0,68.8
2022-04-24,124842800,165482800.0,75.44
2022-05-01,216395500,168996305.0,128.05
2022-05-08,175769700,168209575.0,104.49
2022-05-15,221997200,174433615.0,127.27
2022-05-22,164627300,178432690.0,92.26
2022-05-29,142680100,176868705.0,80.67
2022-06-05,135187100,173965015.0,77.71
2022-06-12,120495800,170908195.0,70.5
2022-06-19,184153000,162504145.0,113.32
2022-06-26,115652800,158143915.0,73.13
2022-07-03,126549000,155631315.0,81.31
2022-07-10,87284100,151989245.0,57.43
2022-07-17,139698000,150519960.0,92.81
2022-07-24,113061900,148303590.0,76.24
2022-07-31,172010100,147686170.0,116.47
2022-08-07,102686000,143973505.0,71.32
2022-08-14,109517800,143013530.0,76.58
2022-08-21,92198200,140190050.0,65.77
2022-08-28,104858200,138266470.0,75.84
2022-09-04,114016200,138184040.0,82.51
2022-09-11,87859500,136334875.0,64.44
2022-09-18,147336700,132881935.0,110.88
2022-09-25,147350000,131460950.0,112.09
2022-10-02,146921600,127707170.0,115.05
2022-10-09,142125400,126582075.0,112.28
2022-10-16,154871900,127191665.0,121.76
2022-10-23,122568300,126560725.0,96.85
2022-10-30,223302200,131701045.0,169.55
2022-11-06,170779600,131032375.0,130.33
2022-11-13,170431600,133771315.0,127.41
2022-11-20,137343700,134311050.0,102.26
2022-11-27,74769700,133685330.0,55.93
2022-12-04,137898700,133595365.0,103.22
2022-12-11,109602000,133422370.0,82.15
2022-12-18,229935300,136318630.0,168.67
2022-12-25,128396500,137604155.0,93.31
2023-01-01,75854900,135921010.0,55.81
2023-01-08,159562600,139289230.0,114.55
2023-01-15,131675800,140630110.0,93.63
2023-01-22,123872800,141122940.0,87.78
2023-01-29,198648400,146662385.0,135.45
2023-02-05,152686100,146929855.0,103.92
2023-02-12,196239000,149374305.0,131.37
2023-02-19,170204900,150538470.0,113.06
2023-02-26,105098500,148687125.0,70.68
2023-03-05,126814600,147284260.0,86.1
2023-03-12,117910500,147051370.0,80.18
2023-03-19,237284200,147750470.0,160.6
2023-03-26,177681500,148095565.0,119.98
2023-04-02,131625200,146155245.0,90.06
2023-04-09,102542700,144415195.0,71.01
2023-04-16,122993600,146826390.0,83.77
2023-04-23,106069100,145234910.0,73.03
2023-04-30,219891700,150749395.0,145.87
2023-05-07,120760400,145290650.0,83.12
2023-05-14,124175700,145079610.0,85.59
2023-05-21,122187300,147396230.0,82.9
2023-05-28,158230100,147329605.0,107.4
2023-06-04,128091600,147150395.0,87.05
2023-06-11,128213000,147367405.0,87.0
2023-06-18,158648100,145367390.0,109.14
2023-06-25,98134700,142639820.0,68.8
2023-07-02,109955000,138325620.0,79.49
2023-07-09,80027600,133816755.0,59.8
2023-07-16,138354300,135479545.0,102.12
2023-07-23,228116800,140544655.0,162.31
2023-07-30,194819700,144390115.0,134.93
2023-08-06,113500600,138200935.0,82.13
2023-08-13,106898700,134661795.0,79.38
2023-08-20,102503300,133205700.0,76.95
2023-08-27,106273900,133392260.0,79.67
2023-09-03,90657400,131775450.0,68.8
2023-09-10,74000800,130172035.0,56.85
2023-09-17,108627100,124608805.0,87.17
2023-09-24,111754000,124158485.0,90.01
2023-10-01,107367600,123318080.0,87.07
2023-10-08,104934700,122455450.0,85.69
2023-10-15,100897000,119588795.0,84.37
2023-10-22,113714800,118869955.0,95.66
2023-10-29,178267100,121372660.0,146.88
2023-11-05,119224300,119401470.0,99.85
2023-11-12,129319400,120960705.0,106.91
2023-11-19,141869800,122556445.0,115.76
2023-11-26,114410100,124275570.0,92.06
2023-12-03,135170500,124116380.0,108.91
2023-12-10,119574100,118689245.0,100.75
2023-12-17,205258300,119211175.0,172.18
2023-12-24,103522400,118712265.0,87.2
2023-12-31,60628500,116398755.0,52.09
2024-01-07,90230600,115785120.0,77.93
2024-01-14,118974700,116420160.0,102.19
2024-01-21,102100500,116992315.0,87.27
2024-01-28,111234300,118853990.0,93.59
2024-02-04,164761600,121660715.0,135.43
2024-02-11,109333500,121539690.0,89.96
2024-02-18,113535600,121848090.0,93.18
2024-02-25,86244800,120913595.0,71.33
2024-03-03,93960000,120566745.0,77.93
2024-03-10,103549500,120058480.0,86.25
2024-03-17,134900800,117890165.0,114.43
2024-03-24,96736700,116765785.0,82.85
2024-03-31,73362300,113967930.0,64.37
2024-04-07,86645500,111206715.0,77.91
2024-04-14,80199800,109496200.0,73.24
2024-04-21,104201000,107947725.0,96.53
2024-04-28,121367900,108037415.0,112.34
2024-05-05,107082100,103128605.0,103.83
2024-05-12,76899100,101797440.0,75.54
2024-05-19,85671300,103049580.0,83.14
2024-05-26,84856600,102780880.0,82.56
2024-06-02,107655200,102214905.0,105.32
2024-06-09,77304600,100975110.0,76.56
2024-06-16,80462900,99436540.0,80.92
