Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-15,32770200,,
2020-06-16,42556700,,
2020-06-17,25687800,,
2020-06-18,23061600,,
2020-06-19,44441100,33703480.0,131.86
2020-06-22,32818900,33713220.0,97.35
2020-06-23,30917400,31385360.0,98.51
2020-06-24,36740600,33595920.0,109.36
2020-06-25,27803900,34544380.0,80.49
2020-06-26,54675800,36591320.0,149.42
2020-06-29,26701600,35367860.0,75.5
2020-06-30,34310300,36046440.0,95.18
2020-07-01,32061200,35110560.0,91.31
2020-07-02,29315800,35412940.0,82.78
2020-07-06,31897600,30857300.0,103.37
2020-07-07,33600700,32237120.0,104.23
2020-07-08,33600000,32095060.0,104.69
2020-07-09,33121700,32307160.0,102.52
2020-07-10,26177600,31679520.0,82.63
2020-07-13,38135600,32927120.0,115.82
2020-07-14,37591800,33725340.0,111.46
2020-07-15,32179400,33441220.0,96.23
2020-07-16,29940700,32805020.0,91.27
2020-07-17,31635300,33896560.0,93.33
2020-07-20,36884800,33646400.0,109.62
2020-07-21,37990400,33726120.0,112.64
2020-07-22,49605700,37211380.0,133.31
2020-07-23,67457000,44714640.0,150.86
2020-07-24,39827000,46352980.0,85.92
2020-07-27,30160900,45008200.0,67.01
2020-07-28,23251400,42060400.0,55.28
2020-07-29,19632600,36065780.0,54.44
2020-07-30,25079600,27590300.0,90.9
2020-07-31,51044000,29833700.0,171.1
2020-08-03,78983000,39598120.0,199.46
2020-08-04,49280100,44803860.0,109.99
2020-08-05,28806400,46638620.0,61.77
2020-08-06,32656800,48154060.0,67.82
2020-08-07,27820400,43509340.0,63.94
2020-08-10,36716500,35056040.0,104.74
2020-08-11,36446500,32489320.0,112.18
2020-08-12,28013100,32330660.0,86.65
2020-08-13,22588900,30317080.0,74.51
2020-08-14,17958900,28344780.0,63.36
2020-08-17,20184800,25038440.0,80.62
2020-08-18,21336200,22016380.0,96.91
2020-08-19,27627600,21939280.0,125.93
2020-08-20,26981500,22817800.0,118.25
2020-08-21,36249300,26475880.0,136.91
2020-08-24,25460100,27530940.0,92.48
2020-08-25,23043700,27872440.0,82.68
2020-08-26,39600800,30267080.0,130.84
2020-08-27,57602200,36391220.0,158.29
2020-08-28,26292900,34399940.0,76.43
2020-08-31,28774200,35062760.0,82.06
2020-09-01,25725500,35599120.0,72.26
2020-09-02,34080800,34495120.0,98.8
2020-09-03,58400300,34654740.0,168.52
2020-09-04,59664100,41328980.0,144.36
2020-09-08,52924300,46159000.0,114.66
2020-09-09,45679000,50149700.0,91.09
2020-09-10,35461500,50425840.0,70.32
2020-09-11,33620100,45469800.0,73.94
2020-09-14,30375800,39612140.0,76.68
2020-09-15,21823900,33392060.0,65.36
2020-09-16,26328100,29521880.0,89.18
2020-09-17,34011300,29231840.0,116.35
2020-09-18,55225300,33552880.0,164.59
2020-09-21,39839700,35445660.0,112.4
2020-09-22,33517100,37784300.0,88.71
2020-09-23,30803800,38679440.0,79.64
2020-09-24,31202500,38117680.0,81.86
2020-09-25,29437300,32960080.0,89.31
2020-09-28,32004900,31393120.0,101.95
2020-09-29,24221900,29534080.0,82.01
2020-09-30,33829100,30139140.0,112.24
2020-10-01,27158400,29330320.0,92.59
2020-10-02,33154800,30073820.0,110.24
2020-10-05,21331600,27939160.0,76.35
2020-10-06,28554300,28805640.0,99.13
2020-10-07,25681100,27176040.0,94.5
2020-10-08,19925800,25729520.0,77.44
2020-10-09,26458000,24390160.0,108.48
2020-10-12,40461400,28216120.0,143.4
2020-10-13,28950800,28295420.0,102.32
2020-10-14,23421700,27843540.0,84.12
2020-10-15,22733100,28405000.0,80.03
2020-10-16,26057900,28324980.0,92.0
2020-10-19,27625800,25757860.0,107.25
2020-10-20,22753500,24518400.0,92.8
2020-10-21,22724900,24379040.0,93.21
2020-10-22,22351500,24302720.0,91.97
2020-10-23,18879600,22867060.0,82.56
2020-10-26,37111600,24764220.0,149.86
2020-10-27,36700300,27553580.0,133.2
2020-10-28,51195600,33247720.0,153.98
2020-10-29,31432600,35063940.0,89.64
2020-10-30,36953700,38678760.0,95.54
2020-11-02,30842200,37424880.0,82.41
2020-11-03,27512000,35587220.0,77.31
2020-11-04,42311800,33810460.0,125.14
2020-11-05,36080100,34739960.0,103.86
2020-11-06,25231900,32395600.0,77.89
2020-11-09,44395000,35106160.0,126.46
2020-11-10,44045100,38412780.0,114.66
2020-11-11,29440800,35838580.0,82.15
2020-11-12,21593900,32941340.0,65.55
2020-11-13,18621100,31619180.0,58.89
2020-11-16,24953300,27730840.0,89.98
2020-11-17,24154100,23752640.0,101.69
2020-11-18,28372800,23539040.0,120.54
2020-11-19,24792700,24178800.0,102.54
2020-11-20,22843100,25023200.0,91.29
2020-11-23,25683500,25169240.0,102.04
2020-11-24,33979700,27134360.0,125.23
2020-11-25,21012900,25662380.0,81.88
2020-11-27,14512200,23606280.0,61.48
2020-11-30,33064800,25650620.0,128.9
2020-12-01,30904500,26694820.0,115.77
2020-12-02,23724500,24643780.0,96.27
2020-12-03,25120900,25465380.0,98.65
2020-12-04,24666000,27496140.0,89.71
2020-12-07,24620000,25807180.0,95.4
2020-12-08,23284100,24283100.0,95.89
2020-12-09,32440600,26026320.0,124.65
2020-12-10,26733300,26348800.0,101.46
2020-12-11,30979400,27611480.0,112.2
2020-12-14,28798400,28447160.0,101.23
2020-12-15,27000600,29190460.0,92.5
2020-12-16,35023300,29707000.0,117.9
2020-12-17,32515800,30863500.0,105.35
2020-12-18,63354900,37338600.0,169.68
2020-12-21,37181900,39015300.0,95.3
