Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-17,16251500,,
2020-05-24,32730900,,
2020-05-31,29237400,,
2020-06-07,22064600,,
2020-06-14,31469400,,
2020-06-21,26717500,,
2020-06-28,27985900,,
2020-07-05,25099900,,
2020-07-12,46646700,,
2020-07-19,93039400,,
2020-07-26,43476300,,
2020-08-02,32986500,,
2020-08-09,25425500,,
2020-08-16,23412000,,
2020-08-23,18139000,,
2020-08-30,44344000,,
2020-09-06,37742200,,
2020-09-13,23696200,,
2020-09-20,29188000,,
2020-09-27,20162800,32490785.0,62.06
2020-10-04,27174000,33036910.0,82.25
2020-10-11,26443600,32722545.0,80.81
2020-10-18,31953100,32858330.0,97.25
2020-10-25,46946200,34102410.0,137.66
2020-11-01,34734600,34265670.0,101.37
2020-11-08,22844800,34072035.0,67.05
2020-11-15,32252700,34285375.0,94.07
2020-11-22,17789000,33919830.0,52.44
2020-11-29,15371500,32356070.0,47.51
2020-12-06,18104300,28609315.0,63.28
2020-12-13,18926200,27381810.0,69.12
2020-12-20,20543800,26759675.0,76.77
2020-12-27,9337800,25955290.0,35.98
2021-01-03,14182900,25493835.0,55.63
2021-01-10,19584800,25566125.0,76.6
2021-01-17,24901900,24594020.0,101.25
2021-01-24,64306200,25922220.0,248.07
2021-01-31,31195700,26297195.0,118.63
2021-02-07,18028100,25739200.0,70.04
2021-02-14,15414200,25501770.0,60.44
2021-02-21,9991400,24642640.0,40.55
2021-02-28,18468600,24243890.0,76.18
2021-03-07,21550800,23723775.0,90.84
2021-03-14,19919500,22372440.0,89.04
2021-03-21,18021500,21536785.0,83.68
2021-03-28,21440900,21466590.0,99.88
2021-04-04,13189800,20513445.0,64.3
2021-04-11,16185200,20433255.0,79.21
2021-04-18,15752900,20452325.0,77.02
2021-04-25,54812500,22287735.0,245.93
2021-05-02,20884100,22385630.0,93.29
2021-05-09,18487300,22282805.0,82.97
2021-05-16,19249100,22778370.0,84.51
2021-05-23,15449700,22841710.0,67.64
2021-05-30,13741500,22549545.0,60.94
2021-06-06,11799500,21894425.0,53.89
2021-06-13,15727800,19465505.0,80.8
2021-06-20,19433400,18877390.0,102.95
2021-06-27,23691700,19160570.0,123.65
2021-07-04,12689100,19024315.0,66.7
2021-07-11,11543800,19101935.0,60.43
2021-07-18,18347800,19095895.0,96.08
2021-07-25,30871600,19561935.0,157.81
2021-08-01,11677100,19149815.0,60.98
2021-08-08,11191900,18808335.0,59.51
2021-08-15,8865600,18179570.0,48.77
2021-08-22,18198300,18429995.0,98.74
2021-08-29,11625200,18201995.0,63.87
2021-09-05,19354000,18382050.0,105.29
2021-09-12,18150900,16548970.0,109.68
2021-09-19,15252600,16267395.0,93.76
2021-09-26,14657300,16075895.0,91.18
2021-10-03,23860200,16306450.0,146.32
2021-10-10,25939600,16830945.0,154.12
2021-10-17,15298700,16908805.0,90.48
2021-10-24,37547300,18196195.0,206.35
2021-10-31,15699900,18194800.0,86.29
2021-11-07,19482900,18197275.0,107.06
2021-11-14,14775600,17751470.0,83.24
2021-11-21,12309000,17732465.0,69.42
2021-11-28,9824400,17646495.0,55.67
2021-12-05,20181500,17738180.0,113.77
2021-12-12,13546300,16871915.0,80.29
2021-12-19,15898700,17082995.0,93.07
2021-12-26,9634600,17005130.0,56.66
2022-01-02,8852500,17004475.0,52.06
2022-01-09,20704000,17129760.0,120.87
2022-01-16,23687500,17732875.0,133.58
2022-01-23,80755900,20802970.0,388.19
2022-01-30,96467100,24718780.0,390.26
2022-02-06,74656600,27688980.0,269.63
2022-02-13,38801400,28896185.0,134.28
2022-02-20,29343100,29170330.0,100.59
2022-02-27,23222100,29034455.0,79.98
2022-03-06,25084500,29523745.0,84.96
2022-03-13,28285000,29060630.0,97.33
2022-03-20,32494000,29900335.0,108.67
2022-03-27,20301300,29941255.0,67.8
2022-04-03,23006300,30352790.0,75.8
2022-04-10,24565300,30965605.0,79.33
2022-04-17,15176200,31233195.0,48.59
2022-04-24,250416100,42744925.0,585.84
2022-05-01,108523600,47493790.0,228.5
2022-05-08,69806600,50189185.0,139.09
2022-05-15,71379100,53276410.0,133.98
2022-05-22,56565200,55662045.0,101.62
2022-05-29,42466400,56750165.0,74.83
2022-06-05,36629600,57397270.0,63.82
2022-06-12,37470200,55232985.0,67.84
2022-06-19,54508400,53135050.0,102.58
2022-06-26,46132200,51708830.0,89.22
2022-07-03,34412400,51489380.0,66.83
2022-07-10,25257900,51285120.0,49.25
2022-07-17,50977100,52672870.0,96.78
2022-07-24,139657400,58401515.0,239.13
2022-07-31,48989700,59436750.0,82.42
2022-08-07,30969400,59360520.0,52.17
2022-08-14,41296700,60410290.0,68.36
2022-08-21,30076500,60763800.0,49.5
2022-08-28,28450000,60958035.0,46.67
2022-09-04,36923500,62045400.0,59.51
2022-09-11,29055300,50977360.0,57.0
2022-09-18,60646100,48583485.0,124.83
2022-09-25,64341800,48310245.0,133.18
2022-10-02,64419700,47962275.0,134.31
2022-10-09,52403900,47754210.0,109.74
2022-10-16,71024500,49182115.0,144.41
2022-10-23,135616000,54131435.0,250.53
2022-10-30,68714300,55693640.0,123.38
2022-11-06,42971200,55116780.0,77.96
2022-11-13,42117900,54916065.0,76.7
2022-11-20,58882000,56139545.0,104.89
2022-11-27,22656600,56009480.0,40.45
2022-12-04,53915900,56156420.0,96.01
2022-12-11,45009300,51424015.0,87.53
2022-12-18,60252900,51987175.0,115.9
2022-12-25,31565300,52016970.0,60.68
2023-01-01,28897900,51397030.0,56.22
2023-01-08,33397300,51563070.0,64.77
2023-01-15,48561600,52568650.0,92.38
2023-01-22,63499600,53897455.0,117.82
2023-01-29,50170600,54953220.0,91.3
2023-02-05,36052500,53723540.0,67.11
2023-02-12,31729700,52092935.0,60.91
2023-02-19,26235600,50183730.0,52.28
2023-02-26,30325900,49079830.0,61.79
2023-03-05,25594300,46808320.0,54.68
2023-03-12,26896000,41372320.0,65.01
2023-03-19,36286900,39750950.0,91.29
2023-03-26,44452700,39825025.0,111.62
2023-04-02,34144200,39426340.0,86.6
2023-04-09,16577800,37311130.0,44.43
2023-04-16,23425000,37349550.0,62.72
2023-04-23,62504600,37778985.0,165.45
2023-04-30,25477100,36802375.0,69.23
2023-05-07,22592500,34919355.0,64.7
2023-05-14,29436800,34812930.0,84.56
