Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-30,58190000,,
2020-07-31,95675300,,
2020-08-31,69194900,,
2020-09-30,104372500,,
2020-10-31,88547700,83196080.0,106.43
2020-11-30,73555100,86269100.0,85.26
2020-12-31,79881500,83110340.0,96.11
2021-01-31,94589800,88189320.0,107.26
2021-02-28,96036200,86522060.0,111.0
2021-03-31,161735400,101159600.0,159.88
2021-04-30,110116000,108471780.0,101.52
2021-05-31,100657400,112626960.0,89.37
2021-06-30,107461600,115201320.0,93.28
2021-07-31,95669300,115127940.0,83.1
2021-08-31,75271300,97835120.0,76.94
2021-09-30,83658000,92543520.0,90.4
2021-10-31,83983100,89208660.0,94.14
2021-11-30,81356600,83987660.0,96.87
2021-12-31,101544500,85162700.0,119.24
2022-01-31,117678300,93644100.0,125.67
2022-02-28,114609900,99834480.0,114.8
2022-03-31,127094200,108456700.0,117.18
2022-04-30,93846500,110954680.0,84.58
2022-05-31,135299300,117705640.0,114.95
2022-06-30,108827700,115935520.0,93.87
2022-07-31,82172000,109447940.0,75.08
2022-08-31,83528400,100734780.0,82.92
2022-09-30,113613100,104688100.0,108.53
2022-10-31,115063100,100640860.0,114.33
2022-11-30,97984000,98472120.0,99.5
2022-12-31,96723500,101382420.0,95.4
2023-01-31,91592700,102995280.0,88.93
2023-02-28,97118900,99696440.0,97.41
2023-03-31,107272300,98138280.0,109.31
2023-04-30,69875300,92516540.0,75.53
2023-05-31,105793500,94330540.0,112.15
2023-06-30,100942300,96200460.0,104.93
2023-07-31,110380600,98852800.0,111.66
2023-08-31,92393400,95877020.0,96.37
2023-09-30,95818800,101065720.0,94.81
2023-10-31,144910300,108889080.0,133.08
2023-11-30,104614800,109623580.0,95.43
2023-12-31,107250000,108997460.0,98.4
2024-01-31,109921300,112503040.0,97.71
2024-02-29,124354700,118210220.0,105.2
2024-03-31,128181900,114864540.0,111.59
2024-04-30,119480000,117837580.0,101.39
2024-05-31,93843200,115156220.0,81.49
2024-06-30,108445800,114861120.0,94.41
2024-07-31,121800200,114350220.0,106.52
2024-08-31,110080300,110729900.0,99.41
2024-09-30,116114800,110056860.0,105.5
2024-10-31,120685000,115425220.0,104.56
2024-11-30,112316800,116199420.0,96.66
2024-12-31,142271300,120293640.0,118.27
2025-01-31,131455400,124568660.0,105.53
2025-02-28,147465900,130838880.0,112.71
2025-03-31,156038500,137909580.0,113.15
2025-04-30,188245800,153095380.0,122.96
2025-05-31,177474400,160136000.0,110.83
2025-06-30,223944700,178633860.0,125.37
2025-07-31,67262300,162593140.0,41.37
