Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-05-14,22362507,,
2020-05-15,25460002,,
2020-05-18,22635177,,
2020-05-19,19476234,,
2020-05-20,17504200,21487624.0,81.46
2020-05-21,17652181,20545558.8,85.92
2020-05-22,15781226,18609803.6,84.8
2020-05-26,23260094,18734787.0,124.15
2020-05-27,25904158,20020371.8,129.39
2020-05-28,22521767,21023885.2,107.12
2020-05-29,48333067,27160062.4,177.96
2020-06-01,76884979,39380813.0,195.23
2020-06-02,42690900,43266974.2,98.67
2020-06-03,38751996,45836541.8,84.54
2020-06-04,27013388,46734866.0,57.8
2020-06-05,36705655,44409383.6,82.65
2020-06-08,30194149,35071217.6,86.09
2020-06-09,21675088,30868055.2,70.22
2020-06-10,29557217,29029099.4,101.82
2020-06-11,63166642,36259750.2,174.21
2020-06-12,37902472,36499113.6,103.84
2020-06-15,36247482,37709780.2,96.12
2020-06-16,55616945,44498151.6,124.99
2020-06-17,27509822,44088672.6,62.4
2020-06-18,32278855,37911115.2,85.14
2020-06-19,43986266,39127874.0,112.42
2020-06-22,23332503,36544878.2,63.85
2020-06-23,37690408,32959570.8,114.35
2020-06-24,30817695,33621145.4,91.66
2020-06-25,27418651,32649104.6,83.98
2020-06-26,42153992,32282649.8,130.58
2020-06-29,23956261,32407401.4,73.92
2020-06-30,25451676,29959655.0,84.95
2020-07-01,73503009,38496717.8,190.93
2020-07-02,45270881,42067163.8,107.62
2020-07-06,27150935,39066552.4,69.5
2020-07-07,25148018,39304903.8,63.98
2020-07-08,24256545,39065877.6,62.09
2020-07-09,20363702,28438016.2,71.61
2020-07-10,24459019,24275643.8,100.76
2020-07-13,56569129,30159282.6,187.57
2020-07-14,32854129,31700504.8,103.64
2020-07-15,26294454,32108086.6,81.89
2020-07-16,18421812,31719708.6,58.08
2020-07-17,23347365,31497377.8,74.12
2020-07-20,36815693,27546690.6,133.65
2020-07-21,23588520,25693568.8,91.81
