Date,Volume,Volume_MA40,Volume_Ratio_40d
2021-04-26,17800,,
2021-04-27,72100,,
2021-04-28,22400,,
2021-04-29,132600,,
2021-04-30,33700,,
2021-05-03,15700,,
2021-05-04,6800,,
2021-05-05,3400,,
2021-05-06,10800,,
2021-05-07,4700,,
2021-05-10,11900,,
2021-05-11,295700,,
2021-05-12,32300,,
2021-05-13,0,,
2021-05-14,45900,,
2021-05-17,6400,,
2021-05-18,800,,
2021-05-19,275700,,
2021-05-20,4100,,
2021-05-21,217600,,
2021-05-24,1000,,
2021-05-25,0,,
2021-05-26,3500,,
2021-05-27,14200,,
2021-05-28,17800,,
2021-06-01,16300,,
2021-06-02,6700,,
2021-06-03,14100,,
2021-06-04,44300,,
2021-06-07,5400,,
2021-06-08,77300,,
2021-06-09,17400,,
2021-06-10,112300,,
2021-06-11,200,,
2021-06-14,23500,,
2021-06-15,900,,
2021-06-16,10300,,
2021-06-17,10500,,
2021-06-18,25200,,
2021-06-21,8100,40485.0,20.01
2021-06-22,2600,40105.0,6.48
2021-06-23,11800,38597.5,30.57
2021-06-24,7700,38230.0,20.14
2021-06-25,1000,34940.0,2.86
2021-06-28,61900,35645.0,173.66
2021-06-29,17900,35700.0,50.14
2021-06-30,146600,39195.0,374.03
2021-07-01,85200,41240.0,206.6
2021-07-02,40300,41977.5,96.0
2021-07-06,5800,42005.0,13.81
2021-07-07,8624100,257310.0,3351.64
2021-07-08,705600,267557.5,263.72
2021-07-09,853600,288090.0,296.3
2021-07-12,656800,304510.0,215.69
2021-07-13,192000,308162.5,62.3
2021-07-14,141600,311542.5,45.45
2021-07-15,191000,316297.5,60.39
2021-07-16,55700,310797.5,17.92
2021-07-19,211300,315977.5,66.87
2021-07-20,59400,312022.5,19.04
2021-07-21,77400,313932.5,24.65
2021-07-22,34900,314805.0,11.09
2021-07-23,24800,315337.5,7.86
2021-07-26,35900,315880.0,11.37
2021-07-27,23600,316025.0,7.47
2021-07-28,1389600,350357.5,396.62
2021-07-29,307300,357872.5,85.87
2021-07-30,30100,358272.5,8.4
2021-08-02,24000,357765.0,6.71
2021-08-03,28700,358347.5,8.01
