Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,29692500,,
2020-06-28,28400900,,
2020-07-05,14639600,,
2020-07-12,28996800,,
2020-07-19,20951200,,
2020-07-26,28028200,,
2020-08-02,24961600,,
2020-08-09,16127100,,
2020-08-16,20543600,,
2020-08-23,15098100,,
2020-08-30,16119700,,
2020-09-06,18321200,,
2020-09-13,15129600,,
2020-09-20,25360600,,
2020-09-27,22924800,,
2020-10-04,20212100,,
2020-10-11,23272700,,
2020-10-18,16184900,,
2020-10-25,29907500,,
2020-11-01,28756100,22181440.0,129.64
2020-11-08,25407000,21967165.0,115.66
2020-11-15,29805700,22037405.0,135.25
2020-11-22,21661300,22388490.0,96.75
2020-11-29,14427400,21660020.0,66.61
2020-12-06,26737400,21949330.0,121.81
2020-12-13,31493800,22122610.0,142.36
2020-12-20,49269900,23338025.0,211.11
2020-12-27,17612700,23412305.0,75.23
2021-01-03,12724900,23021370.0,55.27
2021-01-10,25908600,23561895.0,109.96
2021-01-17,25275400,24019680.0,105.23
2021-01-24,19741200,24090680.0,81.95
2021-01-31,21576900,24413045.0,88.38
2021-02-07,25715400,24430785.0,105.26
2021-02-14,21477000,24358395.0,88.17
2021-02-21,20381100,24366845.0,83.64
2021-02-28,21508500,24278635.0,88.59
2021-03-07,18359900,24387385.0,75.28
2021-03-14,22308100,24007415.0,92.92
2021-03-21,37817000,24460460.0,154.6
2021-03-28,23143200,24347270.0,95.05
2021-04-04,17656500,23739810.0,74.38
2021-04-11,20954100,23704450.0,88.4
2021-04-18,23346500,24150405.0,96.67
2021-04-25,29553200,24291195.0,121.66
2021-05-02,20004200,23716715.0,84.35
2021-05-09,22044200,22355430.0,98.61
2021-05-16,18304100,22390000.0,81.75
2021-05-23,16902200,22598865.0,74.79
2021-05-30,16293600,22118115.0,73.67
2021-06-06,14929100,21600800.0,69.11
2021-06-13,20977500,21662615.0,96.84
2021-06-20,43485000,22758020.0,191.08
2021-06-27,36584600,23301480.0,157.01
2021-07-04,17395100,23097385.0,75.31
2021-07-11,15610900,22858875.0,68.29
2021-07-18,19028000,22734850.0,83.7
2021-07-25,21747100,22904210.0,94.95
2021-08-01,16302000,22603905.0,72.12
2021-08-08,13432600,21384685.0,62.81
2021-08-15,12206900,20837870.0,58.58
2021-08-22,14630200,20686555.0,70.72
2021-08-29,12342000,20255950.0,60.93
2021-09-05,16627400,19919995.0,83.47
2021-09-12,21219400,19503305.0,108.8
2021-09-19,24963600,19751275.0,126.39
2021-09-26,21794900,19738810.0,110.42
2021-10-03,25715500,20109380.0,127.88
2021-10-10,19970700,20262805.0,98.56
2021-10-17,19453800,20420815.0,95.26
2021-10-24,18741200,20611420.0,90.93
2021-10-31,20637900,20594440.0,100.21
2021-11-07,14573400,19148860.0,76.11
2021-11-14,18815700,18260415.0,103.04
2021-11-21,23131000,18547210.0,124.71
2021-11-28,21897800,18861555.0,116.1
2021-12-05,33865100,19603410.0,172.75
2021-12-12,27516300,19891870.0,138.33
2021-12-19,41983900,21175965.0,198.26
2021-12-26,16672200,21337945.0,78.13
2022-01-02,14090500,21432125.0,65.74
2022-01-09,28387500,22119990.0,128.33
2022-01-16,30625700,23034175.0,132.96
2022-01-23,24647400,23435175.0,105.17
2022-01-30,34187500,24083580.0,141.95
2022-02-06,33791300,24524965.0,137.78
2022-02-13,31057400,24988090.0,124.29
2022-02-20,38742300,25639430.0,151.1
2022-02-27,30201900,26150990.0,115.49
2022-03-06,32447200,26800660.0,121.07
2022-03-13,49019900,28314595.0,173.13
2022-03-20,46950500,29630225.0,158.45
2022-03-27,23242500,30063680.0,77.31
2022-04-03,27283100,30487050.0,89.49
2022-04-10,29652800,30813140.0,96.23
2022-04-17,23598700,30898185.0,76.38
2022-04-24,29800900,30694975.0,97.09
2022-05-01,22765300,30457425.0,74.74
2022-05-08,22122200,29464340.0,75.08
2022-05-15,33230500,30292255.0,109.7
2022-05-22,29817200,31078590.0,95.94
2022-05-29,30853900,31201910.0,98.88
2022-06-05,25963000,30968775.0,83.84
2022-06-12,26262400,31049525.0,84.58
2022-06-19,31915300,30935915.0,103.17
2022-06-26,23518300,30422265.0,77.31
2022-07-03,21164300,29927610.0,70.72
2022-07-10,20578100,29019400.0,70.91
