Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-06-30,65673400,,
2020-07-31,109997400,,
2020-08-31,71471300,,
2020-09-30,91456600,,
2020-10-31,105030100,,
2020-11-30,96840500,,
2020-12-31,132299600,,
2021-01-31,92502100,,
2021-02-28,89082000,,
2021-03-31,114637600,,
2021-04-30,98505100,,
2021-05-31,73544100,,
2021-06-30,126994000,,
2021-07-31,79065300,,
2021-08-31,58859900,,
2021-09-30,99487600,,
2021-10-31,83388600,,
2021-11-30,93041900,,
2021-12-31,119504000,,
2022-01-31,125873900,,
2022-02-28,136148700,,
2022-03-31,162874600,,
2022-04-30,111504700,,
2022-05-31,123765000,,
2022-06-30,117798200,,
2022-07-31,100536300,,
2022-08-31,75677300,,
2022-09-30,100500800,,
2022-10-31,99196300,,
2022-11-30,78522100,,
2022-12-31,130404600,,
2023-01-31,94519600,,
2023-02-28,71764000,,
2023-03-31,125615800,,
2023-04-30,71792800,,
2023-05-31,96442700,,
2023-06-30,94299900,,
2023-07-31,89836100,,
2023-08-31,61670900,,
2023-09-30,86471400,98914920.0,87.42
2023-10-31,93297400,99605520.0,93.67
2023-11-30,89387900,99090282.5,90.21
2023-12-31,106367400,99962685.0,106.41
2024-01-31,102749500,100245007.5,102.5
2024-02-29,101975400,100168640.0,101.8
2024-03-31,126539000,100911102.5,125.4
2024-04-30,146316700,101261530.0,144.49
2024-05-31,104039100,101549955.0,102.45
2024-06-30,100629700,101838647.5,98.81
2024-07-31,102580500,101537220.0,101.03
2024-08-31,104031900,101675390.0,102.32
2024-09-30,131376200,103121192.5,127.4
2024-10-31,111952500,102745155.0,108.96
2024-11-30,107420100,103454025.0,103.83
2024-12-31,102280200,104539532.5,97.84
2025-01-31,98265100,104508970.0,94.03
2025-02-28,137146700,105852922.5,129.56
2025-03-31,130276400,106783785.0,122.0
2025-04-30,162299700,107853677.5,150.48
2025-05-31,112895500,107529217.5,104.99
2025-06-30,103090300,106702757.5,96.61
2025-07-31,34778500,103500355.0,33.6
