Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-21,59036000,,
2020-06-28,40204600,,
2020-07-05,30556800,,
2020-07-12,32323500,,
2020-07-19,32495900,38923360.0,83.49
2020-07-26,35831000,34282360.0,104.52
2020-08-02,84180700,43077580.0,195.42
2020-08-09,54620300,47890280.0,114.05
2020-08-16,63154200,54056420.0,116.83
2020-08-23,40164800,55590200.0,72.25
2020-08-30,38416900,56107380.0,68.47
2020-09-06,52579300,49787100.0,105.61
2020-09-13,32860100,45435060.0,72.32
2020-09-20,43372400,41478700.0,104.57
2020-09-27,40229100,41491560.0,96.96
2020-10-04,31680100,40144200.0,78.92
2020-10-11,36714100,36971160.0,99.3
2020-10-18,42678600,38934860.0,109.62
2020-10-25,22357800,34731940.0,64.37
2020-11-01,34990700,33684260.0,103.88
2020-11-08,59491400,39246520.0,151.58
2020-11-15,47388800,41381460.0,114.52
2020-11-22,40457200,40937180.0,98.83
2020-11-29,32727100,43011040.0,76.09
2020-12-06,47534100,45519720.0,104.43
2020-12-13,54490100,44519460.0,122.4
2020-12-20,45813100,44204320.0,103.64
2020-12-27,20083000,40129480.0,50.05
2021-01-03,17027700,36989600.0,46.03
2021-01-10,40243500,35531480.0,113.26
2021-01-17,33723200,31378100.0,107.47
2021-01-24,27510300,27717540.0,99.25
2021-01-31,39368500,31574640.0,124.68
2021-02-07,100185500,48206200.0,207.83
2021-02-14,56319600,51421420.0,109.53
2021-02-21,40566000,52789980.0,76.84
2021-02-28,64809100,60249740.0,107.57
2021-03-07,62100400,64796120.0,95.84
2021-03-14,62164500,57191920.0,108.69
2021-03-21,56202300,57168460.0,98.31
2021-03-28,48957300,58846720.0,83.19
2021-04-04,39278300,53740560.0,73.09
2021-04-11,41959400,49712360.0,84.4
2021-04-18,47865600,46852580.0,102.16
2021-04-25,39452200,43502560.0,90.69
2021-05-02,63994700,46510040.0,137.59
2021-05-09,41448300,46944040.0,88.29
2021-05-16,65038900,51559940.0,126.14
2021-05-23,40563800,50099580.0,80.97
2021-05-30,36585500,49526240.0,73.87
2021-06-06,27146300,42156560.0,64.39
2021-06-13,33990600,40665020.0,83.59
2021-06-20,40412800,35739800.0,113.08
2021-06-27,34852500,34597540.0,100.74
2021-07-04,31473800,33575200.0,93.74
2021-07-11,26988000,33543540.0,80.46
2021-07-18,36331500,34011720.0,106.82
2021-07-25,31726600,32274480.0,98.3
2021-08-01,50984800,35500940.0,143.62
2021-08-08,35506100,36307400.0,97.79
2021-08-15,26921400,36294080.0,74.18
2021-08-22,33016100,35631000.0,92.66
2021-08-29,32824900,35850660.0,91.56
2021-09-05,31048000,31863300.0,97.44
2021-09-12,24796600,29721400.0,83.43
2021-09-19,43314400,33000000.0,131.26
