Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-14,1241000,,
2020-05-15,1676600,,
2020-05-18,1428200,,
2020-05-19,1238700,,
2020-05-20,1720900,,
2020-05-21,1607300,,
2020-05-22,1122500,,
2020-05-26,1428400,,
2020-05-27,1401300,,
2020-05-28,1333800,,
2020-05-29,1774900,,
2020-06-01,898500,,
2020-06-02,2131300,,
2020-06-03,2416000,,
2020-06-04,1525300,,
2020-06-05,1709900,,
2020-06-08,1381600,,
2020-06-09,1126400,,
2020-06-10,1131000,,
2020-06-11,1753800,1502370.0,116.74
2020-06-12,1094100,1495025.0,73.18
2020-06-15,1245100,1473450.0,84.5
2020-06-16,1726600,1488370.0,116.01
2020-06-17,1074900,1480180.0,72.62
2020-06-18,1017400,1445005.0,70.41
2020-06-19,1963600,1462820.0,134.23
2020-06-22,965800,1454985.0,66.38
2020-06-23,940700,1430600.0,65.76
2020-06-24,1089900,1415030.0,77.02
2020-06-25,799100,1388295.0,57.56
2020-06-26,1181100,1358605.0,86.93
2020-06-29,1215300,1374445.0,88.42
2020-06-30,1213800,1328570.0,91.36
2020-07-01,790800,1247310.0,63.4
2020-07-02,897500,1215920.0,73.81
2020-07-06,1159900,1188420.0,97.6
2020-07-07,723600,1155520.0,62.62
2020-07-08,883800,1143390.0,77.3
2020-07-09,1213600,1147520.0,105.76
2020-07-10,603500,1090005.0,55.37
2020-07-13,1459800,1108290.0,131.72
2020-07-14,932000,1092635.0,85.3
2020-07-15,716100,1042110.0,68.72
2020-07-16,1096800,1043205.0,105.14
2020-07-17,1015900,1043130.0,97.39
2020-07-20,932600,991580.0,94.05
2020-07-21,1100800,998330.0,110.26
2020-07-22,1126700,1007630.0,111.82
2020-07-23,2047700,1055520.0,194.0
2020-07-24,2527900,1141960.0,221.37
2020-07-27,1494900,1157650.0,129.13
2020-07-28,992900,1146530.0,86.6
2020-07-29,2677800,1219730.0,219.54
2020-07-30,5256800,1443030.0,364.29
2020-07-31,2096300,1502970.0,139.48
2020-08-03,2254000,1557675.0,144.7
2020-08-04,1303600,1586675.0,82.16
2020-08-05,1252400,1605105.0,78.03
2020-08-06,1235100,1606180.0,76.9
2020-08-07,1238300,1637920.0,75.6
2020-08-10,1176600,1623760.0,72.46
2020-08-11,1190300,1636675.0,72.73
2020-08-12,953600,1648550.0,57.84
2020-08-13,999400,1643680.0,60.8
2020-08-14,716900,1628730.0,44.02
2020-08-17,1781600,1671180.0,106.61
2020-08-18,996400,1665960.0,59.81
2020-08-19,791700,1649210.0,48.0
2020-08-20,833900,1588520.0,52.5
2020-08-21,948100,1509530.0,62.81
2020-08-24,736100,1471590.0,50.02
2020-08-25,1007300,1472310.0,68.42
2020-08-26,709700,1373905.0,51.66
2020-08-27,1389700,1180550.0,117.72
2020-08-28,689400,1110205.0,62.1
2020-08-31,875400,1041275.0,84.07
2020-09-01,891100,1020650.0,87.31
2020-09-02,1251800,1020620.0,122.65
2020-09-03,2367900,1077260.0,219.81
2020-09-04,2304300,1130560.0,203.82
2020-09-08,1709900,1157225.0,147.76
2020-09-09,3374400,1266430.0,266.45
2020-09-10,1842600,1310880.0,140.56
2020-09-11,1114200,1316620.0,84.63
2020-09-14,1098100,1335680.0,82.21
2020-09-15,1751400,1334170.0,131.27
2020-09-16,1125100,1340605.0,83.92
2020-09-17,1291300,1365585.0,94.56
2020-09-18,1609300,1404355.0,114.59
2020-09-21,1544800,1434190.0,107.71
2020-09-22,1149200,1454845.0,78.99
2020-09-23,964900,1452725.0,66.42
2020-09-24,1044900,1469485.0,71.11
2020-09-25,993800,1449690.0,68.55
2020-09-28,1156000,1473020.0,78.48
2020-09-29,1109200,1484710.0,74.71
2020-09-30,1349600,1507635.0,89.52
2020-10-01,1627400,1526415.0,106.62
2020-10-02,868000,1451420.0,59.8
2020-10-05,1012500,1386830.0,73.01
2020-10-06,1484100,1375540.0,107.89
2020-10-07,1168600,1265250.0,92.36
2020-10-08,1149900,1230615.0,93.44
2020-10-09,1296600,1239735.0,104.59
2020-10-12,966100,1233135.0,78.35
2020-10-13,1095100,1200320.0,91.23
2020-10-14,965600,1192345.0,80.98
2020-10-15,944500,1175005.0,80.38
2020-10-16,627600,1125920.0,55.74
2020-10-19,1019300,1099645.0,92.69
2020-10-20,742700,1079320.0,68.81
2020-10-21,799600,1071055.0,74.66
2020-10-22,599800,1048800.0,57.19
2020-10-23,729900,1035605.0,70.48
2020-10-26,1115600,1033585.0,107.94
2020-10-27,527200,1004485.0,52.48
2020-10-28,1041900,989100.0,105.34
2020-10-29,846800,950070.0,89.13
2020-10-30,882600,950800.0,92.83
2020-11-02,814200,940885.0,86.54
2020-11-03,1323600,932860.0,141.89
2020-11-04,1793500,964105.0,186.03
2020-11-05,2966200,1054920.0,281.18
2020-11-06,1413300,1060755.0,133.24
2020-11-09,1809300,1102915.0,164.05
2020-11-10,1703300,1133325.0,150.29
2020-11-11,1188700,1144480.0,103.86
2020-11-12,746400,1134575.0,65.79
2020-11-13,657200,1136055.0,57.85
2020-11-16,786700,1124425.0,69.96
2020-11-17,769800,1125780.0,68.38
2020-11-18,1020600,1136830.0,89.78
2020-11-19,956700,1154675.0,82.85
2020-11-20,957600,1166060.0,82.12
2020-11-23,1254600,1173010.0,106.96
2020-11-24,1155300,1204415.0,95.92
2020-11-25,1415700,1223105.0,115.75
2020-11-27,756300,1218580.0,62.06
2020-11-30,2227100,1285805.0,173.21
2020-12-01,1514700,1320830.0,114.68
2020-12-02,689900,1289145.0,53.52
2020-12-03,707800,1234860.0,57.32
2020-12-04,1322400,1152670.0,114.72
2020-12-07,829000,1123455.0,73.79
2020-12-08,1093700,1087675.0,100.55
2020-12-09,1551600,1080090.0,143.65
2020-12-10,1259700,1083640.0,116.25
2020-12-11,2165400,1154590.0,187.55
2020-12-14,1278100,1185635.0,107.8
2020-12-15,1240100,1208305.0,102.63
2020-12-16,937500,1216690.0,77.05
2020-12-17,1593700,1245345.0,127.97
2020-12-18,2216000,1308310.0,169.38
2020-12-21,1607500,1340805.0,119.89
2020-12-22,1093400,1332745.0,82.04
2020-12-23,1572000,1353580.0,116.14
2020-12-24,462300,1305910.0,35.4
2020-12-28,958100,1316000.0,72.8
2020-12-29,936100,1251450.0,74.8
2020-12-30,670100,1209220.0,55.42
2020-12-31,834200,1216435.0,68.58
2021-01-04,1249700,1243530.0,100.5
2021-01-05,1150100,1234915.0,93.13
2021-01-06,1273200,1257125.0,101.28
2021-01-07,1064500,1255665.0,84.78
2021-01-08,791600,1217665.0,65.01
2021-01-11,1029300,1206145.0,85.34
2021-01-12,817400,1138745.0,71.78
2021-01-13,887700,1119225.0,79.31
2021-01-14,844400,1099440.0,76.8
2021-01-15,1457600,1125445.0,129.51
2021-01-19,884000,1089960.0,81.1
2021-01-20,738400,1016080.0,72.67
2021-01-21,1019000,986655.0,103.28
2021-01-22,787500,971360.0,81.07
2021-01-25,841200,934820.0,89.99
2021-01-26,1021500,962780.0,106.1
2021-01-27,1584000,994075.0,159.34
2021-01-28,1563200,1025430.0,152.44
2021-01-29,2833100,1133580.0,249.93
2021-02-01,2154100,1199575.0,179.57
2021-02-02,2093600,1241770.0,168.6
2021-02-03,3003200,1334425.0,225.06
2021-02-04,5452100,1543370.0,353.26
2021-02-05,2090900,1594690.0,131.12
2021-02-08,1654900,1637855.0,101.04
2021-02-09,1422300,1657505.0,85.81
2021-02-10,2084200,1720845.0,121.11
2021-02-11,1669300,1759925.0,94.85
2021-02-12,1422900,1788850.0,79.54
2021-02-16,1403300,1786135.0,78.57
2021-02-17,1110800,1797475.0,61.8
2021-02-18,1102200,1815665.0,60.71
2021-02-19,1783100,1853870.0,96.18
2021-02-22,1387200,1883855.0,73.64
2021-02-23,1853700,1934480.0,95.82
2021-02-24,1121200,1939465.0,57.81
2021-02-25,1742100,1947370.0,89.46
2021-02-26,1419500,1940185.0,73.16
2021-03-01,1413900,1869225.0,75.64
2021-03-02,1387400,1830890.0,75.78
2021-03-03,1114200,1781920.0,62.53
2021-03-04,1825700,1723045.0,105.96
2021-03-05,1612100,1531045.0,105.29
2021-03-08,1278600,1490430.0,85.79
2021-03-09,1597400,1487555.0,107.38
2021-03-10,1394900,1486185.0,93.86
2021-03-11,1633500,1463650.0,111.6
2021-03-12,802700,1420320.0,56.52
2021-03-15,1038400,1401095.0,74.11
2021-03-16,1354200,1398640.0,96.82
2021-03-17,1100900,1398145.0,78.74
2021-03-18,1040400,1395055.0,74.58
2021-03-19,1449900,1378395.0,105.19
2021-03-22,897500,1353910.0,66.29
2021-03-23,1023500,1312400.0,77.99
2021-03-24,889500,1300815.0,68.38
2021-03-25,796600,1253540.0,63.55
2021-03-26,1008800,1233005.0,81.82
2021-03-29,738300,1199225.0,61.56
2021-03-30,761400,1167925.0,65.19
2021-03-31,1109200,1167675.0,94.99
2021-04-01,1991100,1175945.0,169.32
2021-04-05,1361900,1163435.0,117.06
2021-04-06,1155900,1157300.0,99.88
2021-04-07,854300,1120145.0,76.27
2021-04-08,1101200,1105460.0,99.61
2021-04-09,934600,1070515.0,87.3
2021-04-12,571500,1058955.0,53.97
2021-04-13,821000,1048085.0,78.33
2021-04-14,802500,1020500.0,78.64
2021-04-15,724700,1001690.0,72.35
2021-04-16,1255200,1012430.0,123.98
2021-04-19,673300,973600.0,69.16
2021-04-20,839000,970675.0,86.43
2021-04-21,1166100,977805.0,119.26
2021-04-22,896100,978135.0,91.61
2021-04-23,872800,981945.0,88.88
2021-04-26,760000,969505.0,78.39
2021-04-27,617300,963455.0,64.07
2021-04-28,697000,960235.0,72.59
2021-04-29,866500,948100.0,91.39
2021-04-30,1355800,916335.0,147.96
2021-05-03,1166800,906580.0,128.7
2021-05-04,1374500,917510.0,149.81
2021-05-05,1527000,951145.0,160.54
2021-05-06,1923400,992255.0,193.84
2021-05-07,1620200,1026535.0,157.83
2021-05-10,4378800,1216900.0,359.83
2021-05-11,2331800,1292440.0,180.42
2021-05-12,1547800,1329705.0,116.4
2021-05-13,1286500,1357795.0,94.75
2021-05-14,1298800,1359975.0,95.5
2021-05-17,1253700,1388995.0,90.26
2021-05-18,737600,1383925.0,53.3
2021-05-19,1001900,1375715.0,72.83
2021-05-20,1030400,1382430.0,74.54
2021-05-21,1050400,1391310.0,75.5
2021-05-24,826300,1394625.0,59.25
2021-05-25,1038800,1415700.0,73.38
2021-05-26,1133800,1437540.0,78.87
2021-05-27,2070900,1497760.0,138.27
2021-05-28,965200,1478230.0,65.29
2021-06-01,825500,1461165.0,56.5
2021-06-02,757600,1430320.0,52.97
2021-06-03,1159400,1411940.0,82.11
2021-06-04,1061100,1368825.0,77.52
2021-06-07,798800,1327755.0,60.16
