Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-15,900,,
2020-06-16,2000,,
2020-06-17,0,,
2020-06-18,800,,
2020-06-19,2400,,
2020-06-22,2900,,
2020-06-23,5600,,
2020-06-24,2500,,
2020-06-25,0,,
2020-06-26,1800,,
2020-06-29,3500,,
2020-06-30,1200,,
2020-07-01,300,,
2020-07-02,1100,,
2020-07-06,0,,
2020-07-07,100,,
2020-07-08,1700,,
2020-07-09,0,,
2020-07-10,0,,
2020-07-13,1200,1400.0,85.71
2020-07-14,300,1370.0,21.9
2020-07-15,100,1275.0,7.84
2020-07-16,100,1280.0,7.81
2020-07-17,800,1280.0,62.5
2020-07-20,0,1160.0,0.0
2020-07-21,0,1015.0,0.0
2020-07-22,0,735.0,0.0
2020-07-23,300,625.0,48.0
2020-07-24,0,625.0,0.0
2020-07-27,0,535.0,0.0
2020-07-28,0,360.0,0.0
2020-07-29,0,300.0,0.0
2020-07-30,0,285.0,0.0
2020-07-31,0,230.0,0.0
2020-08-03,0,230.0,0.0
2020-08-04,0,225.0,0.0
2020-08-05,0,140.0,0.0
2020-08-06,400,160.0,250.0
2020-08-07,900,205.0,439.02
2020-08-10,300,160.0,187.5
2020-08-11,0,145.0,0.0
2020-08-12,6600,470.0,1404.26
2020-08-13,600,495.0,121.21
2020-08-14,0,455.0,0.0
2020-08-17,4400,675.0,651.85
2020-08-18,1400,745.0,187.92
2020-08-19,300,760.0,39.47
2020-08-20,0,745.0,0.0
2020-08-21,3000,895.0,335.2
2020-08-24,1700,980.0,173.47
2020-08-25,1100,1035.0,106.28
2020-08-26,100,1040.0,9.62
2020-08-27,400,1060.0,37.74
2020-08-28,1600,1140.0,140.35
2020-08-31,2600,1270.0,204.72
2020-09-01,0,1270.0,0.0
2020-09-02,0,1270.0,0.0
2020-09-03,300,1265.0,23.72
2020-09-04,400,1240.0,32.26
2020-09-08,0,1225.0,0.0
2020-09-09,0,1225.0,0.0
2020-09-10,0,895.0,0.0
2020-09-11,100,870.0,11.49
2020-09-14,13900,1565.0,888.18
2020-09-15,0,1345.0,0.0
2020-09-16,1900,1370.0,138.69
2020-09-17,700,1390.0,50.36
2020-09-18,300,1405.0,21.35
2020-09-21,9700,1740.0,557.47
2020-09-22,3000,1805.0,166.2
2020-09-23,300,1765.0,17.0
2020-09-24,0,1760.0,0.0
2020-09-25,900,1785.0,50.42
2020-09-28,0,1705.0,0.0
2020-09-29,500,1600.0,31.25
2020-09-30,0,1600.0,0.0
2020-10-01,1700,1685.0,100.89
2020-10-02,0,1670.0,0.0
