Date,Volume,Volume_MA5,Volume_Ratio_5d
2021-04-30,38800,,
2021-05-31,463000,,
2021-06-30,720700,,
2021-07-31,1132900,,
2021-08-31,528000,576680.0,91.56
2021-09-30,1735400,916000.0,189.45
2021-10-31,28796600,6582720.0,437.46
2021-11-30,35307400,13500060.0,261.54
2021-12-31,12353800,15744240.0,78.47
2022-01-31,9321800,17503000.0,53.26
2022-02-28,15747200,20305360.0,77.55
2022-03-31,10043600,16554760.0,60.67
2022-04-30,5282900,10549860.0,50.08
2022-05-31,9272000,9933500.0,93.34
2022-06-30,24913200,13051780.0,190.88
2022-07-31,9113600,11725060.0,77.73
2022-08-31,12049500,12126240.0,99.37
2022-09-30,35990700,18267800.0,197.02
2022-10-31,15272400,19467880.0,78.45
2022-11-30,17185300,17922300.0,95.89
2022-12-31,28605200,21820620.0,131.09
2023-01-31,12820700,21974860.0,58.34
2023-02-28,55142300,25805180.0,213.69
2023-03-31,22357700,27222240.0,82.13
2023-04-30,14023100,26589800.0,52.74
2023-05-31,49324400,30733640.0,160.49
2023-06-30,117444900,51658480.0,227.35
2023-07-31,144255800,69481180.0,207.62
2023-08-31,288273500,122664340.0,235.01
2023-09-30,91088000,138077320.0,65.97
2023-10-31,49080300,138028500.0,35.56
2023-11-30,48342100,124207940.0,38.92
2023-12-31,50225000,105401780.0,47.65
2024-01-31,61951000,60137280.0,103.02
2024-02-29,179666800,77853040.0,230.78
2024-03-31,177697300,103576440.0,171.56
2024-04-30,99715400,113851100.0,87.58
2024-05-31,80589300,119923960.0,67.2
2024-06-30,89124500,125358660.0,71.1
2024-07-31,140439200,117513140.0,119.51
2024-08-31,81529000,98279480.0,82.96
2024-09-30,63370900,91010580.0,69.63
2024-10-31,141845300,103261780.0,137.36
2024-11-30,901522400,265741360.0,339.25
2024-12-31,3741305600,985914640.0,379.48
2025-01-31,3790121300,1727633100.0,219.38
2025-02-28,1534065800,2021772080.0,75.88
2025-03-31,1227437600,2238890540.0,54.82
2025-04-30,604536800,2179493420.0,27.74
2025-05-31,1429320800,1717096460.0,83.24
2025-06-30,957356200,1150543440.0,83.21
2025-07-31,304600600,904650400.0,33.67
