Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-05-17,3214500,,
2020-05-24,5158600,,
2020-05-31,6742600,,
2020-06-07,5962700,,
2020-06-14,6052000,,
2020-06-21,5466500,,
2020-06-28,7134300,,
2020-07-05,4792700,,
2020-07-12,5201900,,
2020-07-19,3459700,,
2020-07-26,4088000,,
2020-08-02,5528800,,
2020-08-09,3953100,,
2020-08-16,3073800,,
2020-08-23,3656800,,
2020-08-30,2904100,,
2020-09-06,4732200,,
2020-09-13,3259400,,
2020-09-20,4091300,,
2020-09-27,3729200,,
2020-10-04,3704200,,
2020-10-11,3356700,,
2020-10-18,4735400,,
2020-10-25,4145600,,
2020-11-01,6222700,,
2020-11-08,6485200,,
2020-11-15,5419700,,
2020-11-22,5339800,,
2020-11-29,3784500,,
2020-12-06,12101400,,
2020-12-13,8233300,,
2020-12-20,10686200,,
2020-12-27,5377300,,
2021-01-03,4443300,,
2021-01-10,10232700,,
2021-01-17,10366200,,
2021-01-24,8164800,,
2021-01-31,11464500,,
2021-02-07,9202500,,
2021-02-14,9876200,5888610.0,167.72
2021-02-21,6031800,5959042.5,101.22
2021-02-28,9741900,6073625.0,160.4
2021-03-07,8983800,6129655.0,146.56
2021-03-14,8110100,6183340.0,131.16
2021-03-21,8372700,6241357.5,134.15
2021-03-28,6152100,6258497.5,98.3
2021-04-04,5085200,6207270.0,81.92
2021-04-11,5464300,6224060.0,87.79
2021-04-18,5904400,6241622.5,94.6
2021-04-25,5961900,6304177.5,94.57
2021-05-02,6918800,6374947.5,108.53
2021-05-09,6528500,6399940.0,102.01
2021-05-16,8363700,6510205.0,128.47
2021-05-23,6407800,6593555.0,97.18
2021-05-30,6017400,6652570.0,90.45
2021-06-06,5204600,6710082.5,77.56
2021-06-13,4866300,6713435.0,72.49
2021-06-20,9052100,6858252.5,131.99
2021-06-27,8145300,6959602.5,117.04
2021-07-04,6050100,7017625.0,86.21
2021-07-11,4833600,7045860.0,68.6
2021-07-18,5287400,7094127.5,74.53
2021-07-25,4951600,7099532.5,69.75
2021-08-01,7875200,7192772.5,109.49
2021-08-08,8426000,7247855.0,116.26
2021-08-15,5098800,7213195.0,70.69
2021-08-22,6936900,7251125.0,95.67
2021-08-29,3682900,7209702.5,51.08
2021-09-05,4706400,7232750.0,65.07
2021-09-12,4026100,7030867.5,57.26
2021-09-19,5661700,6966577.5,81.27
2021-09-26,4580900,6813945.0,67.23
2021-10-03,6377700,6838955.0,93.26
2021-10-10,4551700,6841665.0,66.53
