Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-14,2142800,,
2020-05-15,2033400,,
2020-05-18,2135400,,
2020-05-19,1657800,,
2020-05-20,1772900,,
2020-05-21,1305600,,
2020-05-22,1506200,,
2020-05-26,1617300,,
2020-05-27,2111900,,
2020-05-28,1997800,,
2020-05-29,2644600,,
2020-06-01,1122200,,
2020-06-02,2027400,,
2020-06-03,2222100,,
2020-06-04,2216300,,
2020-06-05,3555300,,
2020-06-08,2715500,,
2020-06-09,2019400,,
2020-06-10,2488500,,
2020-06-11,2959100,2112575.0,140.07
2020-06-12,2439000,2127385.0,114.65
2020-06-15,2375500,2144490.0,110.77
2020-06-16,2513900,2163415.0,116.2
2020-06-17,1796000,2170325.0,82.75
2020-06-18,1424300,2152895.0,66.16
2020-06-19,3667600,2270995.0,161.5
2020-06-22,1578800,2274625.0,69.41
2020-06-23,1419900,2264755.0,62.7
2020-06-24,2393700,2278845.0,105.04
2020-06-25,1339500,2245930.0,59.64
2020-06-26,2292100,2228305.0,102.86
2020-06-29,1068800,2225635.0,48.02
2020-06-30,1928800,2220705.0,86.86
2020-07-01,1371700,2178185.0,62.97
2020-07-02,1731900,2153965.0,80.41
2020-07-06,1460500,2049225.0,71.27
2020-07-07,2511900,2039045.0,123.19
2020-07-08,1289700,2002560.0,64.4
2020-07-09,1223200,1939295.0,63.07
2020-07-10,1081300,1845405.0,58.59
2020-07-13,1866700,1816790.0,102.75
2020-07-14,1748300,1785430.0,97.92
2020-07-15,1306900,1725080.0,75.76
2020-07-16,1565500,1713555.0,91.36
2020-07-17,1538200,1719250.0,89.47
2020-07-20,1930700,1632405.0,118.27
2020-07-21,1924700,1649700.0,116.67
2020-07-22,1455900,1651500.0,88.16
2020-07-23,2946200,1679125.0,175.46
2020-07-24,3028100,1763555.0,171.7
2020-07-27,2274400,1762670.0,129.03
2020-07-28,1752100,1796835.0,97.51
2020-07-29,1330600,1766925.0,75.31
2020-07-30,3187900,1857735.0,171.6
2020-07-31,3537500,1948015.0,181.6
2020-08-03,1882800,1969130.0,95.62
2020-08-04,1822700,1934670.0,94.21
2020-08-05,1427900,1941580.0,73.54
2020-08-06,1267300,1943785.0,65.2
2020-08-07,1526100,1966025.0,77.62
2020-08-10,1499700,1947675.0,77.0
2020-08-11,1656500,1943085.0,85.25
2020-08-12,1640900,1959785.0,83.73
2020-08-13,1412800,1952150.0,72.37
2020-08-14,997900,1925135.0,51.84
2020-08-17,1215200,1889360.0,64.32
2020-08-18,1178700,1852060.0,63.64
2020-08-19,1717100,1865120.0,92.06
2020-08-20,1708500,1803235.0,94.75
2020-08-21,1322500,1717955.0,76.98
2020-08-24,1541000,1681285.0,91.66
2020-08-25,1189500,1653155.0,71.95
2020-08-26,1320400,1652645.0,79.9
2020-08-27,1754100,1580955.0,110.95
2020-08-28,1060400,1457100.0,72.77
2020-08-31,2039200,1464920.0,139.2
2020-09-01,1472500,1447410.0,101.73
2020-09-02,2137200,1482875.0,144.13
2020-09-03,3485900,1593805.0,218.72
2020-09-04,3237100,1679355.0,192.76
2020-09-08,2678600,1738300.0,154.09
2020-09-09,2713100,1791130.0,151.47
2020-09-10,2172200,1817695.0,119.5
2020-09-11,1496100,1821860.0,82.12
2020-09-14,1182200,1831075.0,64.56
2020-09-15,1760800,1858355.0,94.75
2020-09-16,1460500,1872445.0,78.0
2020-09-17,1825800,1877880.0,97.23
2020-09-18,2415300,1913220.0,126.24
2020-09-21,2050800,1949635.0,105.19
2020-09-22,1695400,1957355.0,86.62
2020-09-23,1369000,1966330.0,69.62
2020-09-24,2145300,2007575.0,106.86
2020-09-25,1909000,2015320.0,94.72
2020-09-28,2052300,2064915.0,99.39
2020-09-29,1452600,2035585.0,71.36
2020-09-30,1826000,2053260.0,88.93
2020-10-01,1983900,2045595.0,96.98
2020-10-02,1604000,1951500.0,82.19
2020-10-05,1359900,1857640.0,73.21
2020-10-06,1568900,1802155.0,87.06
2020-10-07,1331700,1733085.0,76.84
2020-10-08,2172700,1733110.0,125.36
2020-10-09,1897000,1753155.0,108.2
2020-10-12,2307900,1809440.0,127.55
2020-10-13,2023900,1822595.0,111.04
2020-10-14,1121000,1805620.0,62.08
2020-10-15,965500,1762605.0,54.78
2020-10-16,1110000,1697340.0,65.4
2020-10-19,1188900,1654245.0,71.87
2020-10-20,954300,1617190.0,59.01
2020-10-21,858400,1591660.0,53.93
2020-10-22,903400,1529565.0,59.06
2020-10-23,819300,1475080.0,55.54
2020-10-26,1311300,1438030.0,91.19
2020-10-27,1100900,1420445.0,77.5
2020-10-28,1707300,1414510.0,120.7
2020-10-29,1459600,1388295.0,105.14
2020-10-30,1796000,1397895.0,128.48
2020-11-02,2388700,1449335.0,164.81
2020-11-03,5238800,1632830.0,320.84
2020-11-04,3016100,1717050.0,175.66
2020-11-05,5281200,1872475.0,282.04
2020-11-06,2581600,1906705.0,135.4
2020-11-09,2372500,1909935.0,124.22
2020-11-10,2588300,1938155.0,133.54
2020-11-11,1982100,1981210.0,100.04
2020-11-12,1941500,2030010.0,95.64
2020-11-13,1374800,2043250.0,67.28
2020-11-16,1922300,2079920.0,92.42
