Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-06-15,126860,,
2020-06-16,135980,,
2020-06-17,102080,,
2020-06-18,77910,,
2020-06-19,77880,,
2020-06-22,116210,,
2020-06-23,100860,,
2020-06-24,70300,,
2020-06-25,78560,,
2020-06-26,150840,,
2020-06-29,86980,,
2020-06-30,124710,,
2020-07-01,97260,,
2020-07-02,102960,,
2020-07-06,134190,,
2020-07-07,110370,,
2020-07-08,97300,,
2020-07-09,96600,,
2020-07-10,114930,,
2020-07-13,143580,,
2020-07-14,132970,,
2020-07-15,127920,,
2020-07-16,86560,,
2020-07-17,89960,,
2020-07-20,127970,,
2020-07-21,62360,,
2020-07-22,75610,,
2020-07-23,118310,,
2020-07-24,122660,,
2020-07-27,105070,,
2020-07-28,146280,,
2020-07-29,107890,,
2020-07-30,89550,,
2020-07-31,133410,,
2020-08-03,164210,,
2020-08-04,127840,,
2020-08-05,101680,,
2020-08-06,83160,,
2020-08-07,144700,,
2020-08-10,114130,110215.0,103.55
2020-08-11,198770,112012.75,177.45
2020-08-12,142090,112165.5,126.68
2020-08-13,145450,113249.75,128.43
2020-08-14,114870,114173.75,100.61
2020-08-17,69120,113954.75,60.66
2020-08-18,72780,112869.0,64.48
2020-08-19,122980,113422.0,108.43
2020-08-20,92350,113973.25,81.03
2020-08-21,82280,114066.25,72.13
2020-08-24,99330,112778.5,88.08
2020-08-25,122660,113670.5,107.91
2020-08-26,74890,112425.0,66.61
2020-08-27,160430,114004.25,140.72
2020-08-28,87620,113620.75,77.12
2020-08-31,156220,114171.5,136.83
2020-09-01,148830,115133.0,129.27
2020-09-02,136790,116120.25,117.8
2020-09-03,150670,117472.0,128.26
2020-09-04,173520,118936.75,145.89
2020-09-08,123670,118439.0,104.42
2020-09-09,87690,117307.0,74.75
2020-09-10,118640,117075.0,101.34
2020-09-11,72390,116720.75,62.02
2020-09-14,71380,116256.25,61.4
2020-09-15,89250,115288.25,77.41
2020-09-16,109960,116478.25,94.4
2020-09-17,79690,116580.25,68.36
2020-09-18,51010,114897.75,44.4
2020-09-21,86470,113993.0,75.86
2020-09-22,60440,112877.25,53.54
2020-09-23,45660,110361.75,41.37
2020-09-24,59340,109148.0,54.37
2020-09-25,33540,107747.75,31.13
2020-09-28,44830,105533.25,42.48
2020-09-29,71210,103208.25,69.0
2020-09-30,100720,102530.25,98.23
2020-10-01,101060,102514.75,98.58
2020-10-02,83530,102524.0,81.47
2020-10-05,100640,101422.5,99.23
2020-10-06,105620,101209.75,104.36
2020-10-07,59500,97728.0,60.88
2020-10-08,62360,95734.75,65.14
2020-10-09,54330,93456.75,58.13
2020-10-12,54860,91956.5,59.66
2020-10-13,72790,92048.25,79.08
2020-10-14,65920,91876.75,71.75
2020-10-15,78590,90767.0,86.58
2020-10-16,59100,89935.75,65.71
2020-10-19,41920,88926.75,47.14
2020-10-20,58890,87915.75,66.98
2020-10-21,65800,86494.25,76.07
2020-10-22,46300,85779.5,53.98
2020-10-23,45340,82902.25,54.69
2020-10-26,82720,82779.75,99.93
2020-10-27,60120,80377.25,74.8
2020-10-28,117900,79604.0,148.11
2020-10-29,110900,78956.75,140.46
2020-10-30,123860,78286.5,158.21
2020-11-02,106460,76610.0,138.96
2020-11-03,76080,75420.25,100.87
2020-11-04,143260,76809.5,186.51
2020-11-05,112370,76652.75,146.6
2020-11-06,82960,76917.0,107.86
2020-11-09,165330,79265.75,208.58
2020-11-10,76150,78938.25,96.47
2020-11-11,90660,78455.75,115.56
2020-11-12,113030,79289.25,142.55
2020-11-13,83070,80090.75,103.72
2020-11-16,64900,79551.5,81.58
2020-11-17,63050,79616.75,79.19
2020-11-18,72760,80294.25,90.62
2020-11-19,88940,81034.25,109.76
2020-11-20,51910,81493.5,63.7
