Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-05-31,1429500,,
2020-06-30,2643830,,
2020-07-31,2423710,,
2020-08-31,2477560,,
2020-09-30,1915700,,
2020-10-31,1652050,,
2020-11-30,1795100,,
2020-12-31,1399120,,
2021-01-31,1626390,,
2021-02-28,2232440,,
2021-03-31,2685710,,
2021-04-30,1563910,,
2021-05-31,1470250,,
2021-06-30,2479780,,
2021-07-31,3833000,,
2021-08-31,4056300,,
2021-09-30,2968830,,
2021-10-31,2416980,,
2021-11-30,2686760,,
2021-12-31,4045040,,
2022-01-31,5497400,,
2022-02-28,5904950,,
2022-03-31,6582480,,
2022-04-30,8491200,,
2022-05-31,9153960,,
2022-06-30,6523310,,
2022-07-31,6611270,,
2022-08-31,7061500,,
2022-09-30,11788320,,
2022-10-31,23440670,,
2022-11-30,27674870,,
2022-12-31,36883690,,
2023-01-31,28936730,,
2023-02-28,30148310,,
2023-03-31,66635630,,
2023-04-30,35856420,,
2023-05-31,48996980,,
2023-06-30,42592280,,
2023-07-31,47044800,,
2023-08-31,74811870,14460965.0,517.34
2023-09-30,56914690,15848094.75,359.13
2023-10-31,108482240,18494055.0,586.58
2023-11-30,106344820,21092082.75,504.19
2023-12-31,158111590,24982933.5,632.88
2024-01-31,241853000,30981366.0,780.64
2024-02-29,162022300,34990622.25,463.04
2024-03-31,122570100,38009997.25,322.47
2024-04-30,149767700,41719211.75,358.99
2024-05-31,99434800,44164422.0,225.15
2024-06-30,128226100,47314263.5,271.01
2024-07-31,135658800,50638590.75,267.9
2024-08-31,200432300,55610300.5,360.42
2024-09-30,186860500,60245056.75,310.17
2024-10-31,249396800,66417982.25,375.5
2024-11-30,260013800,72822502.25,357.05
2024-12-31,171080700,76998112.25,222.19
2025-01-31,146429400,80584626.5,181.71
2025-02-28,115274700,83406069.5,138.21
2025-03-31,132682500,86655963.0,153.11
2025-04-30,245204400,92684947.0,264.56
2025-05-31,225265700,98179154.5,229.44
2025-06-30,173985000,102381155.75,169.94
2025-07-31,69797100,103961521.25,67.14
