Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-14,1935600,,
2020-05-15,1524400,,
2020-05-18,1111600,,
2020-05-19,846800,,
2020-05-20,1790000,,
2020-05-21,674800,,
2020-05-22,373600,,
2020-05-26,746400,,
2020-05-27,1054800,,
2020-05-28,1102400,,
2020-05-29,1243200,,
2020-06-01,553600,,
2020-06-02,585600,,
2020-06-03,1062000,,
2020-06-04,1110400,,
2020-06-05,1830000,,
2020-06-08,1294400,,
2020-06-09,628000,,
2020-06-10,1097200,,
2020-06-11,878000,1072140.0,81.89
2020-06-12,715600,1011140.0,70.77
2020-06-15,344800,952160.0,36.21
2020-06-16,750800,934120.0,80.38
2020-06-17,378000,910680.0,41.51
2020-06-18,387200,840540.0,46.07
2020-06-19,416000,827600.0,50.27
2020-06-22,653600,841600.0,77.66
2020-06-23,385600,823560.0,46.82
2020-06-24,326400,787140.0,41.47
2020-06-25,556000,759820.0,73.18
2020-06-26,515600,723440.0,71.27
2020-06-29,273600,709440.0,38.57
2020-06-30,376800,699000.0,53.91
2020-07-01,498800,670840.0,74.35
2020-07-02,445200,637580.0,69.83
2020-07-06,546800,573420.0,95.36
2020-07-07,716000,544500.0,131.5
2020-07-08,240400,525120.0,45.78
2020-07-09,765200,508520.0,150.48
2020-07-10,637600,496500.0,128.42
2020-07-13,422000,481820.0,87.58
2020-07-14,506800,489920.0,103.45
2020-07-15,649200,484840.0,133.9
2020-07-16,335200,482700.0,69.44
2020-07-17,146000,470640.0,31.02
2020-07-20,289200,464300.0,62.29
2020-07-21,357600,449500.0,79.56
2020-07-22,437600,452100.0,96.79
2020-07-23,516000,461580.0,111.79
2020-07-24,419200,454740.0,92.18
2020-07-27,469600,452440.0,103.79
2020-07-28,301600,453840.0,66.46
2020-07-29,432400,456620.0,94.7
2020-07-30,318000,447580.0,71.05
2020-07-31,401200,445380.0,90.08
2020-08-03,432800,439680.0,98.44
2020-08-04,528400,430300.0,122.8
2020-08-05,684400,452500.0,151.25
2020-08-06,621600,445320.0,139.59
2020-08-07,409200,433900.0,94.31
2020-08-10,692400,447420.0,154.75
2020-08-11,1919200,518040.0,370.47
2020-08-12,614000,516280.0,118.93
2020-08-13,1239200,561480.0,220.7
2020-08-14,1124000,610380.0,184.15
2020-08-17,547600,623300.0,87.85
2020-08-18,669200,638880.0,104.75
2020-08-19,805200,657260.0,122.51
2020-08-20,628800,662900.0,94.86
2020-08-21,670400,675460.0,99.25
2020-08-24,282800,666120.0,42.45
2020-08-25,594400,680760.0,87.31
2020-08-26,1104000,714340.0,154.55
2020-08-27,1612800,779080.0,207.01
2020-08-28,543600,786200.0,69.14
2020-08-31,1104400,819780.0,134.72
2020-09-01,987200,842720.0,117.14
2020-09-02,999200,858460.0,116.39
2020-09-03,1331600,893960.0,148.96
2020-09-04,841600,915580.0,91.92
2020-09-08,1234800,942700.0,130.99
2020-09-09,914000,892440.0,102.42
2020-09-10,816400,902560.0,90.45
2020-09-11,340800,857640.0,39.74
2020-09-14,363600,819620.0,44.36
2020-09-15,478800,816180.0,58.66
2020-09-16,1029600,834200.0,123.42
2020-09-17,1336800,860780.0,155.3
2020-09-18,590800,858880.0,68.79
2020-09-21,948400,872780.0,108.66
2020-09-22,718400,894560.0,80.31
2020-09-23,430400,886360.0,48.56
2020-09-24,516400,856980.0,60.26
2020-09-25,262000,789440.0,33.19
2020-09-28,474800,786000.0,60.41
2020-09-29,591200,760340.0,77.75
2020-09-30,658000,743880.0,88.46
2020-10-01,520000,719920.0,72.23
2020-10-02,1202800,713480.0,168.58
2020-10-05,624800,702640.0,88.92
2020-10-06,1795200,730660.0,245.7
2020-10-07,357600,702840.0,50.88
2020-10-08,547200,689380.0,79.38
2020-10-09,666400,705660.0,94.44
2020-10-12,349600,704960.0,49.59
2020-10-13,387200,700380.0,55.28
2020-10-14,449600,671380.0,66.97
2020-10-15,557200,632400.0,88.11
2020-10-16,330400,619380.0,53.34
2020-10-19,498800,596900.0,83.57
2020-10-20,602800,591120.0,101.98
2020-10-21,894800,614340.0,145.65
2020-10-22,646800,620860.0,104.18
2020-10-23,297600,622640.0,47.8
2020-10-26,593200,628560.0,94.37
2020-10-27,428000,620400.0,68.99
2020-10-28,1238800,649440.0,190.75
2020-10-29,1300800,688480.0,188.94
2020-10-30,1685600,712620.0,236.54
2020-11-02,1193600,741060.0,161.07
2020-11-03,1092800,705940.0,154.8
2020-11-04,3007600,838440.0,358.71
2020-11-05,2058800,914020.0,225.25
2020-11-06,672800,914340.0,73.58
2020-11-09,2301600,1011940.0,227.44
2020-11-10,1016400,1043400.0,97.41
2020-11-11,522000,1047020.0,49.86
2020-11-12,493600,1043840.0,47.29
2020-11-13,318800,1043260.0,30.56
2020-11-16,449200,1040780.0,43.16
2020-11-17,340400,1027660.0,33.12
2020-11-18,678000,1016820.0,66.68
