Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-21,399656900,,
2020-06-28,325712000,,
2020-07-05,260750100,,
2020-07-12,283541300,,
2020-07-19,276217800,309175620.0,89.34
2020-07-26,251156900,279475620.0,89.87
2020-08-02,166932500,247719720.0,67.39
2020-08-09,195062900,234582280.0,83.15
2020-08-16,204252300,218724480.0,93.38
2020-08-23,133159800,190112880.0,70.04
2020-08-30,199971800,179875860.0,111.17
2020-09-06,170547200,180598800.0,94.43
2020-09-13,102718700,162129960.0,63.36
2020-09-20,137663000,148812100.0,92.51
2020-09-27,114278300,145035800.0,78.79
2020-10-04,143302500,133701940.0,107.18
2020-10-11,128088000,125210100.0,102.3
2020-10-18,92344100,123135180.0,74.99
2020-10-25,117203300,119043240.0,98.45
2020-11-01,101382200,116464020.0,87.05
2020-11-08,74408500,102685220.0,72.46
2020-11-15,151063900,107280400.0,140.81
2020-11-22,105027100,109817000.0,95.64
2020-11-29,90019300,104380200.0,86.24
2020-12-06,118804700,107864700.0,110.14
2020-12-13,97278700,112438740.0,86.52
2020-12-20,80036100,98233180.0,81.48
2020-12-27,60913600,89410480.0,68.13
2021-01-03,45778200,80562260.0,56.82
2021-01-10,58131800,68427680.0,84.95
2021-01-17,58938500,60759640.0,97.0
2021-01-24,67070800,58166580.0,115.31
2021-01-31,95318100,65047480.0,146.54
2021-02-07,65834900,69058820.0,95.33
2021-02-14,58999600,69232380.0,85.22
2021-02-21,58138800,69072440.0,84.17
2021-02-28,119435200,79545320.0,150.15
2021-03-07,91751200,78831940.0,116.39
2021-03-14,83224000,82309760.0,101.11
2021-03-21,110684000,92646640.0,119.47
2021-03-28,89604800,98939840.0,90.56
2021-04-04,46747900,84402380.0,55.39
2021-04-11,67417400,79535620.0,84.76
2021-04-18,69779000,76846620.0,90.8
2021-04-25,113814100,77472640.0,146.91
2021-05-02,55175100,70586700.0,78.17
2021-05-09,57081700,72653460.0,78.57
2021-05-16,66510600,72472100.0,91.77
2021-05-23,68587600,72233820.0,94.95
2021-05-30,71438500,63758700.0,112.05
2021-06-06,53779600,63479600.0,84.72
2021-06-13,49289000,61921060.0,79.6
2021-06-20,50743100,58767560.0,86.35
2021-06-27,54473800,55944800.0,97.37
2021-07-04,58724700,53402040.0,109.97
2021-07-11,46493900,51944900.0,89.51
2021-07-18,66896200,55466340.0,120.61
2021-07-25,93799900,64077700.0,146.38
2021-08-01,50874800,63357900.0,80.3
2021-08-08,58361800,63285320.0,92.22
2021-08-15,55275500,65041640.0,84.98
2021-08-22,49836400,61629680.0,80.86
2021-08-29,43517800,51573260.0,84.38
2021-09-05,46353700,50669040.0,91.48
2021-09-12,47226800,48442040.0,97.49
2021-09-19,59206200,49228180.0,120.27
2021-09-26,66640900,52589080.0,126.72
2021-10-03,67187900,57323100.0,117.21
2021-10-10,51972100,58446780.0,88.92
2021-10-17,44781900,57957800.0,77.27
2021-10-24,65342800,59185120.0,110.4
2021-10-31,41788000,54214540.0,77.08
2021-11-07,63813600,53539680.0,119.19
2021-11-14,45858700,52317000.0,87.66
2021-11-21,51029100,53566440.0,95.26
2021-11-28,59943400,52486560.0,114.21
2021-12-05,102242000,64577360.0,158.32
2021-12-12,91313600,70077360.0,130.3
2021-12-19,70941100,75093840.0,94.47
2021-12-26,57519100,76391840.0,75.29
2022-01-02,46090000,73621160.0,62.6
2022-01-09,55981600,64369080.0,86.97
2022-01-16,52666100,56639580.0,92.98
2022-01-23,53130900,53077540.0,100.1
2022-01-30,72821400,56138000.0,129.72
2022-02-06,50594000,57038800.0,88.7
2022-02-13,70549900,59952460.0,117.68
2022-02-20,58702800,61159800.0,95.98
2022-02-27,58762700,62286160.0,94.34
2022-03-06,98214200,67364720.0,145.79
2022-03-13,147686500,86783220.0,170.18
2022-03-20,94562300,91585700.0,103.25
2022-03-27,61486800,92142500.0,66.73
2022-04-03,59879600,92365880.0,64.83
2022-04-10,56804300,84083900.0,67.56
2022-04-17,49839100,64514420.0,77.25
2022-04-24,111799900,67961940.0,164.5
2022-05-01,69167900,69498160.0,99.52
2022-05-08,67920800,71106400.0,95.52
2022-05-15,78871700,75519880.0,104.44
2022-05-22,58808700,77313800.0,76.06
2022-05-29,59371300,66828080.0,88.84
2022-06-05,48188600,62632220.0,76.94
2022-06-12,53360500,59720160.0,89.35
2022-06-19,81037400,60153300.0,134.72
2022-06-26,44638400,57319240.0,77.88
2022-07-03,55965100,56638000.0,98.81
2022-07-10,46818100,56363900.0,83.06
2022-07-17,50749300,55841660.0,90.88
2022-07-24,79505800,55535340.0,143.16
2022-07-31,46969500,56001560.0,83.87
2022-08-07,44138000,53636140.0,82.29
2022-08-14,38803200,52033160.0,74.57
2022-08-21,37691900,49421680.0,76.27
2022-08-28,33071300,40134780.0,82.4
2022-09-04,40486400,38838160.0,104.24
2022-09-11,39864000,37983360.0,104.95
2022-09-18,42554800,38733680.0,109.87
2022-09-25,57632700,42721840.0,134.9
2022-10-02,51668400,46441260.0,111.26
2022-10-09,48698700,48083720.0,101.28
2022-10-16,55060700,51123060.0,107.7
2022-10-23,78280300,58268160.0,134.34
2022-10-30,47942200,56330060.0,85.11
2022-11-06,44021000,54800580.0,80.33
2022-11-13,37043100,52469460.0,70.6
2022-11-20,26999300,46857180.0,57.62
2022-11-27,13075700,33816260.0,38.67
2022-12-04,23441100,28916040.0,81.07
2022-12-11,41473600,28406560.0,146.0
2022-12-18,59397700,32877480.0,180.66
2022-12-25,28501300,33177880.0,85.9
2023-01-01,25243000,35611340.0,70.88
2023-01-08,32914200,37505960.0,87.76
2023-01-15,74492300,44109700.0,168.88
2023-01-22,76676800,47565520.0,161.2
2023-01-29,35634300,48992120.0,72.73
2023-02-05,37386000,51420720.0,72.71
2023-02-12,28578500,50553580.0,56.53
2023-02-19,24562700,40567660.0,60.55
2023-02-26,23883800,30009060.0,79.59
2023-03-05,25518200,27985840.0,91.18
2023-03-12,36715000,27851640.0,131.82
2023-03-19,69603100,36056560.0,193.04
2023-03-26,37306500,38605320.0,96.64
2023-04-02,31325900,40093740.0,78.13
2023-04-09,27970700,40584240.0,68.92
2023-04-16,47906200,42822480.0,111.87
2023-04-23,56576700,40217200.0,140.68
2023-04-30,30572800,38870460.0,78.65
2023-05-07,36363600,39878000.0,91.19
2023-05-14,27889500,39861760.0,69.97
2023-05-21,34868300,37254180.0,93.6
2023-05-28,30754200,32089680.0,95.84
2023-06-04,25637000,31102520.0,82.43
2023-06-11,24145800,28658960.0,84.25
2023-06-18,34360300,29953120.0,114.71
2023-06-25,16786800,26336820.0,63.74
2023-07-02,44533600,29092700.0,153.07
2023-07-09,19028300,27770960.0,68.52
2023-07-16,31177700,29177340.0,106.86
2023-07-23,52339800,32773240.0,159.7
2023-07-30,39913500,37398580.0,106.72
2023-08-06,25122300,33516320.0,74.96
2023-08-13,26577300,35026120.0,75.88
2023-08-20,22320900,33254760.0,67.12
2023-08-27,20072500,26801300.0,74.89
2023-09-03,19125700,22643740.0,84.46
2023-09-10,29318900,23483060.0,124.85
2023-09-17,29819100,24131420.0,123.57
2023-09-24,25235400,24714320.0,102.11
2023-10-01,28278400,26355500.0,107.3
2023-10-08,34002500,29330860.0,115.93
2023-10-15,41440600,31755200.0,130.5
2023-10-22,79457500,41682880.0,190.62
2023-10-29,42420400,45119880.0,94.02
2023-11-05,43505500,48165300.0,90.33
2023-11-12,38294100,49023620.0,78.11
2023-11-19,34369600,47609420.0,72.19
2023-11-26,21714000,36060720.0,60.22
2023-12-03,35538200,34684280.0,102.46
2023-12-10,43400800,34663340.0,125.21
2023-12-17,43565000,35717520.0,121.97
2023-12-24,36560400,36155680.0,101.12
2023-12-31,19525900,35718060.0,54.67
2024-01-07,30169300,34644280.0,87.08
2024-01-14,63965100,38757140.0,165.04
2024-01-21,43761500,38796440.0,112.8
2024-01-28,78208400,47126040.0,165.96
2024-02-04,34285500,50077960.0,68.46
2024-02-11,38340000,51712100.0,74.14
2024-02-18,38039400,46526960.0,81.76
2024-02-25,37544200,45283500.0,82.91
2024-03-03,34027300,36447280.0,93.36
2024-03-10,35958700,36781920.0,97.76
2024-03-17,43849000,37883720.0,115.75
2024-03-24,30061300,36288100.0,82.84
2024-03-31,40540000,36887260.0,109.9
2024-04-07,42242700,38530340.0,109.63
2024-04-14,47430500,40824700.0,116.18
2024-04-21,151531500,62361200.0,242.99
2024-04-28,54993600,67347660.0,81.66
2024-05-05,37326000,66704860.0,55.96
2024-05-12,26835100,63623340.0,42.18
2024-05-19,36858800,61509000.0,59.92
2024-05-26,25262400,36255180.0,69.68
2024-06-02,30224000,31301260.0,96.56
2024-06-09,39581000,31752260.0,124.66
2024-06-16,31976000,32780440.0,97.55
2024-06-23,26969500,30802580.0,87.56
2024-06-30,27635900,31277280.0,88.36
2024-07-07,19219300,29076340.0,66.1
2024-07-14,39457600,29051660.0,135.82
2024-07-21,61252300,34906920.0,175.47
2024-07-28,37513300,37015680.0,101.34
2024-08-04,43941300,40276760.0,109.1
2024-08-11,36891800,43811260.0,84.21
2024-08-18,32344500,42388640.0,76.3
2024-08-25,24770600,35092300.0,70.59
2024-09-01,26888100,32967260.0,81.56
2024-09-08,27084900,29595980.0,91.52
2024-09-15,41663800,30550380.0,136.38
2024-09-22,34866300,31054740.0,112.27
2024-09-29,43225600,34745740.0,124.41
2024-10-06,39147400,37197600.0,105.24
2024-10-13,33546000,38489820.0,87.16
