Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-21,5249800,,
2020-06-28,8247900,,
2020-07-05,3791500,,
2020-07-12,4487800,,
2020-07-19,5326300,,
2020-07-26,6568800,,
2020-08-02,6697400,,
2020-08-09,3661200,,
2020-08-16,3242500,,
2020-08-23,5415200,,
2020-08-30,7557900,,
2020-09-06,5927500,,
2020-09-13,2498700,,
2020-09-20,11159000,,
2020-09-27,12206700,,
2020-10-04,4955100,,
2020-10-11,10493700,,
2020-10-18,6635700,,
2020-10-25,4839900,,
2020-11-01,5557000,6225980.0,89.26
2020-11-08,3965800,6161780.0,64.36
2020-11-15,6839800,6091375.0,112.29
2020-11-22,4355200,6119560.0,71.17
2020-11-29,8534600,6321900.0,135.0
2020-12-06,7946000,6452885.0,123.14
2020-12-13,24270200,7337955.0,330.75
2020-12-20,27006600,8353415.0,323.3
2020-12-27,11975700,8769140.0,136.57
2021-01-03,13860300,9300030.0,149.04
2021-01-10,19751500,10016845.0,197.18
2021-01-17,19786000,10628250.0,186.16
2021-01-24,13451900,11004470.0,122.24
2021-01-31,18455100,11802290.0,156.37
2021-02-07,21737200,12331200.0,176.28
2021-02-14,37212500,13581490.0,273.99
2021-02-21,34014900,15034480.0,226.25
2021-02-28,29402600,15979925.0,184.0
2021-03-07,27677000,17031990.0,162.5
2021-03-14,24931700,18036580.0,138.23
2021-03-21,97992500,22658355.0,432.48
2021-03-28,32255500,24072840.0,133.99
2021-04-04,23704500,24916075.0,95.14
2021-04-11,43994600,26898045.0,163.56
2021-04-18,27918100,27867220.0,100.18
2021-04-25,26741800,28807010.0,92.83
2021-05-02,19359000,28561450.0,67.78
2021-05-09,28177800,28620010.0,98.45
2021-05-16,28967300,29469590.0,98.3
2021-05-23,23964900,29974820.0,79.95
2021-05-30,25364600,30255475.0,83.83
2021-06-06,18688500,30200600.0,61.88
2021-06-13,24713300,30763670.0,80.33
2021-06-20,40322800,31857055.0,126.57
2021-06-27,32329400,32386665.0,99.82
2021-07-04,25665300,31809305.0,80.68
2021-07-11,20035400,31110330.0,64.4
2021-07-18,20915500,30685975.0,68.16
2021-07-25,24980100,30551130.0,81.76
2021-08-01,22538700,30431480.0,74.06
2021-08-08,15718800,26317795.0,59.73
2021-08-15,12192800,25314660.0,48.16
2021-08-22,15124800,24885675.0,60.78
2021-08-29,16525500,23512220.0,70.28
2021-09-05,38047000,24018665.0,158.41
2021-09-12,40766300,24719890.0,164.91
2021-09-19,88251900,28164535.0,313.34
2021-09-26,38200100,28665650.0,133.26
2021-10-03,36418100,29038190.0,125.41
2021-10-10,27726000,29226245.0,94.87
2021-10-17,46594900,30287760.0,153.84
2021-10-24,42221100,31464390.0,134.19
2021-10-31,33469500,31902200.0,104.91
2021-11-07,33207000,31546410.0,105.26
2021-11-14,56606700,32760275.0,172.79
2021-11-21,42666300,33610325.0,126.94
2021-11-28,28171500,34017130.0,82.82
2021-12-05,52054100,35574060.0,146.33
2021-12-12,33239400,35987025.0,92.36
2021-12-19,67584100,38239295.0,176.74
2021-12-26,26255600,38766135.0,67.73
2022-01-02,32455400,39779265.0,81.59
2022-01-09,59398800,41992965.0,141.45
2022-01-16,42183000,43275840.0,97.47
2022-01-23,40559000,43401440.0,93.45
2022-01-30,63828500,44554550.0,143.26
2022-02-06,42244200,42254165.0,99.98
2022-02-13,46291100,42658715.0,108.51
2022-02-20,33884000,42532010.0,79.67
2022-02-27,43499900,43320705.0,100.41
2022-03-06,89130900,45447505.0,196.12
2022-03-13,113354200,49004160.0,231.32
2022-03-20,85396500,51600510.0,165.5
2022-03-27,75246900,53702505.0,140.12
2022-04-03,55871200,53665730.0,104.11
2022-04-10,96070300,56335930.0,170.53
2022-04-17,74190300,58636870.0,126.53
2022-04-24,87591100,60413720.0,144.99
2022-05-01,73672100,62435355.0,118.0
2022-05-08,66811800,62396740.0,107.08
2022-05-15,89556300,65561775.0,136.6
2022-05-22,71640800,67521045.0,106.1
2022-05-29,84252600,68763735.0,122.52
2022-06-05,78654700,70587320.0,111.43
2022-06-12,108521000,73985420.0,146.68
2022-06-19,70239400,74305965.0,94.53
2022-06-26,41346600,74261085.0,55.68
2022-07-03,43549200,74123990.0,58.75
2022-07-10,36196000,74239590.0,48.76
2022-07-17,27627200,73445955.0,37.62
2022-07-24,35386500,70758735.0,50.01
2022-07-31,47775300,67479790.0,70.8
2022-08-07,31067900,64763360.0,47.97
2022-08-14,35570000,62779515.0,56.66
2022-08-21,47352000,62353555.0,75.94
2022-08-28,69119700,61006025.0,113.3
2022-09-04,76515400,61122280.0,125.18
2022-09-11,51989600,59342205.0,87.61
2022-09-18,61758600,58746530.0,105.13
2022-09-25,45820500,57696965.0,79.42
2022-10-02,43286400,55383470.0,78.16
2022-10-09,43887500,53995805.0,81.28
2022-10-16,48292200,52197785.0,92.52
2022-10-23,43887500,50459425.0,86.98
2022-10-30,44483700,47257560.0,94.13
2022-11-06,40032700,45747225.0,87.51
2022-11-13,49163500,46138070.0,106.56
2022-11-20,34827800,45702000.0,76.21
2022-11-27,18302400,44807320.0,40.85
2022-12-04,27861400,44819030.0,62.16
2022-12-11,39728700,45036140.0,88.22
2022-12-18,80512100,46672980.0,172.5
2022-12-25,44509300,47345050.0,94.01
2023-01-01,22460600,46689580.0,48.11
2023-01-08,22625200,45453240.0,49.78
2023-01-15,28517400,43423125.0,65.67
2023-01-22,25245800,40859645.0,61.79
2023-01-29,54124200,40966375.0,132.12
2023-02-05,50997200,40428305.0,126.14
2023-02-12,37604600,40017510.0,93.97
2023-02-19,26301400,39168260.0,67.15
2023-02-26,26926900,38320230.0,70.27
2023-03-05,25551400,37183190.0,68.72
2023-03-12,44060300,37191830.0,118.47
2023-03-19,54418800,37688585.0,144.39
2023-03-26,74787500,39426325.0,189.69
2023-04-02,33241300,38630215.0,86.05
2023-04-09,20873200,37932485.0,55.03
2023-04-16,20713600,38053045.0,54.43
2023-04-23,19912000,37655575.0,52.88
2023-04-30,26970700,37017675.0,72.86
2023-05-07,23938800,34189010.0,70.02
2023-05-14,19351300,32931110.0,58.76
2023-05-21,13822600,32499210.0,42.53
2023-05-28,17994800,32267690.0,55.77
2023-06-04,27263300,32204985.0,84.66
2023-06-11,27005900,32292990.0,83.63
2023-06-18,37361100,31454835.0,118.78
2023-06-25,41852400,30997595.0,135.02
2023-07-02,18293200,30032025.0,60.91
2023-07-09,20309000,29732405.0,68.31
2023-07-16,23492200,29560670.0,79.47
2023-07-23,19245000,29245350.0,65.81
2023-07-30,17152700,27899970.0,61.48
2023-08-06,27224600,26540260.0,102.58
2023-08-13,25846200,24093195.0,107.28
2023-08-20,24110800,23636670.0,102.01
2023-08-27,36181200,24402070.0,148.27
2023-09-03,25015600,24617170.0,101.62
2023-09-10,28553800,25049260.0,113.99
2023-09-17,70274900,27214470.0,258.23
2023-09-24,55955800,28815320.0,194.19
2023-10-01,63464600,31020985.0,204.59
2023-10-08,53083000,32984005.0,160.94
2023-10-15,28949600,33531745.0,86.33
2023-10-22,33145200,33825840.0,97.99
2023-10-29,42975500,34624320.0,124.12
2023-11-05,37191500,34615840.0,107.44
2023-11-12,30984500,34072445.0,90.94
2023-11-19,41081200,35211845.0,116.67
2023-11-26,20659100,35229350.0,58.64
2023-12-03,31198000,35614640.0,87.6
2023-12-10,31015300,36203155.0,85.67
2023-12-17,68759300,38783485.0,177.29
2023-12-24,44998500,39672180.0,113.43
2023-12-31,19889200,39374330.0,50.51
2024-01-07,20505900,39194085.0,52.32
2024-01-14,55231900,40146620.0,137.58
2024-01-21,50533100,41422495.0,121.99
2024-01-28,36935400,41841575.0,88.27
2024-02-04,54088000,41032230.0,131.82
2024-02-11,38179100,40143395.0,95.11
2024-02-18,34950400,38717685.0,90.27
2024-02-25,39305500,38028810.0,103.36
2024-03-03,42916900,38727175.0,110.82
2024-03-10,31882300,38664030.0,82.46
2024-03-17,50146600,39022585.0,128.51
2024-03-24,26271700,38476595.0,68.28
2024-03-31,21990800,38026910.0,57.83
2024-04-07,43961500,38170925.0,115.17
2024-04-14,32977900,38786865.0,85.02
2024-04-21,25446400,38499285.0,66.1
2024-04-28,23390600,38118050.0,61.36
2024-05-05,37247600,36542465.0,101.93
2024-05-12,24651600,35525120.0,69.39
2024-05-19,29104800,35985900.0,80.88
2024-05-26,28088400,36365025.0,77.24
2024-06-02,22857200,34746290.0,65.78
2024-06-09,35661600,34002715.0,104.88
2024-06-16,40136100,34162750.0,117.48
2024-06-23,28690700,32892885.0,87.22
2024-06-30,44283500,33198105.0,133.39
2024-07-07,15507000,32225935.0,48.12
2024-07-14,25401100,31530715.0,80.56
2024-07-21,27119300,30740835.0,88.22
2024-07-28,32985700,30796005.0,107.11
2024-08-04,49514000,30764375.0,160.95
2024-08-11,41450100,31523295.0,131.49
2024-08-18,28070700,31827290.0,88.2
2024-08-25,32717800,31265105.0,104.65
2024-09-01,31011300,31166775.0,99.5
2024-09-08,34562700,31622590.0,109.3
2024-09-15,32887200,32097420.0,102.46
2024-09-22,34213300,31945705.0,107.1
2024-09-29,68047500,34115500.0,199.46
2024-10-06,41844900,34752505.0,120.41
2024-10-13,28917400,34793955.0,83.11
2024-10-20,77420700,37522130.0,206.33
2024-10-27,43067700,37892435.0,113.66
2024-11-03,32336300,37502445.0,86.22
2024-11-10,40450300,38090425.0,106.2
2024-11-17,46482900,38200395.0,121.68
2024-11-24,58365500,40343320.0,144.67
2024-12-01,29084500,40527490.0,71.76
2024-12-08,32864600,40814755.0,80.52
2024-12-15,34802000,40905570.0,85.08
2024-12-22,43687600,40614250.0,107.57
2024-12-29,15421000,39312795.0,39.23
2025-01-05,40164500,39917485.0,100.62
2025-01-12,30188400,39791015.0,75.87
2025-01-19,32672000,39874050.0,81.94
2025-01-26,36182800,39955055.0,90.56
2025-02-02,35528700,40087130.0,88.63
2025-02-09,24087600,39580845.0,60.86
2025-02-16,32023500,37779645.0,84.76
2025-02-23,39208000,37647800.0,104.14
2025-03-02,41354200,38269640.0,108.06
2025-03-09,48444100,36820810.0,131.57
2025-03-16,48926900,37113770.0,131.83
2025-03-23,51802800,38087095.0,136.01
2025-03-30,29775700,37553365.0,79.29
2025-04-06,51309000,37794670.0,135.76
2025-04-13,56012600,37677025.0,148.67
2025-04-20,32442000,37844900.0,85.72
2025-04-27,37063200,38054830.0,97.39
2025-05-04,34119400,38020700.0,89.74
2025-05-11,58062400,38739440.0,149.88
2025-05-18,36167700,39776775.0,90.93
2025-05-25,110466100,43291855.0,255.17
2025-06-01,76974300,45631150.0,168.69
2025-06-08,69718300,47483465.0,146.83
2025-06-15,78163700,49582510.0,157.64
2025-06-22,67853800,51198765.0,132.53
2025-06-29,71941700,53591470.0,134.24
2025-07-06,37946900,53887640.0,70.42
2025-07-13,58200900,54837285.0,106.13
