Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-15,4431400,,
2020-06-16,5295000,,
2020-06-17,2662800,,
2020-06-18,2756300,,
2020-06-19,3479500,,
2020-06-22,2518000,,
2020-06-23,2503600,,
2020-06-24,4532300,,
2020-06-25,3897400,,
2020-06-26,4479000,,
2020-06-29,3464600,,
2020-06-30,5215700,,
2020-07-01,3712600,,
2020-07-02,3661100,,
2020-07-06,3573800,,
2020-07-07,3420300,,
2020-07-08,2434200,,
2020-07-09,3164600,,
2020-07-10,2712400,,
2020-07-13,3657900,3578625.0,102.22
2020-07-14,4053100,3559710.0,113.86
2020-07-15,6601400,3625030.0,182.11
2020-07-16,3082900,3646035.0,84.55
2020-07-17,2246000,3620520.0,62.04
2020-07-20,2539900,3573540.0,71.08
2020-07-21,3305500,3612915.0,91.49
2020-07-22,4121100,3693790.0,111.57
2020-07-23,3487100,3641530.0,95.76
2020-07-24,2851000,3589210.0,79.43
2020-07-27,2253300,3477925.0,64.79
2020-07-28,3135600,3461475.0,90.59
2020-07-29,2370800,3319230.0,71.43
2020-07-30,2951700,3281185.0,89.96
2020-07-31,4460300,3321145.0,134.3
2020-08-03,3767700,3330840.0,113.12
2020-08-04,2129200,3266285.0,65.19
2020-08-05,2615100,3275330.0,79.84
2020-08-06,4088200,3321510.0,123.08
2020-08-07,3319600,3351870.0,99.04
2020-08-10,2118200,3274885.0,64.68
2020-08-11,3571200,3250790.0,109.86
2020-08-12,2947400,3068090.0,96.07
2020-08-13,4074200,3117655.0,130.68
2020-08-14,2097600,3110235.0,67.44
2020-08-17,2183400,3092410.0,70.61
2020-08-18,2415800,3047925.0,79.26
2020-08-19,2498300,2966785.0,84.21
2020-08-20,2409300,2912895.0,82.71
2020-08-21,2316200,2886155.0,80.25
2020-08-24,2349600,2890970.0,81.27
2020-08-25,2890800,2878730.0,100.42
2020-08-26,2606000,2890490.0,90.16
2020-08-27,2295900,2857700.0,80.34
2020-08-28,3538700,2811620.0,125.86
2020-08-31,5068000,2876635.0,176.18
2020-09-01,3008000,2920575.0,102.99
2020-09-02,5273100,3053475.0,172.69
2020-09-03,6892000,3193665.0,215.8
2020-09-04,5133900,3284380.0,156.31
2020-09-08,4278300,3392385.0,126.11
2020-09-09,3339800,3380815.0,98.79
2020-09-10,3589000,3412895.0,105.16
2020-09-11,3690100,3393690.0,108.73
2020-09-14,3056100,3441615.0,88.8
2020-09-15,2570900,3460990.0,74.28
2020-09-16,2313400,3455870.0,66.94
2020-09-17,2848300,3473370.0,82.0
2020-09-18,3420800,3523945.0,97.07
2020-09-21,4536800,3634975.0,124.81
2020-09-22,2741500,3654570.0,75.02
2020-09-23,2755800,3647820.0,75.55
2020-09-24,3130700,3674055.0,85.21
2020-09-25,2683800,3693450.0,72.66
2020-09-28,2437900,3638410.0,67.0
2020-09-29,2303900,3500205.0,65.82
2020-09-30,4304500,3565030.0,120.74
2020-10-01,3005700,3451660.0,87.08
2020-10-02,3125100,3263315.0,95.76
2020-10-05,2364500,3124845.0,75.67
2020-10-06,3389800,3080420.0,110.04
2020-10-07,1707800,2998820.0,56.95
2020-10-08,1731700,2905955.0,59.59
2020-10-09,2794100,2861155.0,97.66
2020-10-12,2194300,2818065.0,77.87
2020-10-13,2229700,2801005.0,79.6
2020-10-14,1902100,2780440.0,68.41
2020-10-15,2481700,2762110.0,89.85
2020-10-16,1669600,2674550.0,62.43
2020-10-19,2229600,2559190.0,87.12
2020-10-20,3066600,2575445.0,119.07
2020-10-21,2607700,2568040.0,101.54
2020-10-22,2362400,2529625.0,93.39
2020-10-23,1429300,2466900.0,57.94
2020-10-26,3335800,2511795.0,132.81
2020-10-27,2196100,2506405.0,87.62
2020-10-28,5650500,2573705.0,219.55
2020-10-29,5365200,2691680.0,199.33
2020-10-30,5892100,2830030.0,208.2
2020-11-02,4080400,2915825.0,139.94
2020-11-03,3378300,2915250.0,115.88
2020-11-04,5750200,3117370.0,184.46
2020-11-05,3950300,3228300.0,122.36
2020-11-06,3640600,3270625.0,111.31
2020-11-09,8097300,3565775.0,227.08
2020-11-10,4120800,3660330.0,112.58
2020-11-11,2773500,3703900.0,74.88
2020-11-12,2532700,3706450.0,68.33
2020-11-13,1996100,3722775.0,53.62
2020-11-16,3018800,3762235.0,80.24
2020-11-17,3052100,3761510.0,81.14
2020-11-18,2647800,3763515.0,70.35
2020-11-19,2962200,3793505.0,78.09
2020-11-20,3516800,3897880.0,90.22
2020-11-23,2222600,3842220.0,57.85
2020-11-24,2659700,3865400.0,68.81
2020-11-25,2256900,3695720.0,61.07
2020-11-27,984700,3476695.0,28.32
2020-11-30,4175700,3390875.0,123.15
2020-12-01,3224200,3348065.0,96.3
2020-12-02,2270300,3292665.0,68.95
2020-12-03,2851100,3147710.0,90.58
2020-12-04,2907000,3095545.0,93.91
2020-12-07,1943100,3010670.0,64.54
