Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-06-30,45235600,,
2020-07-31,73796600,,
2020-08-31,61300400,,
2020-09-30,74308600,,
2020-10-31,62731400,,
2020-11-30,67817500,,
2020-12-31,62114200,,
2021-01-31,67310300,,
2021-02-28,65396000,,
2021-03-31,115891100,,
2021-04-30,77399700,,
2021-05-31,91773000,,
2021-06-30,68945800,,
2021-07-31,87927300,,
2021-08-31,81081600,,
2021-09-30,103242900,,
2021-10-31,93891000,,
2021-11-30,100234600,,
2021-12-31,142346700,,
2022-01-31,209400200,87607225.0,239.02
2022-02-28,178146000,94252745.0,189.01
2022-03-31,137200500,97422940.0,140.83
2022-04-30,109706000,99843220.0,109.88
2022-05-31,142832100,103269395.0,138.31
2022-06-30,118457600,106055705.0,111.69
2022-07-31,91517600,107240710.0,85.34
2022-08-31,82930500,108281525.0,76.59
2022-09-30,110165900,110424305.0,99.77
2022-10-31,99168300,112112920.0,88.45
2022-11-30,78851100,110260920.0,71.51
2022-12-31,94160600,111098965.0,84.75
2023-01-31,76686800,110344655.0,69.5
2023-02-28,70620000,110428365.0,63.95
2023-03-31,98871600,110975580.0,89.09
2023-04-30,59258500,109884425.0,53.93
2023-05-31,74581000,108451330.0,68.77
2023-06-30,87009900,108107275.0,80.48
2023-07-31,75235500,106857320.0,70.41
2023-08-31,87472600,104113615.0,84.02
2023-09-30,85361800,97911695.0,87.18
2023-10-31,112733000,94641045.0,119.12
2023-11-30,87596800,92160860.0,95.05
2023-12-31,100255600,91688340.0,109.34
2024-01-31,113229600,90208215.0,125.52
2024-02-29,103468600,89458765.0,115.66
2024-03-31,106573400,90211555.0,118.14
2024-04-30,132234200,92676740.0,142.68
2024-05-31,83377400,91337315.0,91.29
2024-06-30,102999000,91528850.0,112.53
2024-07-31,95569400,92364765.0,103.47
2024-08-31,113649300,93339200.0,121.76
2024-09-30,160152000,97512460.0,164.24
2024-10-31,97966800,98879800.0,99.08
2024-11-30,99716400,98922040.0,100.8
2024-12-31,158384800,103878355.0,152.47
2025-01-31,113525700,105825590.0,107.28
2025-02-28,91408700,106045530.0,86.2
2025-03-31,179918100,111279660.0,161.68
2025-04-30,250654400,119438750.0,209.86
2025-05-31,127049900,121523155.0,104.55
2025-06-30,151109600,123441985.0,122.41
2025-07-31,48319500,121478120.0,39.78
