Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-05-17,11123500,,
2020-05-24,22454200,,
2020-05-31,21744100,,
2020-06-07,23634300,,
2020-06-14,29829100,21757040.0,137.1
2020-06-21,18625000,23257340.0,80.08
2020-06-28,17930300,22352560.0,80.22
2020-07-05,16054000,21214540.0,75.67
2020-07-12,15305300,19548740.0,78.29
2020-07-19,19641300,17511180.0,112.16
2020-07-26,16304600,17047100.0,95.64
2020-08-02,15171700,16495380.0,91.98
2020-08-09,15919800,16468540.0,96.67
2020-08-16,14808600,16369200.0,90.47
2020-08-23,11823000,14805540.0,79.86
2020-08-30,13681000,14280820.0,95.8
2020-09-06,25375000,16321480.0,155.47
2020-09-13,14897200,16116960.0,92.43
2020-09-20,14209500,15997140.0,88.83
2020-09-27,15848600,16802260.0,94.32
2020-10-04,15177100,17101480.0,88.75
2020-10-11,11987900,14424060.0,83.11
2020-10-18,10477400,13540100.0,77.38
2020-10-25,11695600,13037320.0,89.71
2020-11-01,22439700,14355540.0,156.31
2020-11-08,20799800,15480080.0,134.36
2020-11-15,19520400,16986580.0,114.92
2020-11-22,15197700,17930640.0,84.76
2020-11-29,8123900,17216300.0,47.19
2020-12-06,15428300,15814020.0,97.56
2020-12-13,11563600,13966780.0,82.79
2020-12-20,17007900,13464280.0,126.32
2020-12-27,11419700,12708680.0,89.86
2021-01-03,10870400,13257980.0,81.99
2021-01-10,20904700,14353260.0,145.64
2021-01-17,15432800,15127100.0,102.02
2021-01-24,10747400,13875000.0,77.46
2021-01-31,20225400,15636140.0,129.35
2021-02-07,13762100,16214480.0,84.88
2021-02-14,12044000,14442340.0,83.39
2021-02-21,13117900,13979360.0,93.84
2021-02-28,26472000,17124280.0,154.59
2021-03-07,30827100,19244620.0,160.19
2021-03-14,27158000,21923800.0,123.87
2021-03-21,22315100,23978020.0,93.06
2021-03-28,21281100,25610660.0,83.09
2021-04-04,19441800,24204620.0,80.32
2021-04-11,16693400,21377880.0,78.09
2021-04-18,16250400,19196360.0,84.65
2021-04-25,19438600,18621060.0,104.39
2021-05-02,19885300,18341900.0,108.41
2021-05-09,22331000,18919740.0,118.03
2021-05-16,33078600,22196780.0,149.02
2021-05-23,20340400,23014780.0,88.38
2021-05-30,16023000,22331660.0,71.75
2021-06-06,13617300,21078060.0,64.6
2021-06-13,12708600,19153580.0,66.35
2021-06-20,18127900,16163440.0,112.15
2021-06-27,15350000,15165360.0,101.22
2021-07-04,16919600,15344680.0,110.26
2021-07-11,18228400,16266900.0,112.06
2021-07-18,19575000,17640180.0,110.97
2021-07-25,25103500,19035300.0,131.88
2021-08-01,17242800,19413860.0,88.82
2021-08-08,19364200,19902780.0,97.29
2021-08-15,12512600,18759620.0,66.7
2021-08-22,22213000,19287220.0,115.17
2021-08-29,18117100,17889940.0,101.27
2021-09-05,18706600,18182700.0,102.88
2021-09-12,15478400,17405540.0,88.93
2021-09-19,21035000,19110020.0,110.07
2021-09-26,30881300,20843680.0,148.16
2021-10-03,34498500,24119960.0,143.03
2021-10-10,29303700,26239380.0,111.68
2021-10-17,23676200,27878940.0,84.93
2021-10-24,15677600,26807460.0,58.48
2021-10-31,16751300,23981460.0,69.85
2021-11-07,19719600,21025680.0,93.79
2021-11-14,21848400,19534620.0,111.84
2021-11-21,19772600,18753900.0,105.43
2021-11-28,23935600,20405500.0,117.3
2021-12-05,43942000,25843640.0,170.03
2021-12-12,27771600,27454040.0,101.16
2021-12-19,35360300,30156420.0,117.26
2021-12-26,26845000,31570900.0,85.03
2022-01-02,23386200,31461020.0,74.33
2022-01-09,33948100,29462240.0,115.23
2022-01-16,43516300,32611180.0,133.44
2022-01-23,43999100,34338940.0,128.13
2022-01-30,78736300,44717200.0,176.08
2022-02-06,39950100,48029980.0,83.18
2022-02-13,37190200,48678400.0,76.4
2022-02-20,42838200,48542780.0,88.25
2022-02-27,55512000,50845360.0,109.18
2022-03-06,44228500,43943800.0,100.65
2022-03-13,35847800,43123340.0,83.13
2022-03-20,30654200,41816140.0,73.31
2022-03-27,18749100,36998320.0,50.68
2022-04-03,24239900,30743900.0,78.84
2022-04-10,24476800,26793560.0,91.35
2022-04-17,18053000,23234600.0,77.7
2022-04-24,24211100,21945980.0,110.32
2022-05-01,38302000,25856560.0,148.13
2022-05-08,42149100,29438400.0,143.18
2022-05-15,39747500,32492540.0,122.33
2022-05-22,31232100,35128360.0,88.91
2022-05-29,24686900,35223520.0,70.09
2022-06-05,15285500,30620220.0,49.92
2022-06-12,19397500,26069900.0,74.41
2022-06-19,41777400,26475880.0,157.79
2022-06-26,22671800,24763820.0,91.55
2022-07-03,31823400,26191120.0,121.5
2022-07-10,20160300,27166080.0,74.21
2022-07-17,22320800,27750740.0,80.43
2022-07-24,20573600,23509980.0,87.51
2022-07-31,20981400,23171900.0,90.55
2022-08-07,18671500,20541520.0,90.9
2022-08-14,16702100,19849880.0,84.14
2022-08-21,16448100,18675340.0,88.07
2022-08-28,17048600,17970340.0,94.87
2022-09-04,24731200,18720300.0,132.11
2022-09-11,16130900,18212180.0,88.57
2022-09-18,20325900,18936940.0,107.33
