Date,Volume,Volume_MA5,Volume_Ratio_5d
2020-06-15,808400,,
2020-06-16,846200,,
2020-06-17,855000,,
2020-06-18,633700,,
2020-06-19,750900,778840.0,96.41
2020-06-22,751400,767440.0,97.91
2020-06-23,715300,741260.0,96.5
2020-06-24,878700,746000.0,117.79
2020-06-25,862300,791720.0,108.91
2020-06-26,848600,811260.0,104.6
2020-06-29,582300,777440.0,74.9
2020-06-30,750500,784480.0,95.67
2020-07-01,731000,754940.0,96.83
2020-07-02,812700,745020.0,109.08
2020-07-06,1164400,808180.0,144.08
2020-07-07,1144100,920540.0,124.29
2020-07-08,878000,946040.0,92.81
2020-07-09,839900,967820.0,86.78
2020-07-10,661000,937480.0,70.51
2020-07-13,1009600,906520.0,111.37
2020-07-14,1061100,889920.0,119.24
2020-07-15,891000,892520.0,99.83
2020-07-16,650000,854540.0,76.06
2020-07-17,663400,855020.0,77.59
2020-07-20,733600,799820.0,91.72
2020-07-21,925100,772620.0,119.74
2020-07-22,681000,730620.0,93.21
2020-07-23,912600,783140.0,116.53
2020-07-24,819400,814340.0,100.62
2020-07-27,676000,802820.0,84.2
2020-07-28,560700,729940.0,76.81
2020-07-29,626600,719060.0,87.14
2020-07-30,659600,668460.0,98.67
2020-07-31,738400,652260.0,113.21
2020-08-03,745700,666200.0,111.93
2020-08-04,596900,673440.0,88.63
2020-08-05,755300,699180.0,108.03
2020-08-06,691900,705640.0,98.05
2020-08-07,634100,684780.0,92.6
2020-08-10,628700,661380.0,95.06
2020-08-11,709000,683800.0,103.69
2020-08-12,6261300,1785000.0,350.77
2020-08-13,1506900,1948000.0,77.36
2020-08-14,1190100,2059200.0,57.79
2020-08-17,699800,2073420.0,33.75
2020-08-18,1337700,2199160.0,60.83
2020-08-19,747600,1096420.0,68.19
2020-08-20,595800,914200.0,65.17
2020-08-21,721300,820440.0,87.92
2020-08-24,778800,836240.0,93.13
2020-08-25,1056600,780020.0,135.46
2020-08-26,1154300,861360.0,134.01
2020-08-27,1521100,1046420.0,145.36
2020-08-28,682400,1038640.0,65.7
2020-08-31,764400,1035760.0,73.8
2020-09-01,927200,1009880.0,91.81
2020-09-02,1490400,1077100.0,138.37
2020-09-03,2310200,1234920.0,187.07
2020-09-04,1773500,1453140.0,122.05
2020-09-08,1297000,1559660.0,83.16
2020-09-09,1229200,1620060.0,75.87
2020-09-10,1111600,1544300.0,71.98
2020-09-11,1020100,1286280.0,79.31
2020-09-14,788900,1089360.0,72.42
2020-09-15,855100,1000980.0,85.43
2020-09-16,809100,916960.0,88.24
2020-09-17,862100,867060.0,99.43
2020-09-18,897600,842560.0,106.53
2020-09-21,1492200,983220.0,151.77
2020-09-22,844600,981120.0,86.09
2020-09-23,754500,970200.0,77.77
2020-09-24,978100,993400.0,98.46
2020-09-25,959900,1005860.0,95.43
2020-09-28,822100,871840.0,94.29
2020-09-29,900700,883060.0,102.0
2020-09-30,789600,890080.0,88.71
2020-10-01,681100,830680.0,81.99
2020-10-02,859800,810660.0,106.06
2020-10-05,626100,771460.0,81.16
2020-10-06,655900,722500.0,90.78
2020-10-07,725200,709620.0,102.2
2020-10-08,543800,682160.0,79.72
2020-10-09,981700,706540.0,138.94
2020-10-12,769800,735280.0,104.69
2020-10-13,807600,765620.0,105.48
2020-10-14,1209400,862460.0,140.23
2020-10-15,948300,943360.0,100.52
2020-10-16,609500,868920.0,70.14
2020-10-19,666900,848340.0,78.61
2020-10-20,945900,876000.0,107.98
2020-10-21,592000,752520.0,78.67
2020-10-22,515200,665900.0,77.37
2020-10-23,552800,654560.0,84.45
2020-10-26,796200,680420.0,117.02
2020-10-27,648000,620840.0,104.37
2020-10-28,1129000,728240.0,155.03
2020-10-29,859100,797020.0,107.79
2020-10-30,1068600,900180.0,118.71
2020-11-02,810000,902940.0,89.71
2020-11-03,894200,952180.0,93.91
2020-11-04,1147500,955880.0,120.05
2020-11-05,1096800,1003420.0,109.31
2020-11-06,807200,951140.0,84.87
2020-11-09,1539300,1097000.0,140.32
2020-11-10,1312100,1180580.0,111.14
2020-11-11,700200,1091120.0,64.17
2020-11-12,579500,987660.0,58.67
2020-11-13,685800,963380.0,71.19
2020-11-16,881800,831880.0,106.0
2020-11-17,757200,720900.0,105.04
2020-11-18,835600,747980.0,111.71
2020-11-19,705700,773220.0,91.27
2020-11-20,492300,734520.0,67.02
2020-11-23,801200,718400.0,111.53
2020-11-24,690800,705120.0,97.97
2020-11-25,649800,667960.0,97.28
2020-11-27,303200,587460.0,51.61
2020-11-30,747700,638540.0,117.1
2020-12-01,592300,596760.0,99.25
2020-12-02,664900,591580.0,112.39
2020-12-03,563900,574400.0,98.17
2020-12-04,457000,605160.0,75.52
2020-12-07,551500,565920.0,97.45
2020-12-08,632100,573880.0,110.14
2020-12-09,820300,604960.0,135.6
2020-12-10,567400,605660.0,93.68
2020-12-11,561300,626520.0,89.59
2020-12-14,732300,662680.0,110.51
2020-12-15,690200,674300.0,102.36
2020-12-16,871800,684600.0,127.34
2020-12-17,714100,713940.0,100.02
2020-12-18,737100,749100.0,98.4
2020-12-21,785500,759740.0,103.39
2020-12-22,801200,781940.0,102.46
2020-12-23,747600,757100.0,98.75
2020-12-24,341700,682620.0,50.06
2020-12-28,674300,670060.0,100.63
2020-12-29,765000,665960.0,114.87
2020-12-30,691000,643920.0,107.31
2020-12-31,924200,679240.0,136.06
2021-01-04,1299500,870800.0,149.23
2021-01-05,929800,921900.0,100.86
2021-01-06,1293900,1027680.0,125.9
2021-01-07,1024400,1094360.0,93.61
2021-01-08,882600,1086040.0,81.27
2021-01-11,790800,984300.0,80.34
2021-01-12,3546800,1507700.0,235.25
2021-01-13,987000,1446320.0,68.24
2021-01-14,1030700,1447580.0,71.2
2021-01-15,853500,1441760.0,59.2
2021-01-19,927500,1469100.0,63.13
2021-01-20,902200,940180.0,95.96
2021-01-21,798100,902400.0,88.44
2021-01-22,829200,862100.0,96.18
2021-01-25,868700,865140.0,100.41
2021-01-26,775800,834800.0,92.93
2021-01-27,942200,842800.0,111.79
2021-01-28,776200,838420.0,92.58
2021-01-29,935000,859580.0,108.77
2021-02-01,793000,844440.0,93.91
2021-02-02,737300,836740.0,88.12
2021-02-03,685300,785360.0,87.26
2021-02-04,588900,747900.0,78.74
2021-02-05,675800,696060.0,97.09
2021-02-08,740700,685600.0,108.04
2021-02-09,707900,679720.0,104.15
2021-02-10,748500,692360.0,108.11
2021-02-11,658300,706240.0,93.21
2021-02-12,719300,714940.0,100.61
2021-02-16,874700,741740.0,117.93
2021-02-17,767600,753680.0,101.85
2021-02-18,640200,732020.0,87.46
2021-02-19,843500,769060.0,109.68
2021-02-22,828700,790940.0,104.77
2021-02-23,1324100,880820.0,150.33
2021-02-24,1273100,981920.0,129.65
2021-02-25,1038900,1061660.0,97.86
2021-02-26,1231700,1139300.0,108.11
2021-03-01,739700,1121500.0,65.96
2021-03-02,907300,1038140.0,87.4
2021-03-03,1140800,1011680.0,112.76
2021-03-04,1800900,1164080.0,154.71
2021-03-05,1489000,1215540.0,122.5
2021-03-08,1080500,1283700.0,84.17
2021-03-09,979700,1298180.0,75.47
2021-03-10,1044200,1278860.0,81.65
2021-03-11,857100,1090100.0,78.63
2021-03-12,770500,946400.0,81.41
2021-03-15,872300,904760.0,96.41
2021-03-16,880400,884900.0,99.49
2021-03-17,704400,816940.0,86.22
2021-03-18,749400,795400.0,94.22
2021-03-19,749300,791160.0,94.71
2021-03-22,686600,754020.0,91.06
2021-03-23,894000,756740.0,118.14
2021-03-24,1161000,848060.0,136.9
2021-03-25,1213600,940900.0,128.98
2021-03-26,692700,929580.0,74.52
2021-03-29,924300,977120.0,94.59
2021-03-30,750800,948480.0,79.16
2021-03-31,757900,867860.0,87.33
2021-04-01,959200,816980.0,117.41
2021-04-05,1034800,885400.0,116.87
2021-04-06,794600,859460.0,92.45
2021-04-07,636500,836600.0,76.08
2021-04-08,672500,819520.0,82.06
2021-04-09,698200,767320.0,90.99
2021-04-12,687600,697880.0,98.53
2021-04-13,877500,714460.0,122.82
2021-04-14,900000,767160.0,117.32
2021-04-15,1125100,857680.0,131.18
2021-04-16,902700,898580.0,100.46
2021-04-19,870300,935120.0,93.07
2021-04-20,981500,955920.0,102.68
2021-04-21,658500,907620.0,72.55
2021-04-22,807200,844040.0,95.64
2021-04-23,1473100,958120.0,153.75
2021-04-26,653700,914800.0,71.46
2021-04-27,707500,860000.0,82.27
2021-04-28,608400,849980.0,71.58
2021-04-29,697300,828000.0,84.21
