Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-31,352977300,,
2020-06-30,557556600,,
2020-07-31,592356300,,
2020-08-31,690025200,,
2020-09-30,805971600,,
2020-10-31,386985000,,
2020-11-30,413800500,,
2020-12-31,511105500,,
2021-01-31,450488700,,
2021-02-28,554999400,,
2021-03-31,739644300,,
2021-04-30,459365700,,
2021-05-31,524333400,,
2021-06-30,507321000,,
2021-07-31,395649300,,
2021-08-31,544199400,,
2021-09-30,453765600,,
2021-10-31,413998800,,
2021-11-30,534258600,,
2021-12-31,716247600,530252490.0,135.08
2022-01-31,497216100,537464430.0,92.51
2022-02-28,487764300,533974815.0,91.35
2022-03-31,557647500,532239375.0,104.77
2022-04-30,427213500,519098790.0,82.3
2022-05-31,816439800,519622200.0,157.12
2022-06-30,512761800,525911040.0,97.5
2022-07-31,472936800,528867855.0,89.42
2022-08-31,623681700,534496665.0,116.69
2022-09-30,416526900,532798575.0,78.18
2022-10-31,350685000,522582855.0,67.11
2022-11-30,454982100,508349745.0,89.5
2022-12-31,382125300,504487725.0,75.75
2023-01-31,324054600,494473785.0,65.54
2023-02-28,368553300,487535400.0,75.6
2023-03-31,524648700,493985370.0,106.21
2023-04-30,301894800,481870140.0,62.65
2023-05-31,406453500,479504535.0,84.77
2023-06-30,390332400,478321215.0,81.6
2023-07-31,272185500,465217560.0,58.51
2023-08-31,391674900,448988925.0,87.23
2023-09-30,331229700,440689605.0,75.16
2023-10-31,344001900,433501485.0,79.35
2023-11-30,536482200,432443220.0,124.06
2023-12-31,543923100,438278700.0,124.1
2024-01-31,385322100,416722815.0,92.46
2024-02-29,523240800,417246765.0,125.4
2024-03-31,339223100,410561080.0,82.62
2024-04-30,304720900,394613040.0,77.22
2024-05-31,401568500,393865120.0,101.96
2024-06-30,288554300,390758585.0,73.84
2024-07-31,288053200,382412140.0,75.33
2024-08-31,395298400,383070795.0,103.19
2024-09-30,358161300,384776130.0,93.08
2024-10-31,274951500,380096040.0,72.34
2024-11-30,340426600,370884935.0,91.79
2024-12-31,382128400,374896615.0,101.93
2025-01-31,301854300,369666655.0,81.66
2025-02-28,393516500,369825860.0,106.41
2025-03-31,529824400,382707805.0,138.44
2025-04-30,509840000,388616060.0,131.19
2025-05-31,393144900,391711820.0,100.37
2025-06-30,343221000,391672775.0,87.63
2025-07-31,112806600,370488995.0,30.45
