Date,Volume,Volume_MA20,Volume_Ratio_20d
2020-05-17,54003000,,
2020-05-24,190434000,,
2020-05-31,108540300,,
2020-06-07,123353100,,
2020-06-14,143754000,,
2020-06-21,138186600,,
2020-06-28,115242300,,
2020-07-05,74450100,,
2020-07-12,254378700,,
2020-07-19,136391700,,
2020-07-26,86053500,,
2020-08-02,78102900,,
2020-08-09,89729400,,
2020-08-16,102111300,,
2020-08-23,209527500,,
2020-08-30,243420600,,
2020-09-06,285697800,,
2020-09-13,130224900,,
2020-09-20,195976200,,
2020-09-27,155582700,145758030.0,106.74
2020-10-04,151602300,150637995.0,100.64
2020-10-11,81855300,145209060.0,56.37
2020-10-18,92541000,144409095.0,64.08
2020-10-25,66165000,141549690.0,46.74
2020-11-01,78547800,138289380.0,56.8
2020-11-08,80317200,135395910.0,59.32
2020-11-15,97506000,134509095.0,72.49
2020-11-22,142736700,137923425.0,103.49
2020-11-29,60545100,128231745.0,47.22
2020-12-06,125793000,127701810.0,98.51
2020-12-13,96848400,128241555.0,75.52
2020-12-20,154674000,132070110.0,117.12
2020-12-27,92637300,132215505.0,70.07
2021-01-03,73848300,130802355.0,56.46
2021-01-10,125615400,126606750.0,99.22
2021-01-17,124644900,120667965.0,103.3
2021-01-24,81444600,110455305.0,73.74
2021-01-31,118783800,109883250.0,108.1
2021-02-07,105712200,105370050.0,100.32
2021-02-14,76524000,101417115.0,75.45
2021-02-21,186995400,103186770.0,181.22
2021-02-28,185767800,108382395.0,171.4
2021-03-07,185124300,113011560.0,163.81
2021-03-14,181833600,118794990.0,153.07
2021-03-21,156628200,122699010.0,127.65
2021-03-28,134135700,125389935.0,106.97
2021-04-04,107517600,125890515.0,85.41
2021-04-11,131221500,125314755.0,104.71
2021-04-18,106244400,127599720.0,83.26
2021-04-25,103744500,126497295.0,82.01
2021-05-02,92560200,126282885.0,73.3
2021-05-09,104285100,123763440.0,84.26
2021-05-16,116337000,124948425.0,93.11
2021-05-23,166202700,129566145.0,128.28
2021-05-30,137508600,130160805.0,105.65
2021-06-06,76075800,127732350.0,59.56
2021-06-13,95447700,128432505.0,74.32
2021-06-20,127417500,128864190.0,98.88
2021-06-27,111357300,129146445.0,86.23
2021-07-04,149652000,132802845.0,112.69
2021-07-11,80339100,127470030.0,63.03
2021-07-18,93345000,122848890.0,75.98
2021-07-25,93956100,118290480.0,79.43
2021-08-01,75379800,112967790.0,66.73
2021-08-08,100444200,110158590.0,91.18
2021-08-15,129780000,109940805.0,118.05
2021-08-22,168984300,113014140.0,149.52
2021-08-29,103471800,111626655.0,92.69
2021-09-05,97805700,111204720.0,87.95
2021-09-12,82957500,110165370.0,75.3
2021-09-19,142374300,112656075.0,126.38
2021-09-26,86482200,111765930.0,77.38
2021-10-03,115679400,111733050.0,103.53
2021-10-10,104859900,108665910.0,96.5
2021-10-17,87296100,106155285.0,82.23
2021-10-24,105935100,107648250.0,98.41
2021-10-31,85893300,107170530.0,80.15
2021-11-07,70629000,104331105.0,67.7
2021-11-14,79095600,102718020.0,77.0
2021-11-21,188512200,104661030.0,180.12
2021-11-28,98163300,105552240.0,93.0
2021-12-05,218428200,111806400.0,195.36
2021-12-12,175752000,115896195.0,151.65
2021-12-19,251901300,124722270.0,201.97
2021-12-26,90258900,124213005.0,72.66
2022-01-02,77765700,121612290.0,63.95
2022-01-09,131607000,119743425.0,109.91
2022-01-16,114467100,120293190.0,95.16
2022-01-23,93693300,120087570.0,78.02
2022-01-30,137255100,122802450.0,111.77
2022-02-06,101444100,120755940.0,84.01
2022-02-13,112486800,122056170.0,92.16
2022-02-20,164613300,124502865.0,132.22
2022-02-27,103127100,124416225.0,82.89
2022-03-06,139636800,127033260.0,109.92
2022-03-13,142973400,128885175.0,110.93
2022-03-20,120391200,130610070.0,92.18
2022-03-27,88737300,131515485.0,67.47
2022-04-03,113135100,133217460.0,84.93
2022-04-10,122391600,129911430.0,94.21
2022-04-17,103119000,130159215.0,79.23
2022-04-24,89562900,123715950.0,72.39
2022-05-01,91200300,119488365.0,76.33
2022-05-08,115481700,112667385.0,102.5
2022-05-15,126153900,114462135.0,110.21
2022-05-22,379006800,129524190.0,292.61
2022-05-29,158885100,130888095.0,121.39
2022-06-05,106964100,130512945.0,81.96
2022-06-12,135204300,132588495.0,101.97
2022-06-19,139901700,132720825.0,105.41
2022-06-26,94038300,132350535.0,71.05
2022-07-03,91026600,131277525.0,69.34
2022-07-10,71756400,126634680.0,56.66
2022-07-17,80043900,125480520.0,63.79
2022-07-24,82185000,122607930.0,67.03
2022-07-31,221490600,126533790.0,175.04
2022-08-07,161807400,128604600.0,125.82
2022-08-14,113230800,129829275.0,87.22
2022-08-21,202197900,134282415.0,150.58
2022-08-28,92135100,132769590.0,69.39
2022-09-04,93286800,132277980.0,70.52
2022-09-11,72055200,131402595.0,54.84
2022-09-18,113970300,132541095.0,85.99
2022-09-25,99660000,131750010.0,75.64
2022-10-02,91865100,130035570.0,70.65
2022-10-09,79544100,115062435.0,69.13
2022-10-16,86821800,111459270.0,77.9
2022-10-23,76883700,109955250.0,69.92
2022-10-30,84863400,107438205.0,78.99
2022-11-06,78554100,104370825.0,75.26
2022-11-13,81945900,103766205.0,78.97
2022-11-20,190446000,108737175.0,175.14
2022-11-27,63753600,108337035.0,58.85
2022-12-04,106319700,109650825.0,96.96
2022-12-11,103226100,110702880.0,93.25
2022-12-18,121032000,105679950.0,114.53
2022-12-25,68433300,101011245.0,67.75
2023-01-01,45968700,97648140.0,47.08
2023-01-08,65094300,90792960.0,71.7
2023-01-15,70734600,89722935.0,78.84
2023-01-22,84681900,89292690.0,94.84
2023-01-29,73542600,89367060.0,82.29
2023-02-05,77812800,87559185.0,88.87
2023-02-12,73553700,86253870.0,85.28
2023-02-19,85604100,85940820.0,99.61
2023-02-26,126882600,88307745.0,143.68
2023-03-05,80555700,87994440.0,91.55
2023-03-12,88680000,88584255.0,100.11
2023-03-19,158805000,92281335.0,172.09
2023-03-26,116286900,94167975.0,123.49
2023-04-02,115022400,95821800.0,120.04
2023-04-09,82312800,90415140.0,91.04
2023-04-16,67836900,90619305.0,74.86
2023-04-23,81059100,89356275.0,90.71
2023-04-30,70686000,87729270.0,80.57
2023-05-07,63640800,84859710.0,75.0
2023-05-14,74009700,85138530.0,86.93
2023-05-21,132974400,89488815.0,148.59
2023-05-28,89955300,90731865.0,99.14
2023-06-04,85290600,91459665.0,93.25
2023-06-11,89302200,91690680.0,97.4
2023-06-18,104391900,93233145.0,111.97
2023-06-25,71527800,92918895.0,76.98
2023-07-02,85693200,93525870.0,91.63
2023-07-09,60434700,92267400.0,65.5
2023-07-16,63225600,89084550.0,70.97
2023-07-23,67893600,88451445.0,76.76
2023-07-30,67598400,87397365.0,77.35
2023-08-06,64940400,82704135.0,78.52
2023-08-13,67860600,80282820.0,84.53
2023-08-20,143922900,81727845.0,176.1
2023-08-27,72860400,81255225.0,89.67
2023-09-03,67677300,81247245.0,83.3
2023-09-10,61592100,80273895.0,76.73
2023-09-17,116882700,82583730.0,141.53
2023-09-24,69135600,82858470.0,83.44
2023-10-01,71065800,82711275.0,85.92
2023-10-08,96887400,80906925.0,119.75
2023-10-15,76386000,80228460.0,95.21
2023-10-22,62602800,79094070.0,79.15
2023-10-29,81303600,78694140.0,103.32
2023-11-05,74454000,77197245.0,96.45
2023-11-12,74544300,77348070.0,96.38
2023-11-19,211117800,83619300.0,252.47
2023-11-26,96437100,85419420.0,112.9
2023-12-03,146024700,89559375.0,163.05
2023-12-10,132646500,92797020.0,142.94
2023-12-17,189508800,98892540.0,191.63
2023-12-24,112194000,101255220.0,110.8
2023-12-31,70300200,101377200.0,69.35
2024-01-07,83287800,98345445.0,84.69
2024-01-14,92109300,99307890.0,92.75
2024-01-21,69226200,99385335.0,69.65
2024-01-28,81053700,100358415.0,80.76
2024-02-04,102108600,99619710.0,102.5
2024-02-11,79166700,100121265.0,79.07
2024-02-18,91176000,101126775.0,90.16
2024-02-25,216218700,107093340.0,201.9
2024-03-03,113233600,108935720.0,103.95
2024-03-10,76736200,109642390.0,69.99
2024-03-17,114191600,111286790.0,102.61
2024-03-24,69454200,111036800.0,62.55
2024-03-31,59823400,110300755.0,54.24
2024-04-07,72731200,103381425.0,70.35
2024-04-14,59449300,101532035.0,58.55
2024-04-21,66834900,97572545.0,68.5
2024-04-28,81711200,95025780.0,85.99
2024-05-05,71240100,89112345.0,79.94
2024-05-12,63562400,86680765.0,73.33
2024-05-19,150157200,90673615.0,165.6
2024-05-26,75029200,90260685.0,83.13
2024-06-02,65573900,88933915.0,73.73
2024-06-09,74811400,89213175.0,83.86
2024-06-16,70526300,88686805.0,79.52
2024-06-23,63948800,86778815.0,73.69
2024-06-30,79267800,86783870.0,91.34
2024-07-07,45976100,84523875.0,54.39
2024-07-14,60409600,76733420.0,78.73
2024-07-21,55889900,73866235.0,75.66
2024-07-28,80031000,74030975.0,108.1
