Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-05-14,22233000,,
2020-05-15,31770000,,
2020-05-18,38633700,,
2020-05-19,74746200,,
2020-05-20,32246400,,
2020-05-21,22448100,,
2020-05-22,22359600,,
2020-05-26,23730600,,
2020-05-27,31073700,,
2020-05-28,24424800,,
2020-05-29,29311200,,
2020-06-01,20550300,,
2020-06-02,19187700,,
2020-06-03,20262900,,
2020-06-04,24015000,,
2020-06-05,39337200,,
2020-06-08,28344300,,
2020-06-09,20746200,,
2020-06-10,28141500,,
2020-06-11,34162800,,
2020-06-12,32359200,,
2020-06-15,32703300,,
2020-06-16,25167600,,
2020-06-17,20166900,,
2020-06-18,20070000,,
2020-06-19,40078800,,
2020-06-22,27338400,,
2020-06-23,19727700,,
2020-06-24,20614800,,
2020-06-25,20569800,,
2020-06-26,26991600,,
2020-06-29,16511400,,
2020-06-30,20509200,,
2020-07-01,19733700,,
2020-07-02,17695800,,
2020-07-06,21695100,,
2020-07-07,93458100,,
2020-07-08,52217100,,
2020-07-09,42771600,,
2020-07-10,44236800,30058552.5,147.17
2020-07-13,42338400,30561187.5,138.54
2020-07-14,26455800,30428332.5,86.94
2020-07-15,31731300,30255772.5,104.88
2020-07-16,17676600,28829032.5,61.32
2020-07-17,18189600,28477612.5,63.87
2020-07-20,18342600,28374975.0,64.64
2020-07-21,21712500,28358797.5,76.56
2020-07-22,16164600,28169647.5,57.38
2020-07-23,16796400,27812715.0,60.39
2020-07-24,13037400,27528030.0,47.36
2020-07-27,14045700,27146392.5,51.74
2020-07-28,14414100,26992987.5,53.4
2020-07-29,14223300,26868877.5,52.94
2020-07-30,13788300,26707012.5,51.63
2020-07-31,21631500,26647425.0,81.18
2020-08-03,14971500,26038282.5,57.5
2020-08-04,18219600,25785165.0,70.66
2020-08-05,25483500,25903597.5,98.38
2020-08-06,14496300,25562467.5,56.71
2020-08-07,16558500,25122360.0,65.91
2020-08-10,17683200,24755460.0,71.43
2020-08-11,25360200,24571882.5,103.21
2020-08-12,19094400,24420052.5,78.19
2020-08-13,19867200,24412560.0,81.38
2020-08-14,20106300,24413467.5,82.36
2020-08-17,39465000,24398122.5,161.75
2020-08-18,80232600,25720477.5,311.94
2020-08-19,38155200,26181165.0,145.74
2020-08-20,26810700,26336062.5,101.8
2020-08-21,24864000,26443417.5,94.03
2020-08-24,19813800,26263972.5,75.44
2020-08-25,21722400,26394247.5,82.3
2020-08-26,18814800,26351887.5,71.4
2020-08-27,119018700,28834012.5,412.77
2020-08-28,64050900,29992890.0,213.55
2020-08-31,45236400,30581422.5,147.92
2020-09-01,106798200,30914925.0,345.46
2020-09-02,51666000,30901147.5,167.2
2020-09-03,48015000,31032232.5,154.73
2020-09-04,33982200,30775867.5,110.42
2020-09-08,33966900,30566580.0,111.12
2020-09-09,33669000,30746910.0,109.5
2020-09-10,33709200,30796357.5,109.46
2020-09-11,28879800,31076437.5,92.93
2020-09-14,45733800,31765042.5,143.98
2020-09-15,30427800,32067172.5,94.89
2020-09-16,27860400,32220870.0,86.47
2020-09-17,37245000,32747880.0,113.73
2020-09-18,54709200,33695700.0,162.36
2020-09-21,47275500,34551652.5,136.83
2020-09-22,33102000,35028060.0,94.5
2020-09-23,23133300,35246040.0,65.63
2020-09-24,29453100,35626785.0,82.67
2020-09-25,22618800,35847547.5,63.1
2020-09-28,21197100,35836687.5,59.15
2020-09-29,27702900,36154972.5,76.62
2020-09-30,34826400,36570142.5,95.23
2020-10-01,43290900,37015327.5,116.95
2020-10-02,24585000,37267545.0,65.97
2020-10-05,14259000,37210057.5,38.32
2020-10-06,21475500,37304865.0,57.57
2020-10-07,16949100,37094587.5,45.69
2020-10-08,14676900,36984150.0,39.68
2020-10-09,14494800,36849840.0,39.33
2020-10-12,18402300,36807240.0,50.0
2020-10-13,23800200,36415620.0,65.36
2020-10-14,19710900,34902577.5,56.47
2020-10-15,13692600,34291012.5,39.93
2020-10-16,16935000,34044120.0,49.74
2020-10-19,14643300,33788602.5,43.34
2020-10-20,14523000,33656332.5,43.15
2020-10-21,13114200,33441127.5,39.22
2020-10-22,13344000,33304357.5,40.07
2020-10-23,10540500,30592402.5,34.45
2020-10-26,16111800,29393925.0,54.81
2020-10-27,11831100,28558792.5,41.43
2020-10-28,16849200,26310067.5,64.04
2020-10-29,15153900,25397265.0,59.67
2020-10-30,18601800,24661935.0,75.43
2020-11-02,16575600,24226770.0,68.42
2020-11-03,15413100,23762925.0,64.86
2020-11-04,17927400,23369385.0,76.71
2020-11-05,14202600,22881720.0,62.07
2020-11-06,16198500,22564687.5,71.79
2020-11-09,28198500,22126305.0,127.44
2020-11-10,18199200,21820590.0,83.4
2020-11-11,18805800,21594225.0,87.09
2020-11-12,12564300,20977207.5,59.9
2020-11-13,19738200,20102932.5,98.19
2020-11-16,34560300,19785052.5,174.68
2020-11-17,42711600,20025292.5,213.29
2020-11-18,24936900,20070382.5,124.25
2020-11-19,18590700,19798822.5,93.9
2020-11-20,21937200,19781782.5,110.9
2020-11-23,18557100,19715782.5,94.12
2020-11-24,17155200,19452090.0,88.19
2020-11-25,13833300,18927262.5,73.09
2020-11-27,10999500,18119977.5,60.7
2020-11-30,32695500,18322740.0,178.44
2020-12-01,22935300,18539647.5,123.71
2020-12-02,23547000,18591435.0,126.66
2020-12-03,25725900,18810855.0,136.76
2020-12-04,20889300,18966165.0,110.14
2020-12-07,18479100,19065772.5,96.92
2020-12-08,20716500,19123627.5,108.33
2020-12-09,20139600,19032112.5,105.82
2020-12-10,20652300,19055647.5,108.38
2020-12-11,16860900,19134855.0,88.12
2020-12-14,25088100,19338682.5,129.73
2020-12-15,31871400,19769385.0,161.22
2020-12-16,25650900,20047582.5,127.95
2020-12-17,30679500,20486715.0,149.75
2020-12-18,41384100,21187717.5,195.32
2020-12-21,25553100,21563032.5,118.5
2020-12-22,37599000,22100212.5,170.13
2020-12-23,20430600,22315200.0,91.55
2020-12-24,9054600,22120335.0,40.93
2020-12-28,19344900,22225110.0,87.04
2020-12-29,17938200,22208520.0,80.77
2020-12-30,18751200,22262910.0,84.23
2020-12-31,17814000,22322932.5,79.8
2021-01-04,32182200,22679302.5,141.9
2021-01-05,26498100,22986690.0,115.28
2021-01-06,21918900,23129700.0,94.77
2021-01-07,20538000,22938187.5,89.54
2021-01-08,24478200,23095162.5,105.99
2021-01-11,26264400,23281627.5,112.81
2021-01-12,23373300,23551852.5,99.24
2021-01-13,16069500,23460135.0,68.5
2021-01-14,23017200,23171557.5,99.33
2021-01-15,35920500,23001780.0,156.16
2021-01-19,24123600,22981447.5,104.97
2021-01-20,23775600,23111070.0,102.88
2021-01-21,14325900,22920787.5,62.5
2021-01-22,19219500,22937347.5,83.79
2021-01-25,19031100,22984245.0,82.8
2021-01-26,15031500,23014200.0,65.31
2021-01-27,29910300,23486970.0,127.35
2021-01-28,22301700,23227125.0,96.02
2021-01-29,32509200,23466472.5,138.53
2021-02-01,25945200,23526427.5,110.28
2021-02-02,27002400,23558340.0,114.62
2021-02-03,14966700,23410275.0,63.93
2021-02-04,17346300,23381955.0,74.19
2021-02-05,20451600,23375332.5,87.49
2021-02-08,15825300,23267475.0,68.01
2021-02-09,15906900,23148840.0,68.72
2021-02-10,18576900,23191740.0,80.1
2021-02-11,12791400,22884322.5,55.9
2021-02-12,13423500,22423125.0,59.86
2021-02-16,27891000,22479127.5,124.08
2021-02-17,25571100,22351417.5,114.4
2021-02-18,96927300,23739997.5,408.29
2021-02-19,36606000,24016320.0,152.42
