Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-06-30,157154800,,
2020-07-31,318460100,,
2020-08-31,247958800,,
2020-09-30,234230900,,
2020-10-31,170572000,,
2020-11-30,227859800,,
2020-12-31,199114000,,
2021-01-31,178763000,,
2021-02-28,207704900,,
2021-03-31,269920100,,
2021-04-30,211545800,,
2021-05-31,233720800,,
2021-06-30,171131300,,
2021-07-31,138835700,,
2021-08-31,203275100,,
2021-09-30,130711000,,
2021-10-31,142918700,,
2021-11-30,154004800,,
2021-12-31,215996500,,
2022-01-31,314895200,,
2022-02-28,494313300,,
2022-03-31,515686200,,
2022-04-30,281784400,,
2022-05-31,500517200,,
2022-06-30,392628000,,
2022-07-31,266137400,,
2022-08-31,330211100,,
2022-09-30,288590600,,
2022-10-31,286653700,,
2022-11-30,330188700,,
2022-12-31,204389000,,
2023-01-31,252710300,,
2023-02-28,257721800,,
2023-03-31,482936400,,
2023-04-30,227512400,,
2023-05-31,254207700,,
2023-06-30,180985000,,
2023-07-31,168951800,,
2023-08-31,240615200,,
2023-09-30,233679700,257979830.0,90.58
2023-10-31,277304100,260983562.5,106.25
2023-11-30,323691100,261114337.5,123.97
2023-12-31,212928800,260238587.5,81.82
2024-01-31,218061800,259834360.0,83.92
2024-02-29,273994400,262419920.0,104.41
2024-03-31,168278000,260930375.0,64.49
2024-04-30,146694300,259619882.5,56.5
2024-05-31,209178400,260380267.5,80.34
2024-06-30,129594600,258427510.0,50.15
2024-07-31,147305300,255362140.0,57.68
2024-08-31,154065100,253925122.5,60.67
2024-09-30,111681200,250874132.5,44.52
2024-10-31,113863400,249442435.0,45.65
2024-11-30,226606500,251636705.0,90.05
2024-12-31,159095900,250532225.0,63.5
2025-01-31,122764500,250333562.5,49.04
2025-02-28,185481500,251397632.5,73.78
2025-03-31,204799000,252667487.5,81.05
2025-04-30,168920900,251490597.5,67.17
2025-05-31,290604200,250883322.5,115.83
2025-06-30,138632800,241991310.0,57.29
2025-07-31,55373600,230483495.0,24.02
