Date,Volume,Volume_MA40,Volume_Ratio_40d
2020-06-21,62599800,,
2020-06-28,77739100,,
2020-07-05,54363100,,
2020-07-12,121845400,,
2020-07-19,64060800,,
2020-07-26,50709500,,
2020-08-02,44297200,,
2020-08-09,96780000,,
2020-08-16,53310000,,
2020-08-23,49402400,,
2020-08-30,40836200,,
2020-09-06,65567800,,
2020-09-13,35284900,,
2020-09-20,57364100,,
2020-09-27,54716100,,
2020-10-04,46811900,,
2020-10-11,50183100,,
2020-10-18,32633300,,
2020-10-25,31656400,,
2020-11-01,38215500,,
2020-11-08,67123600,,
2020-11-15,54961100,,
2020-11-22,47411400,,
2020-11-29,44272600,,
2020-12-06,48855100,,
2020-12-13,38235300,,
2020-12-20,39848700,,
2020-12-27,42463500,,
2021-01-03,43802500,,
2021-01-10,50857600,,
2021-01-17,43902500,,
2021-01-24,29857900,,
2021-01-31,54145000,,
2021-02-07,33572200,,
2021-02-14,53569500,,
2021-02-21,34897700,,
2021-02-28,85665500,,
2021-03-07,81756300,,
2021-03-14,61534800,,
2021-03-21,49428600,53363450.0,92.63
2021-03-28,43315200,52881335.0,81.91
2021-04-04,43146000,52016507.5,82.95
2021-04-11,64012900,52257752.5,122.49
2021-04-18,49593100,50451445.0,98.3
2021-04-25,54471300,50211707.5,108.48
2021-05-02,34207700,49799162.5,68.69
2021-05-09,50648800,49957952.5,101.38
2021-05-16,71606200,49328607.5,145.16
2021-05-23,56221900,49401405.0,113.81
2021-05-30,55243900,49547442.5,111.5
2021-06-06,30294600,49283902.5,61.47
2021-06-13,33771700,48489000.0,69.65
2021-06-20,49526600,48845042.5,101.4
2021-06-27,37323800,48344035.0,77.2
2021-07-04,30233000,47731957.5,63.34
2021-07-11,26578100,47226112.5,56.28
2021-07-18,33238900,46802507.5,71.02
2021-07-25,38264700,46943292.5,81.51
2021-08-01,30735600,46920272.5,65.51
2021-08-08,106321500,48622922.5,218.67
2021-08-15,34751000,47813607.5,72.68
2021-08-22,26826500,47110242.5,56.94
2021-08-29,22718700,46492925.0,48.86
2021-09-05,26716200,46054015.0,58.01
2021-09-12,28269500,45539375.0,62.08
2021-09-19,28271500,45290280.0,62.42
2021-09-26,31588000,45083762.5,70.07
2021-10-03,34457800,44883620.0,76.77
2021-10-10,47043700,44964650.0,104.62
2021-10-17,30276700,44450127.5,68.11
2021-10-24,31514100,44140417.5,71.4
2021-10-31,28149600,44097710.0,63.83
2021-11-07,39521400,43732120.0,90.37
2021-11-14,32434600,43703680.0,74.21
2021-11-21,30216100,43119845.0,70.07
2021-11-28,36164800,43151522.5,83.81
2021-12-05,65016800,42635305.0,152.5
2021-12-12,45398400,41726357.5,108.8
2021-12-19,54784700,41557605.0,131.83
2021-12-26,34298400,41179350.0,83.29
2022-01-02,32166100,40900622.5,78.64
2022-01-09,65300600,41454487.5,157.52
2022-01-16,65643800,41495260.0,158.2
2022-01-23,68622100,41970985.0,163.5
2022-01-30,100954700,43133070.0,234.05
2022-02-06,107024500,44953490.0,238.08
2022-02-13,126552600,46851085.0,270.12
2022-02-20,91187900,47340627.5,192.62
2022-02-27,131440600,49221095.0,267.04
2022-03-06,138395300,51299880.0,269.78
2022-03-13,111771800,53336810.0,209.56
2022-03-20,136216900,55897940.0,243.69
2022-03-27,106969000,57334000.0,186.57
2022-04-03,90031000,58651680.0,153.5
2022-04-10,85192900,60025677.5,141.93
2022-04-17,48553000,60575050.0,80.15
2022-04-24,61500100,61281580.0,100.36
2022-05-01,71322300,62108020.0,114.84
2022-05-08,114387900,64199327.5,178.18
2022-05-15,160223100,65546867.5,244.44
2022-05-22,112167800,67482287.5,166.22
2022-05-29,94431200,69172405.0,136.52
2022-06-05,72912300,70427245.0,103.53
2022-06-12,81925600,71807480.0,114.09
2022-06-19,118591000,74065517.5,160.12
2022-06-26,78779900,75328227.5,104.58
2022-07-03,74944500,76412140.0,98.08
2022-07-10,56573000,76965020.0,73.5
2022-07-17,62720500,77356940.0,81.08
2022-07-24,75732700,78493340.0,96.48
2022-07-31,55893100,79102815.0,70.66
2022-08-07,104133500,81002412.5,128.56
2022-08-14,74325400,81872512.5,90.78
2022-08-21,62295500,82619035.0,75.4
2022-08-28,57924600,83311747.5,69.53
2022-09-04,55871600,83804417.5,66.67
2022-09-11,45539800,83317492.5,54.66
2022-09-18,76255200,84088912.5,90.68
2022-09-25,77030600,84645060.0,91.0
2022-10-02,65425500,85423237.5,76.59
